Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,80.59,82.00,79.94,80.83,5443000,80.83
2014-01-28,80.76,83.26,80.18,82.95,6760800,82.95
2014-01-27,80.04,82.36,79.97,81.42,10853700,81.42
2014-01-24,84.46,85.19,83.07,83.27,2361900,83.27
2014-01-23,86.67,86.89,85.35,85.53,1491700,85.53
2014-01-22,87.09,87.89,86.94,87.20,930000,87.20
2014-01-21,88.05,88.05,86.67,87.05,1572400,87.05
2014-01-17,88.32,88.66,87.65,87.80,1335400,87.80
2014-01-16,90.09,90.09,88.21,88.66,841500,88.66
2014-01-15,89.12,89.91,88.96,89.03,1043900,89.03
2014-01-14,89.95,90.72,88.69,88.99,1223100,88.99
2014-01-13,89.25,90.93,88.81,89.76,1873000,89.76
2014-01-10,89.45,89.89,88.60,89.65,1116900,89.65
2014-01-09,89.74,90.16,88.52,88.95,919400,88.95
2014-01-08,89.63,89.82,88.67,89.34,1523300,89.34
2014-01-07,89.99,90.54,89.35,89.77,1241600,89.77
2014-01-06,88.68,90.19,88.47,89.98,1327700,89.98
2014-01-03,89.00,89.00,88.44,88.60,1276400,88.60
2014-01-02,87.66,88.86,87.24,88.74,1747400,88.74
2013-12-31,87.77,89.47,87.66,89.00,1121700,89.00
2013-12-30,87.99,88.31,87.03,87.53,977500,87.53
2013-12-27,88.34,88.76,87.71,88.35,603500,88.35
2013-12-26,87.57,87.75,86.62,87.57,479200,87.57
2013-12-24,86.63,87.52,86.50,87.42,263000,87.42
2013-12-23,86.41,86.88,85.84,86.51,955200,86.51
2013-12-20,85.52,87.02,85.47,86.02,1530600,86.02
2013-12-19,84.90,85.80,84.59,85.64,975200,85.64
2013-12-18,84.10,84.73,83.01,84.71,1514000,84.71
2013-12-17,85.15,85.15,83.46,83.81,1317500,83.81
2013-12-16,84.80,85.15,83.95,84.95,1661200,84.95
2013-12-13,84.91,85.23,84.18,84.47,714100,84.47
2013-12-12,84.69,85.16,83.63,84.59,1351200,84.59
2013-12-11,85.50,85.80,84.46,84.67,916000,84.67
2013-12-10,85.26,85.76,84.93,85.37,1599100,85.37
2013-12-09,85.45,86.82,84.97,85.50,1709100,85.50
2013-12-06,85.63,85.82,84.61,85.18,1405700,85.18
2013-12-05,83.34,84.27,83.03,84.05,2117100,84.05
2013-12-04,83.73,84.34,83.21,83.67,1388000,83.67
2013-12-03,84.72,84.94,83.41,84.21,1754200,84.21
2013-12-02,85.95,86.72,84.96,85.07,2832400,85.07
2013-11-29,85.29,85.94,84.58,85.81,941000,85.81
2013-11-27,84.56,85.07,84.02,84.87,1946800,84.87
2013-11-26,82.31,84.92,82.31,84.27,2902800,84.27
2013-11-25,81.93,83.52,81.72,82.87,1838500,82.87
2013-11-22,79.58,81.96,79.29,81.60,1571100,81.60
2013-11-21,78.64,79.55,78.45,79.27,1547500,79.27
2013-11-20,80.14,80.14,78.50,78.65,1170000,78.65
2013-11-19,79.67,79.97,78.92,79.26,865500,79.26
2013-11-18,79.90,80.71,79.66,79.87,1050700,79.87
2013-11-15,80.24,80.43,79.76,80.00,1209200,80.00
2013-11-14,79.35,80.38,79.33,80.17,1449800,80.17
2013-11-13,78.29,79.55,77.65,79.41,1257600,79.41
2013-11-12,78.88,79.42,77.58,78.58,1685100,78.58
2013-11-11,80.58,80.69,79.23,79.48,1617100,79.48
2013-11-08,79.60,80.45,78.84,80.45,2356500,80.45
2013-11-07,81.58,81.58,79.09,79.47,3107100,79.47
2013-11-06,77.53,81.30,77.00,80.98,6038600,80.98
2013-11-05,76.77,76.95,75.98,76.04,2081500,76.04
2013-11-04,79.00,79.00,77.32,77.41,1590300,77.41
2013-11-01,78.43,78.71,77.84,78.46,1951000,78.46
2013-10-31,77.79,78.51,77.70,78.25,2276900,78.25
2013-10-30,79.71,79.98,77.50,77.99,1939100,77.99
2013-10-29,81.26,81.26,79.50,79.71,1738800,79.71
2013-10-28,80.14,81.56,79.81,81.12,1919500,81.12
2013-10-25,80.56,80.56,79.58,80.16,859900,80.16
2013-10-24,78.82,80.31,78.55,80.23,1327100,80.23
2013-10-23,79.04,79.69,78.55,79.05,1188300,79.05
2013-10-22,78.03,79.17,77.89,79.14,1669700,79.14
2013-10-21,77.51,77.72,75.92,77.71,1856500,77.71
2013-10-18,77.64,78.53,77.13,77.35,1824800,77.35
2013-10-17,77.05,77.92,76.39,77.85,1906900,77.85
2013-10-16,77.16,77.75,76.82,76.88,2679200,76.88
2013-10-15,77.00,77.37,76.64,76.97,1626000,76.97
2013-10-14,76.98,77.33,76.30,76.96,2314000,76.96
2013-10-11,76.60,77.34,76.40,77.13,1574400,77.13
2013-10-10,75.62,76.83,75.56,76.68,2161300,76.68
2013-10-09,76.46,76.52,74.71,74.90,2508700,74.90
2013-10-08,77.63,77.97,75.93,76.06,1830000,76.06
2013-10-07,77.13,78.40,76.34,77.79,1447400,77.79
2013-10-04,77.88,78.66,77.81,78.14,1695100,78.14
