Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.05,49.63,48.74,48.85,4644600,48.85
2014-01-28,49.34,49.94,49.29,49.63,5046000,49.63
2014-01-27,49.51,49.75,48.34,48.92,11092200,48.92
2014-01-24,50.98,51.03,49.46,49.51,9341800,49.51
2014-01-23,52.12,52.12,51.15,51.43,5816300,51.43
2014-01-22,52.73,52.98,52.33,52.49,3500900,52.49
2014-01-21,53.43,53.46,52.58,52.67,6464600,52.67
2014-01-17,53.48,53.56,52.80,52.96,4832300,52.96
2014-01-16,54.22,54.22,53.35,53.46,3905600,53.46
2014-01-15,53.73,54.40,53.69,54.32,5015300,54.32
2014-01-14,53.53,53.75,52.88,53.59,4152300,53.59
2014-01-13,53.90,54.39,52.89,52.97,5989000,52.97
2014-01-10,54.55,54.70,53.61,54.10,4679800,54.10
2014-01-09,54.24,54.67,54.11,54.55,5320300,54.55
2014-01-08,53.83,54.49,53.52,54.19,5091800,54.19
2014-01-07,54.04,54.23,53.21,53.37,4130400,53.37
2014-01-06,53.49,54.02,53.25,53.58,5739200,53.58
2014-01-03,53.86,54.04,53.38,53.81,3682400,53.81
2014-01-02,53.55,53.57,52.89,53.19,3879800,53.19
2013-12-31,53.80,54.06,53.53,53.92,2906600,53.92
2013-12-30,53.98,54.10,53.34,53.50,3324500,53.50
2013-12-27,54.13,54.32,53.85,53.96,4051800,53.96
2013-12-26,53.72,54.16,53.60,54.02,4160200,54.02
2013-12-24,53.09,53.69,53.08,53.67,1742900,53.67
2013-12-23,53.37,53.67,53.04,53.17,5158200,53.17
2013-12-20,52.23,53.32,52.08,53.12,10118800,53.12
2013-12-19,52.10,52.43,51.72,52.27,5297600,52.27
2013-12-18,51.03,52.03,50.13,51.90,12798800,51.90
2013-12-17,51.35,51.38,50.60,50.74,6552900,50.74
2013-12-16,51.45,51.70,51.24,51.31,6101600,51.31
2013-12-13,51.52,51.57,50.94,51.19,4068100,51.19
2013-12-12,51.40,51.70,51.06,51.19,4814500,51.19
2013-12-11,51.80,52.02,51.29,51.43,5862400,51.43
2013-12-10,51.43,52.07,51.16,51.85,4381800,51.85
2013-12-09,51.89,52.24,51.49,51.70,7135500,51.70
2013-12-06,51.70,52.25,51.39,51.67,5191900,51.67
2013-12-05,51.23,51.63,50.95,51.05,4788100,51.05
2013-12-04,51.26,52.06,50.94,51.27,5874500,51.27
2013-12-03,52.08,52.10,51.06,51.34,5698200,51.34
2013-12-02,52.42,53.08,52.12,52.21,4708300,52.21
2013-11-29,52.41,52.71,52.13,52.19,2636300,52.19
2013-11-27,52.59,52.69,52.13,52.40,3233500,52.40
2013-11-26,52.55,52.94,52.50,52.53,4330300,52.53
2013-11-25,52.95,52.98,52.20,52.44,5657700,52.44
2013-11-22,52.92,52.99,52.35,52.65,4967300,52.65
2013-11-21,52.33,52.96,51.96,52.95,5645800,52.95
2013-11-20,52.99,53.11,51.97,52.04,5926300,52.04
2013-11-19,52.18,52.55,51.89,52.32,5859800,52.32
2013-11-18,51.97,53.02,51.91,52.18,8509900,52.18
2013-11-15,51.25,52.09,51.25,52.01,8007300,52.01
2013-11-14,50.32,51.58,50.18,51.39,11158000,51.39
2013-11-13,49.10,50.09,48.89,50.03,6797700,50.03
2013-11-12,49.78,49.93,49.03,49.31,5511800,49.31
2013-11-11,50.00,50.14,49.47,49.90,4508300,49.90
2013-11-08,47.84,50.66,47.60,50.14,12493800,50.14
2013-11-07,48.12,48.84,47.56,47.59,5628400,47.59
2013-11-06,48.01,48.42,47.57,47.96,6221900,47.96
2013-11-05,47.99,48.24,47.71,48.07,4435100,47.80
2013-11-04,47.45,48.07,47.31,48.07,6272800,47.80
2013-11-01,47.42,47.81,47.11,47.32,6489900,47.05
2013-10-31,47.24,48.29,47.00,47.31,10198100,47.04
2013-10-30,49.30,49.40,48.59,49.00,4343600,48.72
2013-10-29,48.72,49.25,48.60,49.20,4848900,48.92
2013-10-28,48.65,48.76,48.25,48.59,4695100,48.31
2013-10-25,48.71,49.06,48.48,48.63,4896000,48.35
2013-10-24,48.29,48.63,47.92,48.57,5439500,48.29
2013-10-23,48.86,48.96,47.95,48.26,5796900,47.98
2013-10-22,49.66,49.81,49.00,49.16,5455700,48.88
2013-10-21,49.52,49.63,49.18,49.58,3453700,49.30
2013-10-18,49.53,49.67,48.81,49.45,5030600,49.17
2013-10-17,49.03,49.58,48.77,49.28,5937200,49.00
2013-10-16,48.84,49.57,48.60,49.30,5065200,49.02
2013-10-15,48.59,48.94,48.30,48.34,3931900,48.06
2013-10-14,48.40,48.89,47.96,48.67,4117300,48.39
2013-10-11,47.94,48.75,47.78,48.74,5085600,48.46
2013-10-10,47.15,48.11,47.12,48.11,5394500,47.83
2013-10-09,46.53,46.61,45.75,46.38,6089300,46.11
2013-10-08,46.86,47.08,46.26,46.45,5461000,46.18
2013-10-07,47.15,47.36,46.64,46.92,3731000,46.65
2013-10-04,47.02,47.73,46.81,47.69,5515000,47.42
2013-10-03,46.96,47.12,46.12,46.92,5973200,46.65
2013-10-02,47.00,47.11,46.44,47.10,7209600,46.83
2013-10-01,46.95,47.57,46.90,47.43,5609000,47.16
2013-09-30,46.60,47.15,46.36,46.95,8528600,46.68
2013-09-27,47.14,47.42,46.80,47.21,5860600,46.94
2013-09-26,48.05,48.34,47.42,47.58,4781300,47.31
2013-09-25,47.13,48.09,47.13,47.85,7588900,47.58
2013-09-24,47.29,47.71,46.85,47.11,6109700,46.84
2013-09-23,47.44,47.80,47.15,47.36,5694700,47.09
2013-09-20,47.46,48.00,47.31,47.49,13829400,47.22
2013-09-19,48.71,48.75,46.87,47.08,17206400,46.81
2013-09-18,49.81,50.79,48.28,48.63,13742200,48.35
2013-09-17,49.42,49.98,49.13,49.88,5114900,49.59
2013-09-16,49.34,49.72,48.97,49.35,7232900,49.07
2013-09-13,49.32,49.33,48.74,48.83,5032700,48.55
2013-09-12,49.60,49.67,49.11,49.28,3967700,49.00
2013-09-11,49.57,49.78,49.16,49.55,3527600,49.27
2013-09-10,48.99,49.78,48.90,49.62,5773300,49.34
2013-09-09,48.01,48.53,47.98,48.47,4871600,48.19
2013-09-06,48.57,48.60,47.35,47.98,4662200,47.71
2013-09-05,48.37,48.95,48.27,48.40,4380900,48.12
2013-09-04,48.01,48.98,47.48,48.38,7230300,48.10
2013-09-03,46.84,47.67,46.58,47.09,6165400,46.82
2013-08-30,46.54,46.62,46.00,46.19,4055200,45.93
2013-08-29,45.96,46.81,45.85,46.44,4201700,46.17
2013-08-28,45.86,46.22,45.52,45.96,6080700,45.70
2013-08-27,47.27,47.34,45.79,45.85,9223000,45.59
2013-08-26,48.33,48.46,47.89,47.92,5151400,47.65
2013-08-23,48.66,48.74,48.07,48.26,5585900,47.98
2013-08-22,48.01,48.97,48.01,48.64,6188700,48.36
2013-08-21,47.71,48.40,47.33,47.83,6287300,47.56
2013-08-20,47.63,48.03,47.11,47.88,4948700,47.61
2013-08-19,48.11,48.42,47.57,47.61,4774000,47.34
2013-08-16,47.79,48.85,47.76,48.28,5612300,48.00
2013-08-15,48.38,48.38,47.67,47.95,7344100,47.68
2013-08-14,49.42,49.79,48.64,48.69,5807300,48.41
2013-08-13,49.07,49.65,48.65,49.54,6455400,49.26
2013-08-12,49.32,49.59,48.83,48.88,4914000,48.60
2013-08-09,49.53,49.94,49.33,49.77,4161500,49.49
2013-08-08,49.85,50.29,49.03,49.76,6413300,49.48
2013-08-07,49.14,49.62,48.69,49.50,6146500,49.22
2013-08-06,50.39,50.39,49.46,49.58,5025400,49.02
2013-08-05,50.60,51.04,50.09,50.53,5029700,49.96
2013-08-02,50.97,51.18,50.55,50.80,7342700,50.23
2013-08-01,49.07,51.65,49.07,51.47,11857200,50.89
2013-07-31,48.32,49.24,48.25,48.42,9097400,47.88
2013-07-30,48.88,48.93,47.92,48.23,5690200,47.69
2013-07-29,48.81,48.99,48.43,48.61,3686100,48.06
2013-07-26,48.53,48.98,48.30,48.93,5217100,48.38
2013-07-25,48.99,49.01,48.42,48.87,6303600,48.32
2013-07-24,49.62,49.86,49.01,49.07,5637500,48.52
2013-07-23,49.51,49.77,49.23,49.35,5244800,48.80
2013-07-22,48.85,49.38,48.76,49.27,7419000,48.72
2013-07-19,48.75,48.83,47.94,48.64,6198400,48.09
2013-07-18,48.05,48.93,47.73,48.84,9011200,48.29
2013-07-17,48.21,48.35,47.49,47.83,6811300,47.29
2013-07-16,48.56,48.92,48.02,48.06,5771000,47.52
2013-07-15,48.79,49.06,48.49,48.54,6616000,47.99
2013-07-12,48.62,49.08,48.24,49.08,6145500,48.53
2013-07-11,49.21,49.25,48.02,48.56,8085100,48.01
2013-07-10,48.62,49.01,48.42,48.61,6381600,48.06
2013-07-09,48.49,48.84,47.97,48.78,7543800,48.23
2013-07-08,47.83,48.07,47.55,48.05,5215800,47.51
2013-07-05,46.75,47.56,46.75,47.52,5768400,46.99
2013-07-03,46.14,46.43,46.01,46.27,3237100,45.75
2013-07-02,46.38,46.94,46.31,46.57,6409000,46.05
2013-07-01,46.15,46.75,46.14,46.54,6240100,46.02
2013-06-28,45.96,46.11,45.61,45.76,6792200,45.25
2013-06-27,45.74,46.11,45.52,46.10,8263100,45.58
2013-06-26,45.33,45.63,44.67,45.40,8860500,44.89
2013-06-25,44.36,45.10,43.90,44.82,9323000,44.32
2013-06-24,44.37,44.50,43.35,43.97,10853500,43.48
2013-06-21,45.65,45.69,44.38,45.04,13507100,44.53
2013-06-20,44.67,46.14,44.54,45.12,11040200,44.61
2013-06-19,45.36,46.16,44.74,45.22,10186000,44.71
2013-06-18,45.08,45.50,44.87,45.41,4355500,44.90
2013-06-17,44.50,45.05,44.42,44.90,6231600,44.40
2013-06-14,44.76,44.87,43.76,43.97,6434900,43.48
2013-06-13,44.32,45.04,43.90,44.91,5525400,44.41
2013-06-12,44.88,45.11,44.24,44.47,5605200,43.97
2013-06-11,44.89,45.25,44.44,44.48,7923100,43.98
2013-06-10,45.33,45.96,45.15,45.60,8157300,45.09
2013-06-07,44.18,45.15,43.92,45.06,7699100,44.55
2013-06-06,43.00,43.73,42.46,43.72,7745300,43.23
2013-06-05,43.90,44.06,42.68,42.99,10408200,42.51
2013-06-04,44.35,45.02,43.68,43.96,9990500,43.47
2013-06-03,44.67,44.81,43.38,44.41,10268800,43.91
2013-05-31,44.03,45.26,43.85,44.21,14587500,43.71
2013-05-30,43.86,44.90,43.79,44.34,6454200,43.84
2013-05-29,42.80,44.43,42.67,43.93,10924600,43.44
2013-05-28,42.73,43.37,42.62,43.24,7285400,42.75
2013-05-24,42.09,42.12,41.55,42.04,4997900,41.57
2013-05-23,41.67,42.59,41.43,42.49,7613000,42.01
2013-05-22,42.87,43.56,42.02,42.26,8501400,41.79
2013-05-21,43.26,43.71,42.74,42.82,6532700,42.34
2013-05-20,43.19,43.37,42.94,43.30,4349600,42.81
2013-05-17,42.72,43.43,42.70,43.28,6837300,42.79
2013-05-16,42.96,43.12,42.45,42.57,6679200,42.09
2013-05-15,42.65,43.12,42.21,43.04,8049700,42.56
2013-05-14,41.42,42.78,41.42,42.76,8705600,42.28
2013-05-13,41.10,41.74,41.05,41.60,6425300,41.13
2013-05-10,40.75,41.17,40.51,41.16,6917100,40.70
2013-05-09,41.20,41.23,40.35,40.59,8274100,40.13
2013-05-08,40.67,41.29,40.60,41.25,5564000,40.79
2013-05-07,40.94,41.09,40.51,40.78,5509700,40.32
2013-05-06,40.57,41.00,40.40,40.75,6042400,40.02
