Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,130.10,131.27,129.00,130.25,3584000,130.25
2014-01-28,129.43,130.01,129.10,129.81,2734200,129.81
2014-01-27,130.02,130.59,128.66,128.96,3312800,128.96
2014-01-24,133.73,133.73,130.22,130.22,3776100,130.22
2014-01-23,135.64,135.66,133.95,134.71,2720300,134.71
2014-01-22,137.35,137.49,136.33,136.48,2118800,136.48
2014-01-21,138.45,138.95,136.30,136.99,2705700,136.99
2014-01-17,137.98,138.75,136.98,137.31,2327900,137.31
2014-01-16,137.74,138.50,137.63,138.16,1792700,138.16
2014-01-15,137.77,138.82,137.56,138.44,3025900,138.44
2014-01-14,135.11,137.41,134.74,137.41,2479700,137.41
2014-01-13,135.81,137.06,134.57,134.68,2633400,134.68
2014-01-10,136.95,137.19,135.68,136.18,3254300,136.18
2014-01-09,137.02,137.43,136.20,136.45,2539900,136.45
2014-01-08,137.48,137.75,136.34,136.63,3122700,136.63
2014-01-07,137.45,138.20,137.13,137.65,2525500,137.65
2014-01-06,138.75,139.29,137.48,137.63,2712100,137.63
2014-01-03,138.37,138.88,138.03,138.45,2133300,138.45
2014-01-02,138.05,139.00,137.61,138.13,3052100,138.13
2013-12-31,140.00,140.43,139.48,140.25,1846500,140.25
2013-12-30,139.08,139.65,138.79,139.42,1714300,139.42
2013-12-27,138.78,139.40,138.55,139.35,1894900,139.35
2013-12-26,137.30,138.68,137.03,138.29,2158200,138.29
2013-12-24,137.23,137.34,136.35,136.99,1311700,136.99
2013-12-23,137.10,137.43,136.32,136.80,3439600,136.80
2013-12-20,136.78,138.09,136.60,136.72,5856800,136.72
2013-12-19,135.06,136.52,134.73,136.41,4080900,136.41
2013-12-18,131.48,135.81,131.48,135.80,5580000,135.80
2013-12-17,130.42,131.62,129.98,131.39,6206800,131.39
2013-12-16,126.77,128.77,126.47,127.66,2805300,127.66
2013-12-13,126.65,127.35,125.98,126.43,1743400,126.43
2013-12-12,126.63,127.39,125.98,126.58,2486700,126.58
2013-12-11,128.74,129.66,126.71,126.77,3885500,126.77
2013-12-10,128.07,128.53,127.53,127.55,2353100,127.55
2013-12-09,128.80,129.18,128.39,128.57,2064400,128.57
2013-12-06,128.19,128.80,127.85,128.61,2886100,128.61
2013-12-05,126.40,127.65,126.22,126.83,2842700,126.83
2013-12-04,125.95,127.59,125.49,126.46,3450700,126.46
2013-12-03,126.06,127.39,125.15,126.60,7864500,126.60
2013-12-02,131.67,132.00,127.39,127.68,6897900,127.68
2013-11-29,133.51,134.16,133.34,133.51,2029000,133.51
2013-11-27,132.63,133.65,131.94,133.50,2433500,133.50
2013-11-26,131.45,132.64,131.33,132.15,4229600,132.15
