Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,52.70,52.84,51.78,52.21,19346100,52.21
2014-01-28,52.37,53.09,52.22,52.87,15078200,52.87
2014-01-27,52.86,54.10,52.53,52.53,31002000,52.53
2014-01-24,51.27,52.17,51.13,51.98,18261300,51.98
2014-01-23,51.21,51.75,50.86,51.60,15877800,51.60
2014-01-22,51.77,51.98,51.28,51.35,10653600,51.35
2014-01-21,52.03,52.25,51.71,51.83,11035500,51.83
2014-01-17,52.62,52.65,51.72,51.95,16758800,51.95
2014-01-16,52.15,52.98,52.10,52.50,7769600,52.50
2014-01-15,52.65,52.90,52.35,52.52,10488000,52.52
2014-01-14,52.53,53.10,52.17,53.00,21190700,53.00
2014-01-13,50.90,53.44,50.79,53.12,37291300,53.12
2014-01-10,49.83,50.07,49.50,49.88,8143100,49.88
2014-01-09,49.82,50.00,49.34,49.52,9323900,49.52
2014-01-08,50.10,50.14,49.60,49.79,13695700,49.79
2014-01-07,49.96,50.40,49.94,50.11,9995800,50.11
2014-01-06,49.81,50.14,49.51,49.74,9931400,49.74
2014-01-03,49.49,50.00,49.46,49.73,6435000,49.73
2014-01-02,49.88,50.04,49.30,49.49,7886500,49.49
2013-12-31,49.74,50.08,49.53,50.05,8474900,50.05
2013-12-30,49.74,49.94,49.33,49.94,6321900,49.94
2013-12-27,49.77,49.90,49.53,49.79,4244300,49.79
2013-12-26,49.44,49.75,49.36,49.72,5069800,49.72
2013-12-24,49.43,49.67,49.23,49.41,4252900,49.41
2013-12-23,49.44,49.70,49.25,49.36,8263900,49.36
2013-12-20,48.86,49.45,48.63,49.32,16805100,49.32
2013-12-19,48.75,48.95,48.53,48.79,8762400,48.79
2013-12-18,47.87,48.93,47.65,48.90,13549700,48.90
2013-12-17,47.93,48.00,47.61,47.90,13900000,47.90
2013-12-16,48.30,48.59,47.89,48.09,11349200,48.09
2013-12-13,48.74,48.90,48.06,48.38,8396300,48.38
2013-12-12,48.57,48.78,48.03,48.32,11611700,48.32
2013-12-11,49.51,49.53,48.75,48.95,14504000,48.51
2013-12-10,49.28,49.55,49.10,49.43,10236400,48.99
2013-12-09,49.38,49.85,49.20,49.56,9331500,49.11
2013-12-06,49.13,49.57,48.96,49.39,7403200,48.95
2013-12-05,48.91,49.25,48.77,48.81,8721900,48.37
2013-12-04,49.60,49.65,48.82,49.31,11433000,48.87
2013-12-03,49.82,50.06,49.38,49.76,13604400,49.31
2013-12-02,49.74,50.42,49.74,50.18,14829900,49.73
2013-11-29,49.79,49.95,49.48,49.83,6900000,49.38
2013-11-27,49.59,49.91,49.56,49.83,11565500,49.38
2013-11-26,49.66,49.75,49.16,49.58,22939300,49.13
2013-11-25,48.95,49.84,48.94,49.66,18282100,49.21
2013-11-22,48.49,49.04,48.44,48.94,13967900,48.50
2013-11-21,48.22,48.70,48.16,48.62,12837100,48.18
2013-11-20,47.98,48.42,47.75,48.13,8251900,47.70
2013-11-19,48.05,48.17,47.65,48.07,8345300,47.64
2013-11-18,48.04,48.26,47.78,48.01,7930100,47.58
2013-11-15,47.63,48.28,47.63,48.07,11991500,47.64
2013-11-14,47.52,47.87,47.50,47.82,11280600,47.39
2013-11-13,46.74,47.37,46.65,47.34,14157400,46.91
