Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,46.53,47.14,46.01,46.10,292900,46.10
2014-01-28,47.28,47.62,46.48,46.79,498500,46.79
2014-01-27,47.17,48.03,47.01,47.26,510800,47.26
2014-01-24,48.28,48.30,47.07,47.21,590700,47.21
2014-01-23,49.35,49.35,48.21,48.45,407100,48.45
2014-01-22,49.72,50.01,49.41,49.57,348000,49.57
2014-01-21,50.83,51.23,49.34,49.65,946900,49.65
2014-01-17,50.91,51.32,50.25,50.45,515200,50.45
2014-01-16,51.19,51.55,50.85,51.09,389900,51.09
2014-01-15,51.92,51.95,51.15,51.48,336500,51.48
2014-01-14,50.65,51.83,50.52,51.76,1049400,51.76
2014-01-13,51.02,51.23,50.00,50.39,968400,50.39
2014-01-10,50.57,51.53,50.34,51.08,846300,51.08
2014-01-09,50.64,50.93,49.86,50.45,742000,50.45
2014-01-08,51.44,51.63,50.46,50.60,804200,50.60
2014-01-07,51.67,51.95,51.25,51.56,623200,51.56
2014-01-06,51.68,52.53,51.00,51.68,1033800,51.68
2014-01-03,50.33,51.25,50.33,50.59,283000,50.59
2014-01-02,51.14,51.56,50.36,50.40,466900,50.40
2013-12-31,51.77,51.77,50.57,51.08,858200,51.08
2013-12-30,51.32,51.94,51.25,51.70,224000,51.70
2013-12-27,52.06,52.06,51.21,51.25,159300,51.25
2013-12-26,52.14,52.53,51.86,51.88,281700,51.88
2013-12-24,51.76,52.30,51.58,52.10,206700,52.10
2013-12-23,51.28,51.84,50.98,51.63,632100,51.63
2013-12-20,51.62,52.43,51.53,52.01,937200,52.01
2013-12-19,51.23,51.69,51.17,51.43,287000,51.43
2013-12-18,51.73,52.04,51.02,51.43,539400,51.43
2013-12-17,51.79,52.20,51.38,51.60,559100,51.60
2013-12-16,51.55,52.25,51.55,51.78,452600,51.78
2013-12-13,51.91,52.19,51.41,51.75,485500,51.75
2013-12-12,51.47,52.66,50.89,51.91,1119500,51.73
2013-12-11,51.48,51.60,50.33,50.46,576100,50.29
2013-12-10,50.97,51.50,50.71,51.45,393200,51.27
2013-12-09,50.93,51.68,50.73,51.21,413000,51.03
2013-12-06,51.38,51.78,50.71,50.73,376500,50.55
2013-12-05,51.49,51.99,50.74,51.13,665400,50.95
2013-12-04,51.00,51.76,50.52,51.67,689500,51.49
2013-12-03,51.31,51.75,50.62,51.07,561100,50.89
2013-12-02,51.11,51.86,51.10,51.55,757800,51.37
2013-11-29,51.61,51.78,50.46,51.12,597200,50.94
2013-11-27,50.73,51.76,50.41,51.61,1629600,51.43
2013-11-26,50.69,52.72,49.15,50.60,10884900,50.42
2013-11-25,46.86,47.42,46.84,47.07,193400,46.91
2013-11-22,46.88,47.09,46.22,46.80,377800,46.64
2013-11-21,46.46,47.23,46.02,46.78,720400,46.62
2013-11-20,46.87,47.35,46.22,46.38,558700,46.22
2013-11-19,46.30,46.91,45.82,46.71,798700,46.55
2013-11-18,46.78,46.92,46.08,46.38,875200,46.22
2013-11-15,45.65,47.18,45.50,46.63,2470300,46.47
2013-11-14,46.30,46.35,45.43,46.12,497400,45.96
2013-11-13,46.90,47.28,46.10,46.35,666000,46.19
2013-11-12,45.94,48.56,44.86,47.08,2410100,46.92
2013-11-11,45.75,46.65,45.28,45.96,320500,45.80
2013-11-08,45.23,46.16,45.21,45.71,408400,45.55
2013-11-07,42.77,46.78,42.37,45.43,3821200,45.27
2013-11-06,42.90,43.26,42.23,42.43,827300,42.28
2013-11-05,42.09,42.95,41.61,42.75,662500,42.60
2013-11-04,41.52,42.62,41.31,42.14,2563600,41.99
2013-11-01,42.33,43.50,42.15,43.34,1022400,43.19
2013-10-31,43.55,45.20,40.30,42.30,6635500,42.15
2013-10-30,44.60,44.89,43.35,43.66,932900,43.51
2013-10-29,44.40,45.06,44.31,44.41,1146100,44.26
2013-10-28,44.60,45.11,44.27,44.31,541300,44.16
2013-10-25,44.85,45.08,44.50,44.53,385400,44.38
2013-10-24,45.13,45.23,44.25,44.66,1344700,44.51
2013-10-23,46.28,46.45,44.55,44.82,1608700,44.66
2013-10-22,46.69,47.29,46.10,46.54,956600,46.38
2013-10-21,46.62,47.00,46.24,46.62,775300,46.46
2013-10-18,46.40,46.99,46.08,46.67,1312200,46.51
2013-10-17,45.85,46.39,45.80,46.24,863200,46.08
2013-10-16,45.50,46.81,45.44,46.24,1398300,46.08
2013-10-15,45.55,45.78,45.19,45.32,605600,45.16
2013-10-14,45.40,46.54,44.82,45.79,1088800,45.63
2013-10-11,44.43,46.38,44.03,45.95,3422900,45.79
2013-10-10,44.05,45.46,44.02,44.48,2141800,44.33
2013-10-09,43.90,45.56,42.85,45.03,15796600,44.87
2013-10-08,35.26,35.60,35.11,35.24,1153200,35.12
2013-10-07,34.42,35.47,34.17,35.34,2749700,35.22
2013-10-04,34.12,34.85,33.95,34.74,537500,34.62
2013-10-03,34.25,34.43,34.10,34.11,427500,33.99
2013-10-02,34.00,34.34,33.76,34.30,386400,34.18
2013-10-01,34.00,34.48,33.87,34.17,390200,34.05
2013-09-30,33.71,34.14,33.47,34.05,325900,33.93
2013-09-27,33.90,34.33,33.71,33.96,397900,33.84
2013-09-26,34.18,34.88,33.88,34.02,569600,33.90
2013-09-25,33.83,34.36,33.13,34.00,1209300,33.88
2013-09-24,33.01,33.02,32.46,32.79,624600,32.68
2013-09-23,33.18,33.30,32.83,32.88,653600,32.77
2013-09-20,33.74,33.85,33.20,33.26,808600,33.14
2013-09-19,33.95,34.37,33.55,33.62,618900,33.50
2013-09-18,33.65,34.22,33.36,34.03,686700,33.91
2013-09-17,33.90,34.19,33.70,33.71,714800,33.59
2013-09-16,34.77,34.79,33.75,33.82,1407700,33.70
2013-09-13,34.16,34.77,34.11,34.60,1065600,34.48
2013-09-12,33.95,35.90,33.60,34.08,5302200,33.78
2013-09-11,38.86,39.02,38.27,38.77,897400,38.43
2013-09-10,38.90,39.11,38.53,39.01,310600,38.67
2013-09-09,38.12,38.83,38.12,38.78,233400,38.44
2013-09-06,38.50,38.72,37.59,38.19,270700,37.86
2013-09-05,38.67,38.80,38.08,38.41,231300,38.07
2013-09-04,37.87,38.40,37.84,38.16,237200,37.83
2013-09-03,38.08,38.56,37.69,37.82,198500,37.49
2013-08-30,38.08,38.23,37.54,37.65,306100,37.32
2013-08-29,37.79,38.37,37.20,38.13,178600,37.80
2013-08-28,37.49,38.09,37.49,37.77,207700,37.44
2013-08-27,38.05,38.36,37.47,37.52,377000,37.19
2013-08-26,38.81,38.99,38.40,38.45,275000,38.11
2013-08-23,39.05,39.20,38.30,38.82,246200,38.48
2013-08-22,38.59,39.11,38.47,38.94,478300,38.60
2013-08-21,38.39,38.54,37.79,38.18,249200,37.85
2013-08-20,37.93,38.75,37.76,38.47,433800,38.13
2013-08-19,37.99,38.23,37.61,37.75,437200,37.42
2013-08-16,38.44,38.73,37.84,38.09,734200,37.76
2013-08-15,39.26,39.30,38.34,38.68,461000,38.34
2013-08-14,39.67,40.07,39.47,39.60,353800,39.25
2013-08-13,39.52,39.87,39.37,39.69,299400,39.34
2013-08-12,39.21,39.89,39.02,39.59,337000,39.24
2013-08-09,39.31,39.78,38.91,39.37,206400,39.03
2013-08-08,39.44,39.81,39.22,39.36,249900,39.02
2013-08-07,39.57,39.88,38.85,39.21,328500,38.87
2013-08-06,40.49,40.77,39.05,39.78,357300,39.43
2013-08-05,40.65,41.02,40.46,40.67,324700,40.31
2013-08-02,40.34,40.79,40.33,40.75,288700,40.39
2013-08-01,40.24,41.03,40.18,40.58,418100,40.23
2013-07-31,39.80,40.51,39.80,39.93,602700,39.58
2013-07-30,39.79,39.96,39.50,39.78,333800,39.43
2013-07-29,38.99,39.84,38.99,39.75,423300,39.40
2013-07-26,39.01,39.23,38.79,39.01,477300,38.67
2013-07-25,39.20,39.34,39.00,39.17,537300,38.83
2013-07-24,39.57,39.66,39.04,39.28,379100,38.94
2013-07-23,39.13,39.81,39.13,39.50,959000,39.16
2013-07-22,38.89,39.03,38.63,38.68,365700,38.34
2013-07-19,39.14,39.70,38.69,38.89,406000,38.55
2013-07-18,38.99,39.61,38.99,39.15,444000,38.81
2013-07-17,39.11,39.21,38.77,38.95,300500,38.61
2013-07-16,39.72,39.80,38.82,38.91,380200,38.57
2013-07-15,39.69,39.99,39.36,39.80,495100,39.45
2013-07-12,39.55,39.88,39.48,39.67,329500,39.32
2013-07-11,39.91,39.98,39.40,39.60,415400,39.25
2013-07-10,39.30,39.58,39.10,39.39,291500,39.05
2013-07-09,39.18,39.46,39.00,39.36,410800,39.02
2013-07-08,38.51,39.18,38.39,39.10,471500,38.76
2013-07-05,38.69,38.69,37.76,38.40,414600,38.06
2013-07-03,38.06,38.50,37.81,38.21,297200,37.88
2013-07-02,38.60,38.81,38.00,38.32,356000,37.99
2013-07-01,38.05,38.92,37.98,38.65,970200,38.31
2013-06-28,37.79,38.09,37.34,37.85,1469700,37.52
2013-06-27,37.05,38.01,37.02,37.80,1075800,37.47
2013-06-26,37.55,37.98,36.83,36.85,913700,36.53
2013-06-25,36.44,37.59,36.21,37.13,1215300,36.81
2013-06-24,35.35,35.52,34.89,35.13,483500,34.82
2013-06-21,36.41,36.62,35.50,35.79,833100,35.48
2013-06-20,36.76,36.76,36.04,36.22,650000,35.90
2013-06-19,35.00,37.41,34.90,37.04,3053800,36.72
2013-06-18,36.86,37.49,36.70,37.47,408400,37.14
2013-06-17,37.00,37.19,36.53,36.80,562400,36.48
2013-06-14,37.43,37.84,36.78,36.83,514700,36.51
2013-06-13,37.50,37.81,35.78,37.61,1550100,37.10
2013-06-12,36.06,36.18,35.29,35.59,830100,35.11
2013-06-11,35.80,36.07,35.40,35.80,427100,35.32
2013-06-10,35.98,36.48,35.65,36.23,581300,35.74
2013-06-07,35.87,36.01,35.58,35.88,365100,35.40
2013-06-06,35.44,35.72,34.78,35.58,419900,35.10
2013-06-05,35.94,36.27,35.11,35.52,629700,35.04
2013-06-04,36.26,36.58,35.52,36.12,637900,35.63
2013-06-03,36.23,36.51,35.85,36.24,585100,35.75
2013-05-31,35.72,36.65,35.44,36.20,588300,35.71
2013-05-30,35.25,35.86,35.21,35.82,366500,35.34
2013-05-29,35.39,35.65,35.01,35.10,318900,34.63
2013-05-28,35.75,36.05,35.49,35.65,346400,35.17
2013-05-24,35.28,35.67,35.10,35.34,302100,34.86
2013-05-23,35.12,35.88,35.09,35.70,660600,35.22
2013-05-22,34.93,35.80,34.85,35.53,632600,35.05
2013-05-21,34.62,35.03,34.37,34.95,299600,34.48
2013-05-20,34.46,34.82,34.25,34.67,445200,34.20
2013-05-17,34.18,34.69,34.04,34.50,514800,34.04
2013-05-16,34.60,34.67,33.81,34.09,276800,33.63
2013-05-15,34.70,34.90,34.44,34.62,200500,34.15
2013-05-14,34.45,34.77,34.39,34.73,283500,34.26
2013-05-13,35.10,35.29,34.37,34.48,490300,34.02
2013-05-10,34.90,35.74,34.86,35.50,449700,35.02
2013-05-09,34.85,35.05,34.65,34.88,272500,34.41
2013-05-08,34.71,35.00,34.40,34.85,381800,34.38
2013-05-07,33.85,34.98,33.66,34.80,513400,34.33
2013-05-06,33.90,34.27,33.58,33.71,414500,33.26
2013-05-03,32.98,34.11,32.85,33.89,353800,33.43
2013-05-02,32.92,33.40,32.86,33.05,345600,32.60
2013-05-01,33.35,33.51,32.74,32.84,509000,32.40
2013-04-30,33.21,33.54,32.97,33.50,388900,33.05
2013-04-29,33.21,33.67,33.02,33.22,360900,32.77
2013-04-26,32.96,33.20,32.44,33.10,447000,32.65
2013-04-25,32.17,33.54,32.12,33.04,496100,32.59
2013-04-24,31.82,32.10,31.77,32.04,557000,31.61
2013-04-23,32.30,32.37,31.58,31.83,557100,31.40
2013-04-22,32.60,32.74,31.57,32.00,843900,31.57
2013-04-19,32.30,32.73,31.93,32.53,408900,32.09
2013-04-18,32.90,33.00,32.10,32.24,427100,31.81
2013-04-17,33.49,33.53,32.64,32.85,484400,32.41
2013-04-16,33.48,34.05,32.98,33.82,712400,33.36
2013-04-15,34.32,34.60,33.06,33.32,724900,32.87
2013-04-12,34.01,34.72,33.87,34.60,586000,34.13
2013-04-11,33.79,35.07,33.73,34.17,770200,33.71
2013-04-10,33.16,33.95,33.02,33.72,936600,33.27
2013-04-09,33.29,33.38,32.99,33.07,437500,32.62
2013-04-08,33.17,33.26,32.83,33.26,303100,32.81
2013-04-05,32.85,33.42,32.72,33.12,350900,32.67
2013-04-04,33.00,33.45,32.80,33.43,568600,32.98
2013-04-03,33.09,33.36,32.79,33.09,536800,32.64
2013-04-02,33.20,33.30,32.99,33.07,566900,32.62
2013-04-01,33.39,33.54,32.93,32.93,805300,32.49
2013-03-28,33.46,33.59,33.10,33.42,601300,32.97
2013-03-27,33.36,33.56,33.28,33.47,371100,33.02
2013-03-26,33.43,33.59,33.13,33.59,430200,33.14
2013-03-25,33.42,33.91,33.23,33.29,503100,32.84
2013-03-22,33.54,33.66,33.28,33.38,583500,32.93
2013-03-21,33.33,33.73,33.04,33.32,655500,32.87
2013-03-20,33.64,33.87,33.46,33.65,395600,33.20
2013-03-19,34.01,34.18,32.96,33.47,937600,33.02
2013-03-18,33.45,33.98,33.34,33.97,874000,33.51
2013-03-15,34.18,34.87,33.82,33.85,1696000,33.39
2013-03-14,32.85,35.30,31.35,34.62,8465000,33.98
2013-03-13,29.13,29.48,28.95,29.07,1425500,28.53
2013-03-12,29.37,29.60,29.10,29.17,492500,28.63
2013-03-11,29.30,29.52,28.99,29.44,597800,28.89
2013-03-08,28.93,29.43,28.77,29.41,997600,28.86
2013-03-07,28.80,29.19,28.40,28.73,707500,28.20
2013-03-06,28.70,28.96,28.59,28.75,697100,28.22
2013-03-05,28.05,28.98,27.88,28.73,1046400,28.20
2013-03-04,27.85,28.15,27.71,27.86,968100,27.34
2013-03-01,28.04,28.18,27.47,27.88,1119300,27.36
2013-02-28,27.86,28.54,27.73,28.12,1487400,27.60
2013-02-27,27.87,28.13,27.77,27.79,1114600,27.27
2013-02-26,28.00,28.14,27.73,27.82,863200,27.30
2013-02-25,28.26,28.38,27.88,27.91,1184300,27.39
2013-02-22,28.64,28.70,28.07,28.10,977200,27.58
2013-02-21,29.04,29.05,28.30,28.54,1001800,28.01
2013-02-20,29.47,29.72,29.03,29.07,550000,28.53
2013-02-19,29.12,29.70,28.62,29.47,570200,28.92
2013-02-15,29.00,29.38,28.53,28.98,767100,28.44
2013-02-14,28.94,29.10,28.71,28.95,751400,28.41
2013-02-13,29.32,29.33,28.93,29.04,1229500,28.50
2013-02-12,29.53,29.57,29.16,29.27,727400,28.73
2013-02-11,30.13,30.17,29.45,29.52,705600,28.97
2013-02-08,30.30,30.56,30.12,30.21,445900,29.65
2013-02-07,30.45,30.67,30.04,30.30,405000,29.74
2013-02-06,30.00,30.46,29.65,30.40,527300,29.83
2013-02-05,29.38,30.26,29.10,30.03,1036500,29.47
2013-02-04,28.79,29.56,28.76,29.27,1024700,28.73
2013-02-01,29.85,30.00,28.95,29.19,2284100,28.65
2013-01-31,30.07,30.48,29.81,30.35,711600,29.79
2013-01-30,31.00,31.10,29.95,30.07,1430800,29.51
2013-01-29,31.14,31.43,30.89,31.20,1055600,30.62
2013-01-28,31.65,32.24,30.75,31.21,1776800,30.63
2013-01-25,32.83,33.22,32.63,33.15,320700,32.53
2013-01-24,32.44,33.30,32.34,32.70,408400,32.09
2013-01-23,33.01,33.01,32.41,32.44,545300,31.84
2013-01-22,32.90,33.25,32.76,33.18,412400,32.56
2013-01-18,32.64,32.91,32.22,32.88,617400,32.27
2013-01-17,32.03,32.74,31.90,32.68,504900,32.07
2013-01-16,32.08,32.14,31.81,31.91,821000,31.32
2013-01-15,31.00,32.13,30.94,32.00,389800,31.40
2013-01-14,31.58,31.90,30.98,31.18,790300,30.60
2013-01-11,32.10,32.10,31.52,31.70,633800,31.11
2013-01-10,32.27,32.27,31.62,32.04,449400,31.44
2013-01-09,32.37,32.69,32.12,32.31,464900,31.71
2013-01-08,32.54,32.67,31.99,32.21,703900,31.61
2013-01-07,32.92,33.12,32.24,32.66,542000,32.05
2013-01-04,32.45,32.93,32.41,32.65,543300,32.04
2013-01-03,31.56,32.52,31.52,32.36,648100,31.76
2013-01-02,31.98,32.09,31.23,31.42,759000,30.84
2012-12-31,30.31,31.25,30.22,31.16,381000,30.58
2012-12-28,29.87,30.65,29.86,30.37,393300,29.80
2012-12-27,29.97,30.27,29.84,30.10,602900,29.54
2012-12-26,30.60,30.60,29.99,30.02,1002600,29.46
2012-12-24,30.53,30.63,30.20,30.49,209100,29.92
2012-12-21,30.02,30.63,30.02,30.50,988500,29.93
2012-12-20,30.64,30.71,30.26,30.56,669100,29.99
2012-12-19,31.00,31.50,30.64,30.65,405700,30.08
2012-12-18,30.58,31.21,30.29,31.00,502900,30.42
2012-12-17,30.34,30.55,29.96,30.44,824400,29.87
2012-12-14,30.20,30.53,30.12,30.24,440500,29.68
2012-12-13,31.30,31.41,30.20,30.37,499500,29.80
2012-12-12,31.36,31.79,31.21,31.26,986000,30.68
2012-12-11,30.48,31.31,30.39,31.29,833700,30.71
2012-12-10,30.55,30.88,30.06,30.31,921300,29.75
2012-12-07,30.42,30.62,30.04,30.48,633400,29.91
2012-12-06,28.13,31.07,27.42,30.51,3968100,29.77
2012-12-05,32.64,33.01,31.32,31.35,1400600,30.59
2012-12-04,32.18,32.52,31.62,32.37,745300,31.58
2012-12-03,32.70,33.02,31.84,32.31,763600,31.52
2012-11-30,32.38,32.78,32.19,32.44,811700,31.65
2012-11-29,32.92,33.03,32.26,32.79,883400,31.99
2012-11-28,32.73,32.91,32.16,32.66,1049700,31.86
2012-11-27,33.46,34.18,33.06,33.30,570900,32.49
2012-11-26,33.42,33.66,32.62,33.51,597400,32.69
2012-11-23,33.20,33.77,32.85,33.52,147500,32.70
2012-11-21,32.74,33.45,32.56,32.60,309400,31.80
2012-11-20,32.87,32.97,32.23,32.65,380300,31.85
2012-11-19,31.77,33.05,31.77,33.00,696400,32.19
2012-11-16,30.75,31.49,30.27,31.32,1015200,30.56
