Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,35.62,36.26,35.12,35.64,2464000,35.64
2014-01-28,36.44,37.10,35.73,35.85,2953500,35.85
2014-01-27,35.73,36.31,35.67,36.20,1433900,36.20
2014-01-24,36.73,36.81,35.72,35.77,1543800,35.77
2014-01-23,37.10,37.23,36.90,36.98,1102300,36.98
2014-01-22,37.62,37.68,37.29,37.42,698200,37.42
2014-01-21,37.57,37.67,37.21,37.55,1209500,37.55
2014-01-17,37.54,37.55,37.17,37.32,1132200,37.32
2014-01-16,37.67,37.99,37.49,37.58,1894300,37.58
2014-01-15,37.20,37.85,36.73,37.38,3758900,37.38
2014-01-14,35.16,35.66,34.96,35.66,1151600,35.66
2014-01-13,35.45,35.63,34.91,35.02,994400,35.02
2014-01-10,35.72,35.76,35.46,35.61,1403400,35.61
2014-01-09,36.10,36.13,35.29,35.62,2222500,35.62
2014-01-08,36.31,36.50,36.00,36.24,1849200,36.24
2014-01-07,36.33,36.71,36.27,36.31,1389600,36.31
2014-01-06,36.12,36.31,35.80,36.03,1205900,36.03
2014-01-03,36.16,36.51,36.06,36.11,886000,36.11
2014-01-02,36.81,37.02,36.51,36.69,706500,36.69
2013-12-31,36.69,37.04,36.49,36.93,854300,36.93
2013-12-30,36.64,36.74,36.50,36.61,362600,36.61
2013-12-27,36.71,36.79,36.60,36.67,349600,36.67
2013-12-26,36.67,36.78,36.48,36.68,362000,36.68
2013-12-24,36.34,36.75,36.22,36.64,286200,36.64
2013-12-23,36.06,36.46,35.93,36.27,971700,36.27
2013-12-20,36.21,36.39,35.85,35.85,1868300,35.85
2013-12-19,36.60,36.67,36.01,36.16,1094100,36.16
2013-12-18,35.93,36.72,35.93,36.67,1508700,36.67
2013-12-17,35.67,36.05,35.48,35.95,876000,35.95
2013-12-16,35.17,35.67,35.17,35.56,972600,35.56
2013-12-13,35.05,35.31,34.96,35.16,667700,35.16
2013-12-12,34.85,35.03,34.81,34.96,726600,34.96
2013-12-11,34.89,35.03,34.65,34.96,1215300,34.96
2013-12-10,35.46,35.53,35.29,35.34,593200,35.34
2013-12-09,35.74,35.94,35.46,35.65,496500,35.65
2013-12-06,35.63,35.90,35.55,35.71,869200,35.71
2013-12-05,34.91,35.34,34.90,35.33,1046800,35.33
2013-12-04,34.82,35.16,34.82,35.03,1006400,35.03
2013-12-03,35.00,35.09,34.79,34.99,1091500,34.99
2013-12-02,35.09,35.56,35.01,35.13,666500,35.13
2013-11-29,35.38,35.46,35.11,35.11,350600,35.11
2013-11-27,35.18,35.50,34.90,35.42,751500,35.42
2013-11-26,34.94,35.22,34.77,35.01,663000,35.01
2013-11-25,35.19,35.32,34.86,34.95,1140500,34.95
2013-11-22,34.53,35.22,34.37,35.19,1119200,35.19
2013-11-21,34.09,34.63,34.06,34.56,861800,34.56
2013-11-20,34.17,34.35,34.00,34.02,666600,34.02
2013-11-19,34.57,34.68,34.34,34.43,674100,34.18
2013-11-18,34.86,34.87,34.46,34.56,984100,34.31
2013-11-15,34.45,34.84,34.37,34.78,1412800,34.53
2013-11-14,34.03,34.28,33.92,34.26,1740800,34.01
2013-11-13,33.89,34.09,33.84,33.95,1474700,33.70
2013-11-12,34.10,34.16,33.65,34.00,1162400,33.75
2013-11-11,34.03,34.35,33.86,34.25,1056000,34.00
2013-11-08,33.48,34.10,33.40,33.99,1647300,33.74
2013-11-07,34.09,34.15,33.38,33.50,2149200,33.26
2013-11-06,34.23,34.40,33.68,34.09,1621000,33.84
2013-11-05,35.15,35.21,34.08,34.18,1611700,33.93
2013-11-04,35.16,35.35,35.03,35.33,1218700,35.07
2013-11-01,34.98,35.22,34.92,35.13,1414400,34.87
2013-10-31,35.09,35.12,34.70,34.85,1578300,34.60
2013-10-30,35.49,35.99,34.95,35.10,2031700,34.85
2013-10-29,37.38,37.88,34.76,35.13,3402600,34.87
2013-10-28,39.10,39.25,38.73,38.77,1080100,38.49
2013-10-25,39.29,39.33,38.80,39.31,353400,39.02
2013-10-24,38.66,39.14,38.63,39.12,413000,38.84
2013-10-23,38.75,38.80,38.41,38.56,591000,38.28
2013-10-22,38.68,39.00,38.53,38.87,396600,38.59
2013-10-21,38.68,38.79,38.11,38.53,375000,38.25
2013-10-18,38.73,38.79,38.42,38.68,658500,38.40
2013-10-17,37.43,38.56,37.43,38.53,823100,38.25
2013-10-16,37.65,37.72,37.42,37.50,762700,37.23
2013-10-15,38.08,38.24,37.45,37.52,556900,37.25
2013-10-14,37.45,38.06,37.42,38.04,380900,37.76
2013-10-11,37.35,37.87,37.18,37.76,404400,37.49
2013-10-10,37.21,37.53,36.95,37.51,518500,37.24
2013-10-09,36.93,37.02,36.58,36.72,708000,36.45
2013-10-08,37.47,37.55,36.87,36.89,631700,36.62
2013-10-07,37.26,37.78,37.13,37.52,1050700,37.25
2013-10-04,37.51,37.75,37.42,37.52,688100,37.25
2013-10-03,37.97,37.97,37.36,37.46,749400,37.19
2013-10-02,38.27,38.47,38.00,38.11,753700,37.83
2013-10-01,38.42,38.62,38.26,38.47,692900,38.19
2013-09-30,38.25,38.56,38.08,38.38,721700,38.10
2013-09-27,38.68,38.87,38.41,38.69,950600,38.41
2013-09-26,38.43,39.05,38.23,39.03,783300,38.75
2013-09-25,38.29,38.72,38.15,38.36,453800,38.08
2013-09-24,38.48,38.89,38.43,38.62,953200,38.34
2013-09-23,38.13,38.53,37.99,38.46,687300,38.18
2013-09-20,38.86,38.90,38.26,38.31,891200,38.03
2013-09-19,38.91,39.10,38.72,38.79,474600,38.51
2013-09-18,38.22,38.86,37.62,38.85,1152600,38.57
2013-09-17,38.51,38.60,37.91,38.27,1278400,37.99
2013-09-16,39.01,39.38,38.40,38.55,1608500,38.27
2013-09-13,38.31,38.57,37.99,38.56,765200,38.28
2013-09-12,38.18,38.26,37.91,38.12,579000,37.84
2013-09-11,38.04,38.30,37.80,38.30,565000,38.02
2013-09-10,38.22,38.31,37.90,38.06,567300,37.78
2013-09-09,37.03,37.91,37.01,37.91,822900,37.63
2013-09-06,37.21,37.38,36.66,36.98,429300,36.71
2013-09-05,36.77,37.15,36.58,37.10,637700,36.83
2013-09-04,36.30,36.82,36.13,36.81,517300,36.54
2013-09-03,36.29,36.56,36.00,36.35,865600,36.09
2013-08-30,36.34,36.39,35.67,35.85,681400,35.59
2013-08-29,36.15,36.65,36.04,36.31,724900,36.05
2013-08-28,36.15,36.39,36.01,36.27,801000,36.01
2013-08-27,36.45,36.45,36.03,36.24,675200,35.98
2013-08-26,36.31,36.93,36.09,36.75,735700,36.48
2013-08-23,36.34,36.47,35.96,36.33,476900,36.07
2013-08-22,36.21,36.35,35.95,36.32,360900,36.06
2013-08-21,36.15,36.32,36.00,36.13,414300,35.87
2013-08-20,36.19,36.37,36.04,36.26,312600,36.00
2013-08-19,36.28,36.43,36.13,36.13,331400,35.87
2013-08-16,36.01,36.45,35.62,36.37,557400,36.11
2013-08-15,36.67,36.74,36.03,36.14,679000,35.88
2013-08-14,37.07,37.30,36.94,37.06,386900,36.79
2013-08-13,37.20,37.35,37.09,37.15,469100,36.88
2013-08-12,36.77,37.17,36.57,37.15,487100,36.88
2013-08-09,36.89,37.20,36.78,36.90,412000,36.63
2013-08-08,37.25,37.36,36.98,37.02,512300,36.75
2013-08-07,37.08,37.24,36.83,37.07,480400,36.80
2013-08-06,37.36,37.48,37.06,37.16,483000,36.89
2013-08-05,37.47,37.47,37.15,37.37,509900,37.10
2013-08-02,37.62,37.71,37.46,37.61,599600,37.34
