Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,29.76,30.12,29.47,29.67,4434200,29.67
2014-01-28,29.34,30.09,29.00,29.92,7564800,29.92
2014-01-27,29.40,29.40,28.58,28.59,3848200,28.59
2014-01-24,29.62,30.20,29.01,29.20,6722700,29.20
2014-01-23,28.71,28.88,28.50,28.88,3508800,28.88
2014-01-22,28.78,29.05,28.59,28.87,2989300,28.87
2014-01-21,28.80,28.89,28.59,28.70,3086600,28.70
2014-01-17,28.45,28.90,28.45,28.55,3290600,28.55
2014-01-16,28.20,28.53,27.72,28.51,6087000,28.51
2014-01-15,28.37,28.64,28.24,28.42,5248400,28.42
2014-01-14,28.08,28.57,28.08,28.24,3638100,28.24
2014-01-13,28.27,28.43,27.92,27.96,2888300,27.96
2014-01-10,28.11,28.54,28.10,28.15,3927600,28.15
2014-01-09,28.81,28.94,28.44,28.44,2148900,28.44
2014-01-08,28.89,29.04,28.78,28.78,2094900,28.78
2014-01-07,28.99,29.06,28.75,28.78,3163900,28.78
2014-01-06,28.84,28.99,28.49,28.96,4692300,28.96
2014-01-03,28.50,28.86,28.04,28.73,6138200,28.73
2014-01-02,27.70,27.94,27.59,27.86,3148900,27.86
2013-12-31,28.08,28.11,27.79,27.90,2782800,27.90
2013-12-30,28.09,28.37,27.77,27.91,3035000,27.91
2013-12-27,28.10,28.21,28.02,28.10,1812500,28.10
2013-12-26,28.38,28.40,28.04,28.15,1208700,28.15
2013-12-24,28.29,28.44,28.29,28.31,986400,28.31
2013-12-23,28.52,28.53,28.19,28.20,1847500,28.20
2013-12-20,27.91,28.36,27.87,28.32,6010100,28.32
2013-12-19,28.38,28.41,27.70,27.93,3900300,27.93
2013-12-18,28.11,28.48,27.62,28.41,3849000,28.41
2013-12-17,27.81,28.11,27.70,27.96,3314900,27.96
2013-12-16,27.89,28.27,27.88,27.91,3307400,27.91
2013-12-13,27.75,27.75,27.40,27.74,2680700,27.74
2013-12-12,27.91,28.03,27.50,27.60,2271400,27.60
2013-12-11,28.30,28.42,27.86,27.92,2155600,27.92
2013-12-10,28.29,28.38,28.08,28.26,1098700,28.26
2013-12-09,28.45,28.58,28.23,28.28,1316200,28.28
2013-12-06,28.22,28.51,28.22,28.46,3176000,28.46
2013-12-05,28.14,28.27,27.93,28.04,2506000,28.04
2013-12-04,28.39,28.50,28.11,28.23,2073400,28.23
2013-12-03,28.18,28.59,28.18,28.44,3091500,28.44
2013-12-02,28.65,28.67,28.18,28.22,1967700,28.22
2013-11-29,28.15,28.67,28.15,28.48,1478300,28.48
2013-11-27,28.40,28.57,28.22,28.54,2413300,28.54
2013-11-26,28.47,28.59,28.33,28.41,3006000,28.41
2013-11-25,28.62,28.62,28.24,28.40,3369100,28.40
2013-11-22,28.49,28.56,28.31,28.39,2381500,28.39
2013-11-21,28.40,28.54,28.30,28.48,2015900,28.48
2013-11-20,28.78,28.80,28.22,28.26,2435300,28.26
