Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,10.44,10.54,10.38,10.50,6424600,10.50
2014-01-28,10.42,10.57,10.39,10.43,11761800,10.43
2014-01-27,10.53,10.60,10.41,10.42,11010800,10.42
2014-01-24,10.58,10.68,10.52,10.54,14268800,10.54
2014-01-23,10.38,10.59,10.38,10.52,11240600,10.52
2014-01-22,10.33,10.41,10.32,10.39,9409100,10.39
2014-01-21,10.21,10.38,10.21,10.36,7423600,10.36
2014-01-17,10.22,10.22,10.13,10.20,5091500,10.20
2014-01-16,10.15,10.23,10.11,10.21,6006700,10.21
2014-01-15,10.16,10.25,10.14,10.14,6978500,10.14
2014-01-14,10.36,10.38,10.17,10.19,8824300,10.19
2014-01-13,10.25,10.45,10.20,10.39,15883400,10.39
2014-01-10,10.27,10.27,10.10,10.24,16109100,10.24
2014-01-09,10.18,10.19,9.97,10.08,11576700,10.08
2014-01-08,10.21,10.23,10.06,10.15,11104000,10.15
2014-01-07,10.10,10.28,10.09,10.25,15784100,10.25
2014-01-06,10.03,10.13,10.03,10.11,9182200,10.11
2014-01-03,10.05,10.10,9.92,10.00,9061700,10.00
2014-01-02,9.97,10.14,9.97,10.01,10863700,10.01
2013-12-31,9.77,10.05,9.76,9.97,21009500,9.97
2013-12-30,9.82,9.84,9.72,9.77,24108700,9.77
2013-12-27,9.87,9.90,9.81,9.83,12903900,9.83
2013-12-26,10.11,10.19,10.11,10.12,13281400,9.82
2013-12-24,10.21,10.25,10.10,10.11,5971600,9.81
2013-12-23,10.11,10.30,10.09,10.23,20395700,9.93
2013-12-20,9.96,10.14,9.95,10.10,26715000,9.80
2013-12-19,10.09,10.09,9.82,9.87,29216500,9.58
2013-12-18,10.05,10.38,9.96,10.22,20971300,9.92
2013-12-17,9.90,10.12,9.85,10.09,18019400,9.79
2013-12-16,9.94,9.96,9.79,9.82,13212500,9.53
2013-12-13,10.03,10.09,9.91,9.94,9304100,9.65
2013-12-12,9.97,10.07,9.88,9.97,9963200,9.67
2013-12-11,10.17,10.18,9.98,9.98,11228200,9.68
2013-12-10,10.06,10.28,10.05,10.20,19538500,9.90
2013-12-09,9.70,10.02,9.69,10.01,14983500,9.71
2013-12-06,9.89,9.91,9.66,9.74,16607600,9.45
2013-12-05,9.89,9.97,9.85,9.86,15944000,9.57
2013-12-04,9.94,10.11,9.82,10.05,15372500,9.75
2013-12-03,9.98,10.07,9.96,10.06,11295600,9.76
2013-12-02,10.18,10.18,9.94,10.01,14624500,9.71
2013-11-29,10.19,10.21,10.11,10.16,5709400,9.86
2013-11-27,10.04,10.19,10.02,10.18,16503300,9.88
2013-11-26,10.13,10.20,9.86,9.86,43953600,9.57
2013-11-25,10.20,10.28,10.16,10.20,11203600,9.90
2013-11-22,10.34,10.36,10.16,10.24,14027300,9.94
2013-11-21,10.40,10.46,10.32,10.35,12796600,10.04
2013-11-20,10.51,10.63,10.40,10.42,19370100,10.11
2013-11-19,10.57,10.58,10.50,10.50,7598700,10.19
2013-11-18,10.71,10.75,10.57,10.58,10364800,10.27
2013-11-15,10.83,10.88,10.70,10.73,9222900,10.41
2013-11-14,10.75,10.94,10.75,10.82,12774700,10.50
2013-11-13,10.49,10.72,10.46,10.72,17966100,10.40
2013-11-12,10.37,10.52,10.33,10.51,24600400,10.20
2013-11-11,10.60,10.60,10.30,10.38,22803300,10.07
2013-11-08,10.95,10.96,10.58,10.66,23686500,10.34
2013-11-07,11.27,11.30,10.96,11.04,27258000,10.71
2013-11-06,11.51,11.58,11.50,11.58,8153200,11.24
2013-11-05,11.59,11.63,11.49,11.50,9988100,11.16
2013-11-04,11.72,11.75,11.59,11.63,10938900,11.29
2013-11-01,11.73,11.83,11.68,11.79,7904100,11.44
2013-10-31,11.90,11.93,11.68,11.79,11559100,11.44
2013-10-30,11.71,11.93,11.61,11.74,12241700,11.39
2013-10-29,11.83,11.86,11.58,11.71,26183400,11.36
2013-10-28,12.13,12.20,12.01,12.14,16485800,11.78
2013-10-25,12.14,12.22,12.10,12.16,15653300,11.80
2013-10-24,12.06,12.21,12.04,12.15,18947800,11.79
2013-10-23,11.95,12.07,11.90,12.01,14114700,11.65
2013-10-22,11.86,12.01,11.83,11.97,30325500,11.62
2013-10-21,11.90,11.90,11.63,11.72,13906600,11.37
