Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,111.08,112.78,110.50,112.13,1682000,112.13
2014-01-28,113.44,113.59,111.66,112.01,2168900,112.01
2014-01-27,113.45,113.92,111.47,112.70,1687300,112.70
2014-01-24,116.68,116.71,113.43,113.45,2166900,113.45
2014-01-23,119.40,120.68,117.45,117.50,1427800,117.50
2014-01-22,119.80,120.43,118.86,120.32,1215800,120.32
2014-01-21,119.06,120.44,118.51,119.19,990900,119.19
2014-01-17,118.27,118.66,117.82,118.24,889200,118.24
2014-01-16,117.93,118.55,117.46,118.29,871600,118.29
2014-01-15,117.14,118.46,117.01,117.88,1094700,117.88
2014-01-14,116.31,117.16,115.18,117.11,1378700,117.11
2014-01-13,116.44,117.53,115.28,115.63,1201700,115.63
2014-01-10,115.99,116.57,115.02,116.37,1502400,116.37
2014-01-09,115.50,116.27,115.25,115.63,1931200,115.63
2014-01-08,114.23,115.33,113.65,115.19,1282400,115.19
2014-01-07,113.81,114.92,113.15,114.51,1666600,114.51
2014-01-06,114.01,115.09,113.43,113.80,1277200,113.80
2014-01-03,113.23,114.46,113.23,113.58,1278900,113.58
2014-01-02,114.18,114.49,112.76,113.23,1083600,113.23
2013-12-31,114.25,114.78,113.85,114.61,965800,114.61
2013-12-30,114.72,115.07,113.52,113.93,725900,113.93
2013-12-27,115.52,116.19,114.12,114.70,905300,114.70
2013-12-26,114.45,115.88,114.37,115.32,981100,115.32
2013-12-24,112.56,114.30,112.56,114.22,570600,114.22
2013-12-23,113.00,113.26,112.04,112.53,1140500,112.53
2013-12-20,110.66,113.05,110.31,112.26,3552100,112.26
2013-12-19,111.45,111.85,110.17,110.55,1374500,110.55
2013-12-18,109.93,111.52,108.47,111.48,2067500,111.48
2013-12-17,109.82,110.14,109.34,109.57,1194000,109.57
2013-12-16,108.96,110.00,108.42,109.66,1333000,109.66
2013-12-13,108.16,109.24,107.79,108.92,899400,108.92
2013-12-12,107.65,108.32,107.21,108.03,1881600,108.03
2013-12-11,110.29,110.50,107.22,107.52,2031100,107.52
2013-12-10,109.85,110.54,109.56,110.13,1074800,110.13
2013-12-09,110.18,110.35,109.16,109.94,1312100,109.94
2013-12-06,110.07,110.35,109.24,110.26,1916900,110.26
2013-12-05,110.08,111.17,109.43,109.54,1239500,109.54
2013-12-04,111.99,112.76,109.66,110.49,1799800,110.49
2013-12-03,111.97,113.24,111.51,112.52,1697600,112.52
2013-12-02,112.60,113.15,111.61,111.82,906700,111.82
2013-11-29,113.98,114.48,112.50,112.68,724900,112.68
2013-11-27,111.86,114.33,111.66,113.95,1634400,113.95
2013-11-26,111.65,112.40,111.65,111.97,2032900,111.36
2013-11-25,112.12,112.53,110.97,111.65,1998400,111.04
2013-11-22,110.39,112.25,110.34,112.01,1228100,111.40
2013-11-21,110.35,111.05,110.21,110.77,1584500,110.17
2013-11-20,110.16,110.66,109.48,109.78,890000,109.18
2013-11-19,110.76,111.14,109.86,110.25,1078700,109.65
2013-11-18,110.48,111.34,110.08,110.58,1334900,109.98
2013-11-15,109.63,109.71,108.34,109.53,1085400,108.93
2013-11-14,109.98,110.17,109.14,110.10,1028500,109.50
2013-11-13,109.01,109.32,106.67,109.31,1581000,108.71
2013-11-12,110.00,110.01,109.00,109.35,919500,108.75
2013-11-11,110.23,110.29,109.61,110.17,895600,109.57
2013-11-08,108.73,110.76,108.61,110.73,829200,110.13
2013-11-07,109.68,110.47,108.58,108.67,1088800,108.08
2013-11-06,109.33,109.89,108.61,109.62,773000,109.02
2013-11-05,108.49,109.65,108.21,109.12,788200,108.53
2013-11-04,108.45,109.25,108.36,108.65,1126100,108.06
2013-11-01,107.57,109.41,107.53,108.12,1947400,107.53
2013-10-31,107.74,108.69,107.28,107.51,1857900,106.92
2013-10-30,108.55,108.86,107.20,107.60,1074000,107.01
2013-10-29,107.89,108.40,106.93,108.31,1201200,107.72
2013-10-28,108.09,108.33,107.63,107.86,1049800,107.27
2013-10-25,107.28,108.78,106.88,108.37,1503600,107.78
2013-10-24,105.96,108.01,105.69,107.48,1769700,106.89
2013-10-23,102.50,105.71,102.25,105.56,1957200,104.98
2013-10-22,100.66,101.90,100.63,101.46,1017500,100.91
2013-10-21,101.74,101.80,99.89,100.20,1098300,99.65
2013-10-18,100.88,101.60,100.45,101.59,1123800,101.04
2013-10-17,98.51,100.73,98.13,100.73,1246700,100.18
2013-10-16,98.02,98.72,97.83,98.68,1007800,98.14
2013-10-15,98.83,98.91,97.15,97.35,1128400,96.82
2013-10-14,97.70,99.03,97.16,98.81,764500,98.27
2013-10-11,97.15,98.41,97.06,98.36,963700,97.82
2013-10-10,94.85,97.11,94.82,97.10,1169600,96.57
2013-10-09,94.10,94.64,93.33,94.10,1290200,93.59
2013-10-08,94.80,95.00,93.69,94.09,1450300,93.58
2013-10-07,92.92,95.56,92.82,94.98,1828200,94.46
2013-10-04,93.09,93.53,92.51,93.32,1218700,92.81
2013-10-03,95.09,95.09,92.61,93.08,1579200,92.57
2013-10-02,95.84,95.90,94.38,95.18,1436700,94.66
2013-10-01,95.19,96.19,95.00,96.14,890000,95.62
2013-09-30,95.45,95.76,95.15,95.26,1159700,94.74
2013-09-27,96.11,96.49,95.64,96.25,770000,95.73
2013-09-26,95.69,96.45,95.56,96.37,827300,95.84
2013-09-25,96.04,96.12,95.47,95.73,1052800,95.21
2013-09-24,96.04,96.46,95.76,95.95,1249100,95.43
2013-09-23,96.30,96.73,95.40,95.86,1470700,95.34
2013-09-20,98.29,98.30,96.09,96.30,2412400,95.78
2013-09-19,98.61,99.10,98.02,98.05,910500,97.52
2013-09-18,98.72,99.05,97.44,98.59,1303700,98.05
2013-09-17,97.72,98.83,97.60,98.75,874200,98.21
2013-09-16,97.04,98.00,96.62,97.79,957800,97.26
2013-09-13,96.05,96.27,95.25,96.19,889200,95.67
2013-09-12,95.04,96.08,95.04,95.74,1059900,95.22
2013-09-11,94.56,95.11,94.50,95.11,1425200,94.59
2013-09-10,93.47,94.72,93.24,94.45,1378500,93.94
2013-09-09,93.35,93.83,93.35,93.51,1009400,93.00
2013-09-06,93.71,93.83,92.32,93.12,1033600,92.61
2013-09-05,93.61,93.73,93.26,93.56,1111500,93.05
2013-09-04,92.95,94.29,92.95,93.56,1307100,93.05
2013-09-03,93.43,93.95,92.89,93.14,1229000,92.63
2013-08-30,93.17,93.35,91.97,92.27,1011000,91.77
2013-08-29,92.47,93.49,91.99,93.06,891100,92.55
2013-08-28,93.07,93.54,92.60,92.95,1327900,91.84
2013-08-27,94.40,95.02,92.83,92.93,1274800,91.82
2013-08-26,94.81,95.15,94.26,94.55,1038100,93.42
