Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,81.42,81.42,79.50,80.51,1048400,80.51
2014-01-28,80.61,82.80,80.00,81.43,2261500,81.43
2014-01-27,77.38,82.40,77.38,80.40,2343100,80.40
2014-01-24,81.30,81.49,76.80,76.89,2693200,76.89
2014-01-23,82.70,83.95,78.97,81.56,3352900,81.56
2014-01-22,78.54,84.03,78.25,82.15,5353600,82.15
2014-01-21,79.49,84.63,77.08,77.39,5721800,77.39
2014-01-17,80.32,85.64,74.13,79.47,9153700,79.47
2014-01-16,89.79,95.83,67.51,84.80,23409100,84.80
2014-01-15,127.47,129.50,108.02,115.23,9899600,115.23
2014-01-14,137.60,137.70,134.00,136.47,676800,136.47
2014-01-13,138.15,140.50,135.16,136.01,802000,136.01
2014-01-10,138.27,138.92,136.76,137.68,640000,137.68
2014-01-09,138.50,139.35,137.37,137.92,651700,137.92
2014-01-08,138.06,138.72,136.52,137.85,623200,137.85
2014-01-07,134.36,139.00,134.07,137.68,1349000,137.68
2014-01-06,131.38,134.54,130.54,133.26,1351700,133.26
2014-01-03,139.15,139.15,128.81,132.41,2005000,132.41
2014-01-02,138.22,139.47,136.65,138.07,504400,138.07
2013-12-31,139.00,139.42,137.66,138.22,409900,138.22
2013-12-30,136.68,138.81,136.30,138.63,400600,138.63
2013-12-27,137.75,138.49,136.40,137.01,536900,137.01
2013-12-26,137.86,139.50,136.83,137.62,502600,137.62
2013-12-24,138.49,138.54,136.52,137.51,324800,137.51
2013-12-23,138.29,139.81,137.58,138.66,893900,138.66
2013-12-20,134.70,137.88,134.70,136.40,1775700,136.40
2013-12-19,135.73,136.00,133.79,134.67,819900,134.67
2013-12-18,131.55,135.97,131.14,135.73,1129000,135.73
2013-12-17,132.06,133.22,130.50,131.55,1142500,131.55
2013-12-16,130.76,133.89,130.38,132.64,1319000,132.64
2013-12-13,128.80,130.09,128.23,129.94,666700,129.94
2013-12-12,125.33,130.13,125.33,128.81,919600,128.81
2013-12-11,129.55,131.00,125.17,125.53,1156500,125.53
2013-12-10,131.01,131.75,128.71,129.55,881000,129.55
2013-12-09,128.86,131.60,127.93,131.52,1063300,131.52
2013-12-06,129.01,130.61,127.79,128.93,673300,128.93
2013-12-05,128.55,129.68,127.49,128.06,759900,128.06
2013-12-04,131.69,132.67,126.91,128.77,1347100,128.77
2013-12-03,125.00,132.06,124.16,131.96,1554100,131.96
2013-12-02,127.90,127.95,124.16,125.01,1168600,125.01
2013-11-29,127.50,128.87,127.39,127.84,355200,127.84
2013-11-27,125.60,127.66,125.35,127.36,746900,127.36
2013-11-26,124.39,126.76,123.16,125.77,829600,125.77
2013-11-25,125.44,127.50,122.51,123.78,1080800,123.78
2013-11-22,120.00,125.64,119.45,125.39,2121500,125.39
2013-11-21,119.01,121.99,117.17,119.05,2568600,119.05
2013-11-20,115.13,116.82,114.02,114.74,765700,114.74
2013-11-19,113.28,116.67,113.21,115.08,830000,114.78
2013-11-18,114.99,117.38,112.63,113.28,779100,112.98
2013-11-15,112.16,114.27,111.01,114.09,882500,113.79
2013-11-14,111.64,113.91,110.81,112.08,871100,111.79
2013-11-13,110.00,111.70,109.42,111.31,1259900,111.02
2013-11-12,110.86,112.00,109.50,110.19,1489900,109.90
2013-11-11,112.54,112.79,110.58,111.00,1720300,110.71
2013-11-08,110.36,114.56,109.83,112.87,2184100,112.58
2013-11-07,118.66,119.14,108.72,109.94,2865500,109.65
2013-11-06,120.02,120.34,117.86,118.40,841400,118.09
2013-11-05,118.72,120.78,118.00,119.89,1348000,119.58
2013-11-04,117.63,119.71,117.21,119.23,946300,118.92
2013-11-01,117.01,118.36,115.51,117.38,1144600,117.07
2013-10-31,117.07,120.11,115.01,116.93,1558700,116.63
2013-10-30,119.50,120.82,116.52,117.10,2117000,116.79
2013-10-29,117.28,119.30,116.08,119.21,1409700,118.90
2013-10-28,116.41,117.76,114.57,117.16,1538900,116.85
2013-10-25,114.46,115.86,113.54,115.76,1188400,115.46
2013-10-24,111.72,114.84,110.60,113.98,1712900,113.68
2013-10-23,110.85,114.84,108.13,111.55,1605300,111.26
2013-10-22,117.11,119.46,102.71,111.33,5770600,111.04
2013-10-21,102.26,103.39,100.67,102.70,1751200,102.43
2013-10-18,100.73,101.82,99.03,101.76,1087500,101.49
2013-10-17,102.79,103.06,98.32,100.25,2971500,99.99
2013-10-16,99.33,103.26,99.13,103.08,1829700,102.81
2013-10-15,97.46,99.75,97.04,99.57,1312900,99.31
2013-10-14,95.00,97.83,93.79,97.13,1047700,96.88
2013-10-11,96.72,97.41,95.14,95.65,604000,95.40
2013-10-10,94.34,96.96,94.19,96.70,1067200,96.45
2013-10-09,94.22,94.49,88.80,92.69,2591700,92.45
2013-10-08,98.50,99.04,94.78,95.14,1610800,94.89
2013-10-07,99.00,99.17,98.13,98.59,1151100,98.33
2013-10-04,97.91,100.00,97.81,99.50,984300,99.24
2013-10-03,98.46,98.59,97.71,98.00,1216400,97.74
2013-10-02,97.78,98.50,96.07,98.34,1130800,98.08
2013-10-01,95.74,98.85,95.50,98.24,1282700,97.98
2013-09-30,97.30,97.55,95.47,95.74,1416200,95.49
2013-09-27,97.55,99.00,95.48,98.76,1253300,98.50
2013-09-26,97.75,99.60,96.71,98.24,861500,97.98
2013-09-25,94.18,97.75,94.18,97.25,1272500,97.00
2013-09-24,93.56,95.50,93.37,94.17,880100,93.92
2013-09-23,92.79,93.63,91.36,93.59,835600,93.35
2013-09-20,93.51,93.99,92.61,92.79,663200,92.55
2013-09-19,94.78,95.74,92.80,93.57,774500,93.33
2013-09-18,94.23,94.73,92.50,94.67,641600,94.42
2013-09-17,94.32,94.83,92.54,94.54,773900,94.29
2013-09-16,93.32,95.34,93.03,94.01,1043600,93.76
2013-09-13,93.64,94.48,91.33,92.67,1025900,92.43
2013-09-12,94.02,94.50,93.01,93.33,596700,93.09
2013-09-11,94.54,94.97,92.66,93.77,633100,93.53
2013-09-10,94.29,95.39,93.75,94.54,1650300,94.29
2013-09-09,88.27,93.33,88.27,92.96,2001000,92.72
2013-09-06,89.00,89.25,85.39,88.14,968700,87.91
2013-09-05,85.05,89.42,85.01,88.52,1169300,88.29
2013-09-04,84.66,85.45,83.86,84.74,629200,84.52
2013-09-03,84.75,85.55,83.75,84.47,519300,84.25
2013-08-30,85.26,85.26,82.60,83.71,585000,83.49
2013-08-29,83.76,86.13,83.63,85.26,469500,85.04
2013-08-28,83.50,84.47,83.24,83.35,624200,83.13
2013-08-27,85.80,85.94,82.30,83.71,682700,83.49
2013-08-26,87.00,87.43,85.92,86.18,375500,85.96
2013-08-23,87.00,87.19,86.30,86.91,501700,86.68
2013-08-22,86.46,88.20,86.09,87.00,517200,86.77
2013-08-21,86.65,86.89,85.70,86.01,638000,85.79
2013-08-20,84.71,87.00,84.28,86.46,762600,85.94
2013-08-19,87.05,87.05,84.37,84.73,859500,84.22
2013-08-16,84.20,87.80,84.00,87.13,999800,86.60
2013-08-15,88.00,88.00,84.03,84.21,1079100,83.70
2013-08-14,88.57,90.00,87.80,88.09,707700,87.56
2013-08-13,88.50,88.89,87.35,88.81,1450800,88.27
2013-08-12,87.35,88.84,87.00,88.28,615300,87.74
2013-08-09,87.39,87.94,86.81,87.47,513500,86.94
2013-08-08,87.50,88.13,86.47,87.51,786400,86.98
2013-08-07,87.37,87.58,84.20,87.22,797000,86.69
2013-08-06,88.05,88.73,86.11,87.35,1108000,86.82
2013-08-05,88.00,88.14,86.26,88.05,1337200,87.52
2013-08-02,88.17,88.73,86.34,88.05,1201700,87.52
2013-08-01,86.54,89.85,82.77,87.26,3796300,86.73
2013-07-31,83.13,84.49,82.43,83.64,1614400,83.13
2013-07-30,82.84,83.47,81.73,82.80,798000,82.30
2013-07-29,82.00,82.98,81.42,81.84,652500,81.34
2013-07-26,81.15,82.32,80.70,81.96,579700,81.46
2013-07-25,81.69,82.48,80.61,81.31,1051500,80.82
2013-07-24,81.30,82.15,81.20,81.34,690300,80.85
2013-07-23,82.28,82.49,80.50,81.47,793600,80.98
2013-07-22,81.79,81.99,80.26,81.78,840800,81.28
2013-07-19,82.19,82.20,81.11,81.74,679800,81.24
2013-07-18,77.88,85.00,77.81,82.32,3590100,81.82
2013-07-17,76.86,78.00,76.86,77.38,537900,76.91
2013-07-16,77.69,78.02,76.80,77.02,818400,76.55
2013-07-15,79.34,79.90,77.54,77.65,1077800,77.18
2013-07-12,76.55,78.20,76.39,78.00,1376400,77.53
2013-07-11,79.90,79.96,76.05,76.93,2816500,76.46
2013-07-10,73.00,79.70,70.83,79.36,7565500,78.88
2013-07-09,64.98,66.79,64.86,66.57,986100,66.17
2013-07-08,64.21,65.38,64.01,64.44,743300,64.05
2013-07-05,62.20,64.25,60.77,63.71,723500,63.32
2013-07-03,62.14,62.21,61.02,62.17,336700,61.79
2013-07-02,62.59,62.69,62.05,62.22,485000,61.84
2013-07-01,61.21,62.70,61.21,62.45,501500,62.07
2013-06-28,62.01,62.31,61.12,61.12,609800,60.75
2013-06-27,61.44,63.19,61.44,62.18,493300,61.80
2013-06-26,60.80,61.54,60.63,61.42,357200,61.05
2013-06-25,59.66,60.89,59.53,60.50,481600,60.13
2013-06-24,58.27,59.99,57.59,59.19,499300,58.83
2013-06-21,59.83,59.90,58.42,58.83,840200,58.47
2013-06-20,61.00,61.06,59.38,59.61,541100,59.25
2013-06-19,62.39,62.46,61.32,61.37,344400,61.00
2013-06-18,61.74,62.51,61.55,62.32,388600,61.94
2013-06-17,61.55,62.29,60.94,61.73,730600,61.36
2013-06-14,62.00,63.57,61.23,61.34,854000,60.97
2013-06-13,60.74,61.71,60.00,61.61,524400,61.24
2013-06-12,59.79,61.51,59.74,60.78,945900,60.41
2013-06-11,59.07,59.70,58.49,59.03,667200,58.67
2013-06-10,59.20,59.55,58.24,59.37,731900,59.01
2013-06-07,57.50,59.40,57.20,59.09,807300,58.73
2013-06-06,56.40,57.44,56.19,57.20,672800,56.85
2013-06-05,57.85,58.00,55.59,56.34,839700,56.00
2013-06-04,58.23,58.65,57.51,57.93,650100,57.58
2013-06-03,58.78,59.45,57.26,57.98,769400,57.63
2013-05-31,58.79,59.14,58.35,58.80,718200,58.44
2013-05-30,58.53,59.38,58.30,58.98,610700,58.62
2013-05-29,60.00,60.19,58.40,58.56,982700,58.20
2013-05-28,60.81,60.98,59.65,60.30,868500,59.93
2013-05-24,61.10,61.16,60.12,60.49,510900,60.12
2013-05-23,60.40,61.90,58.81,61.33,1157100,60.96
2013-05-22,62.20,62.48,60.35,60.86,1530800,60.49
2013-05-21,62.80,62.96,61.91,62.43,1190300,61.75
2013-05-20,61.22,63.35,61.10,62.80,968500,62.12
2013-05-17,61.31,61.50,60.76,61.23,615900,60.57
2013-05-16,61.36,61.68,60.28,61.39,1252900,60.72
2013-05-15,59.73,62.60,59.73,61.39,1664300,60.72
2013-05-14,59.01,60.00,57.86,59.65,998100,59.00
2013-05-13,58.15,59.38,58.15,59.00,952400,58.36
2013-05-10,56.92,58.76,56.78,58.64,1162700,58.00
2013-05-09,55.49,57.11,55.23,57.08,1152800,56.46
2013-05-08,54.55,55.90,54.52,55.63,698000,55.03
2013-05-07,54.76,55.00,53.77,54.50,854200,53.91
2013-05-06,54.40,56.00,54.02,54.52,961000,53.93
2013-05-03,54.19,54.64,53.90,54.31,1051100,53.72
2013-05-02,55.29,56.78,52.33,54.28,2428000,53.69
2013-05-01,50.76,51.87,50.60,51.73,741100,51.17
2013-04-30,51.00,51.18,50.40,50.73,632100,50.18
2013-04-29,50.14,51.35,49.50,50.79,695100,50.24
2013-04-26,50.65,50.93,49.33,50.04,760200,49.50
2013-04-25,50.84,51.61,50.47,50.66,630200,50.11
2013-04-24,51.00,51.31,50.08,51.09,592000,50.54
2013-04-23,50.75,51.00,49.88,50.99,659700,50.44
2013-04-22,49.78,50.64,49.24,50.55,567300,50.00
2013-04-19,50.61,50.73,49.10,49.68,715600,49.14
2013-04-18,49.57,50.87,49.20,50.50,1433900,49.95
2013-04-17,49.59,49.79,49.10,49.53,919200,48.99
2013-04-16,48.70,49.96,48.58,49.82,835600,49.28
2013-04-15,49.32,49.50,48.40,48.52,1148000,47.99
2013-04-12,49.39,49.98,48.75,49.78,861800,49.24
2013-04-11,48.75,49.98,48.46,49.57,1139700,49.03
2013-04-10,47.00,49.32,46.65,48.77,2222000,48.24
2013-04-09,46.24,47.00,43.00,46.90,3681500,46.39
2013-04-08,44.82,46.31,44.64,46.28,944300,45.78
2013-04-05,43.91,45.02,43.54,44.90,622300,44.41
2013-04-04,44.14,44.50,43.73,44.28,379500,43.80
2013-04-03,44.40,44.50,43.67,44.14,615700,43.66
2013-04-02,44.21,44.98,44.21,44.40,641300,43.92
2013-04-01,44.29,44.59,43.81,44.15,563400,43.67
2013-03-28,44.32,44.51,43.71,44.20,637700,43.72
2013-03-27,44.94,44.95,43.95,44.49,900400,44.01
2013-03-26,43.07,45.23,42.64,45.19,1144000,44.70
2013-03-25,43.13,43.18,42.03,43.05,694700,42.58
2013-03-22,42.28,43.18,41.96,43.05,612500,42.58
2013-03-21,41.41,42.41,41.35,42.22,570100,41.76
2013-03-20,41.38,41.63,40.79,41.50,643500,41.05
2013-03-19,41.73,41.96,40.82,41.08,460700,40.63
2013-03-18,40.90,41.79,40.32,41.61,639600,41.16
2013-03-15,41.94,42.16,40.86,41.10,690600,40.65
2013-03-14,42.78,43.19,41.37,42.01,849100,41.55
2013-03-13,43.08,43.16,42.26,42.63,1317200,42.17
2013-03-12,42.49,43.27,41.85,43.19,972800,42.72
2013-03-11,41.92,43.24,41.86,42.47,935800,42.01
2013-03-08,41.87,42.20,41.52,41.83,789900,41.38
2013-03-07,42.17,42.50,41.67,41.68,602400,41.23
2013-03-06,41.97,42.32,41.52,41.95,997100,41.50
2013-03-05,42.61,42.80,40.15,41.84,2138500,41.39
2013-03-04,41.65,42.79,41.15,42.56,1122300,42.10
2013-03-01,40.94,41.81,40.67,41.71,1126400,41.26
2013-02-28,39.91,41.82,39.90,41.20,1844400,40.75
2013-02-27,39.10,40.36,39.08,40.06,847000,39.63
2013-02-26,38.75,39.47,38.51,39.20,823500,38.77
2013-02-25,38.45,39.41,38.22,38.66,1555800,38.24
2013-02-22,39.62,40.27,37.93,38.19,1835800,37.78
2013-02-21,40.07,40.15,39.31,39.43,1115900,39.00
2013-02-20,41.04,41.45,40.01,40.18,1524100,39.74
2013-02-19,41.50,41.63,40.50,41.41,1502500,40.66
2013-02-15,42.97,43.77,41.04,41.27,1689200,40.53
2013-02-14,42.56,42.82,39.50,41.93,3479400,41.17
2013-02-13,42.06,43.01,41.65,42.92,1016400,42.15
2013-02-12,42.82,42.99,41.30,41.79,805000,41.04
2013-02-11,42.12,42.89,41.51,42.55,783700,41.78
2013-02-08,42.62,43.01,41.81,41.86,598100,41.11
2013-02-07,41.45,43.23,41.45,42.68,1387800,41.91
2013-02-06,41.00,42.02,40.56,41.72,1384100,40.97
2013-02-05,42.00,43.87,41.98,42.99,2011900,42.22
2013-02-04,40.37,42.35,39.52,41.80,1837600,41.05
2013-02-01,42.67,42.75,41.50,41.80,583100,41.05
2013-01-31,41.77,42.86,41.51,42.36,861600,41.60
2013-01-30,42.91,43.12,41.50,41.69,1405200,40.94
2013-01-29,43.01,43.74,42.70,42.92,1207400,42.15
2013-01-28,44.98,45.38,41.85,42.78,3373500,42.01
2013-01-25,44.64,45.45,44.31,45.08,926600,44.27
2013-01-24,44.76,44.86,44.31,44.46,535000,43.66
2013-01-23,44.84,44.94,43.97,44.70,938500,43.89
2013-01-22,44.09,44.91,43.59,44.90,1460800,44.09
2013-01-18,45.55,45.70,44.55,44.95,1230900,44.14
2013-01-17,44.99,47.36,44.77,45.74,4007800,44.92
2013-01-16,42.72,43.39,42.20,42.50,1026200,41.73
2013-01-15,42.18,43.18,42.00,42.94,957400,42.17
2013-01-14,42.09,43.02,42.09,42.71,1241900,41.94
2013-01-11,41.35,42.16,41.05,42.08,1604100,41.32
