Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,25.83,25.92,25.49,25.76,2092200,25.76
2014-01-28,25.37,26.40,25.22,25.76,3750600,25.76
2014-01-27,26.97,27.24,26.66,26.90,2110300,26.90
2014-01-24,27.86,27.95,26.82,26.83,2163500,26.83
2014-01-23,28.10,28.27,27.71,27.96,1411200,27.96
2014-01-22,28.44,28.49,28.03,28.33,844200,28.33
2014-01-21,28.86,28.97,28.15,28.32,1113900,28.32
2014-01-17,28.70,29.18,28.45,28.67,1002200,28.67
2014-01-16,28.55,28.81,28.35,28.62,907400,28.62
2014-01-15,28.65,28.72,28.38,28.68,721500,28.68
2014-01-14,28.28,28.69,28.28,28.63,756100,28.63
2014-01-13,28.42,28.65,28.09,28.23,829500,28.23
2014-01-10,28.39,28.62,28.27,28.43,1024700,28.43
2014-01-09,28.19,28.29,28.06,28.27,616000,28.27
2014-01-08,27.87,28.17,27.72,28.06,1310300,28.06
2014-01-07,28.49,28.54,27.73,27.92,2182700,27.92
2014-01-06,28.64,28.77,28.26,28.48,1242100,28.48
2014-01-03,28.60,28.75,28.49,28.60,996500,28.60
2014-01-02,28.74,28.83,28.30,28.50,1134200,28.50
2013-12-31,28.96,29.07,28.73,28.85,741200,28.85
2013-12-30,29.00,29.18,28.84,28.99,853100,28.99
2013-12-27,28.94,29.10,28.67,29.03,590500,29.03
2013-12-26,28.67,28.91,28.66,28.82,558500,28.82
2013-12-24,28.30,28.73,28.14,28.64,508700,28.64
2013-12-23,28.34,28.70,28.19,28.40,1127100,28.40
2013-12-20,28.99,29.16,27.95,28.26,2852400,28.26
2013-12-19,28.96,29.52,28.92,29.03,1891700,29.03
2013-12-18,28.72,29.45,28.47,28.95,2713200,28.95
2013-12-17,27.92,28.72,27.90,28.66,2508700,28.66
2013-12-16,27.30,27.95,27.30,27.89,1280000,27.89
2013-12-13,27.10,27.34,27.09,27.32,649700,27.32
2013-12-12,27.37,27.42,26.92,27.12,937900,27.12
2013-12-11,27.57,27.65,27.38,27.39,2610000,27.39
2013-12-10,27.14,27.58,27.11,27.53,1363500,27.53
2013-12-09,27.21,27.23,26.90,27.16,1253100,27.16
2013-12-06,27.18,27.45,26.99,27.25,1012600,27.25
2013-12-05,26.26,27.01,26.24,26.97,1985900,26.97
2013-12-04,26.50,26.57,26.01,26.35,1174500,26.35
2013-12-03,26.66,27.05,26.33,26.53,2667100,26.53
2013-12-02,26.48,27.46,25.93,26.76,4466600,26.76
2013-11-29,24.80,24.98,24.70,24.83,483000,24.83
2013-11-27,24.77,24.88,24.57,24.75,733600,24.75
