Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,15.55,15.70,15.47,15.53,1443400,15.53
2014-01-28,15.65,15.73,15.51,15.69,1297600,15.69
2014-01-27,15.53,15.74,15.25,15.65,2157900,15.65
2014-01-24,16.36,16.42,15.44,15.48,2707700,15.48
2014-01-23,16.87,17.12,16.36,16.52,2229300,16.52
2014-01-22,16.79,16.89,16.68,16.87,1266800,16.87
2014-01-21,16.88,17.00,16.72,16.76,1326700,16.76
2014-01-17,16.77,16.88,16.69,16.79,3709600,16.79
2014-01-16,16.84,16.87,16.68,16.76,762500,16.76
2014-01-15,16.78,16.86,16.69,16.79,1059900,16.79
2014-01-14,16.58,16.73,16.48,16.71,1249600,16.71
2014-01-13,17.10,17.11,16.46,16.49,1417300,16.49
2014-01-10,17.02,17.13,16.90,17.12,1079900,17.12
2014-01-09,17.09,17.11,16.77,16.99,1411500,16.99
2014-01-08,17.15,17.24,17.00,17.02,2406300,17.02
2014-01-07,16.95,17.17,16.77,17.12,1461200,17.12
2014-01-06,17.13,17.16,16.82,16.85,1723600,16.85
2014-01-03,17.05,17.17,16.96,17.01,934200,17.01
2014-01-02,17.16,17.25,16.92,17.05,1064800,17.05
2013-12-31,17.24,17.31,17.12,17.27,1224200,17.27
2013-12-30,16.90,17.17,16.86,17.10,1062500,17.10
2013-12-27,16.93,17.04,16.75,16.98,916400,16.98
2013-12-26,17.01,17.10,16.85,16.87,804900,16.87
2013-12-24,16.90,16.98,16.78,16.96,449900,16.96
2013-12-23,16.90,17.00,16.80,16.84,1421900,16.84
2013-12-20,16.27,16.82,16.27,16.81,3967500,16.81
2013-12-19,16.34,16.37,16.19,16.23,995900,16.23
2013-12-18,16.22,16.36,15.93,16.35,2104600,16.35
2013-12-17,16.32,16.32,16.03,16.16,1892200,16.16
2013-12-16,16.15,16.47,16.10,16.43,1975700,16.43
2013-12-13,16.34,16.35,16.00,16.10,1118800,16.10
2013-12-12,16.22,16.37,16.14,16.27,1240600,16.27
2013-12-11,16.74,16.96,16.25,16.27,1817500,16.27
2013-12-10,16.99,16.99,16.75,16.78,1413700,16.78
2013-12-09,16.86,17.06,16.81,17.00,998900,17.00
2013-12-06,16.81,16.95,16.76,16.86,1441400,16.86
2013-12-05,16.58,16.67,16.49,16.67,1334700,16.67
2013-12-04,16.65,16.84,16.44,16.60,1012000,16.60
2013-12-03,16.79,16.81,16.50,16.66,1493500,16.66
2013-12-02,17.03,17.05,16.67,16.93,1823300,16.93
2013-11-29,17.25,17.34,17.20,17.20,629800,17.02
2013-11-27,17.32,17.35,17.13,17.21,1053300,17.03
2013-11-26,17.32,17.34,17.18,17.28,949200,17.10
2013-11-25,17.44,17.45,17.21,17.27,1307900,17.09
2013-11-22,17.39,17.45,17.31,17.36,1315200,17.18
2013-11-21,17.17,17.40,17.16,17.34,796900,17.16
2013-11-20,17.16,17.20,17.03,17.08,783600,16.90
2013-11-19,17.18,17.29,17.03,17.10,1118600,16.92
2013-11-18,17.32,17.43,17.14,17.15,1562600,16.97
2013-11-15,17.36,17.40,17.16,17.25,969200,17.07
2013-11-14,17.19,17.39,17.10,17.36,1018000,17.18
2013-11-13,16.78,17.17,16.75,17.17,1096600,16.99
2013-11-12,16.98,17.01,16.72,16.82,766900,16.64
2013-11-11,16.94,17.02,16.78,16.99,1143000,16.81
2013-11-08,16.71,16.97,16.67,16.90,1190600,16.72
2013-11-07,17.22,17.22,16.66,16.73,2102800,16.55
2013-11-06,17.11,17.18,16.95,17.12,1266000,16.94
2013-11-05,16.91,17.09,16.85,16.97,1522900,16.79
2013-11-04,16.87,16.95,16.81,16.94,1232300,16.76
2013-11-01,16.80,16.91,16.77,16.80,1974500,16.62
2013-10-31,16.92,16.97,16.76,16.79,2887300,16.61
2013-10-30,17.00,17.08,16.83,16.87,2594800,16.69
2013-10-29,16.82,17.00,16.75,16.99,1675700,16.81
2013-10-28,16.75,16.80,16.62,16.72,1352700,16.55
2013-10-25,16.38,16.72,16.31,16.68,2142200,16.51
2013-10-24,15.84,16.47,15.81,16.16,2909000,15.99
2013-10-23,15.73,15.76,15.46,15.49,1457200,15.33
2013-10-22,15.77,15.88,15.69,15.80,1121600,15.63
2013-10-21,15.44,15.72,15.40,15.68,1398300,15.52
2013-10-18,15.44,15.44,15.27,15.37,4117900,15.21
2013-10-17,15.21,15.36,15.14,15.35,1483200,15.19
2013-10-16,15.06,15.27,15.01,15.25,992800,15.09
2013-10-15,15.07,15.13,14.90,14.93,950300,14.77
2013-10-14,14.98,15.08,14.85,15.07,1330700,14.91
2013-10-11,14.82,15.08,14.80,15.05,1105300,14.89
2013-10-10,14.75,14.96,14.74,14.90,1744600,14.74
