Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,87.29,88.39,87.00,87.82,4094700,87.82
2014-01-28,87.28,88.55,87.18,88.31,2963800,88.31
2014-01-27,87.95,88.14,86.80,87.09,3585600,87.09
2014-01-24,88.76,88.83,87.59,88.00,4734100,88.00
2014-01-23,90.66,90.66,89.17,89.42,4373900,89.42
2014-01-22,90.52,91.28,89.65,90.96,3924700,90.96
2014-01-21,91.22,91.52,89.38,89.97,4978900,89.97
2014-01-17,91.74,91.96,90.55,90.57,3931900,90.57
2014-01-16,91.33,91.94,91.06,91.77,3777000,91.77
2014-01-15,92.76,92.87,90.74,91.46,4890400,91.46
2014-01-14,91.93,92.36,91.47,92.31,4383200,92.31
2014-01-13,93.36,94.10,91.45,91.54,5150800,91.54
2014-01-10,95.05,95.08,93.41,93.85,3406400,93.85
2014-01-09,94.84,95.12,94.07,94.84,3129900,94.84
2014-01-08,94.99,95.40,94.20,94.79,3520400,94.79
2014-01-07,94.57,95.69,94.09,95.55,3691000,95.55
2014-01-06,93.86,94.11,93.20,93.80,3176800,93.80
2014-01-03,93.91,94.25,92.88,93.52,2848000,93.52
2014-01-02,94.51,94.84,93.41,93.85,2752600,93.85
2013-12-31,94.95,95.32,94.23,95.10,2689600,95.10
2013-12-30,94.64,95.32,94.35,94.55,2230200,94.55
2013-12-27,94.16,94.95,93.88,94.85,2001700,94.85
2013-12-26,93.47,94.11,93.13,94.03,2047900,94.03
2013-12-24,93.24,93.54,92.66,93.48,954700,93.48
2013-12-23,93.41,93.88,93.17,93.23,2209800,93.23
2013-12-20,92.80,93.52,92.54,92.80,4870100,92.80
2013-12-19,91.87,93.13,91.50,92.93,4232800,92.93
2013-12-18,90.75,92.34,90.39,92.26,4846100,92.26
2013-12-17,90.95,90.96,90.13,90.21,4578300,90.21
2013-12-16,91.32,91.83,90.73,90.95,3592200,90.95
2013-12-13,91.24,91.49,90.63,91.11,3310500,91.11
2013-12-12,91.44,92.12,90.98,91.24,4265700,91.24
2013-12-11,92.36,92.79,91.33,91.54,4622800,91.54
2013-12-10,93.15,93.20,92.45,92.49,4071200,92.49
2013-12-09,92.57,93.78,92.37,93.14,5059300,93.14
2013-12-06,93.94,94.54,92.54,92.65,4220900,92.65
2013-12-05,94.40,94.44,93.36,93.43,4570100,92.79
2013-12-04,94.30,95.06,93.75,94.59,3998500,93.94
2013-12-03,94.73,95.60,94.06,94.30,4863600,93.65
2013-12-02,95.13,95.39,94.08,94.76,3079200,94.11
2013-11-29,95.21,95.95,94.52,94.96,2252400,94.31
2013-11-27,97.49,97.60,94.79,95.20,4513700,94.55
2013-11-26,97.49,98.09,97.05,97.63,2511000,96.96
2013-11-25,99.31,99.31,97.30,97.47,3815100,96.80
2013-11-22,98.77,99.42,97.96,99.37,3016300,98.69
2013-11-21,97.50,98.72,97.13,98.65,2637200,97.97
2013-11-20,97.13,97.80,96.79,97.18,2817300,96.51
2013-11-19,96.90,97.33,96.01,96.90,2810800,96.24
2013-11-18,97.60,97.76,96.66,97.08,2712000,96.41
2013-11-15,97.57,97.76,96.80,97.54,3344000,96.87
2013-11-14,97.02,97.65,96.48,97.48,3309300,96.81
2013-11-13,95.29,97.04,95.10,97.00,3249900,96.34
2013-11-12,96.67,96.83,95.34,95.64,3048600,94.98
2013-11-11,96.46,97.08,96.17,97.01,2281200,96.35
2013-11-08,95.71,96.47,95.56,96.33,4794600,95.67
2013-11-07,96.71,96.89,95.42,95.85,3864800,95.19
2013-11-06,97.06,97.49,96.03,97.01,3530300,96.35
2013-11-05,97.37,97.37,96.23,96.69,3700300,96.03
2013-11-04,96.23,97.82,95.93,97.73,4228500,97.06
2013-11-01,96.05,96.27,94.59,95.65,3102400,94.99
2013-10-31,96.20,97.24,95.39,96.08,3576000,95.42
2013-10-30,96.87,97.97,95.14,96.06,3899200,95.40
2013-10-29,97.88,98.00,96.00,96.48,5125600,95.82
2013-10-28,96.88,97.79,95.51,97.54,3387300,96.87
2013-10-25,96.90,97.08,96.09,96.88,2281000,96.22
2013-10-24,95.96,97.31,95.49,97.03,2238600,96.37
2013-10-23,97.25,97.28,95.41,95.66,3632800,95.00
2013-10-22,97.39,97.99,96.81,97.82,3615600,97.15
2013-10-21,98.21,98.21,96.76,97.05,3591200,96.39
2013-10-18,98.54,98.70,96.21,98.29,6848400,97.62
2013-10-17,96.80,98.08,96.67,98.08,3553100,97.41
2013-10-16,95.99,97.24,95.69,96.97,3978600,96.31
2013-10-15,95.55,96.30,95.03,95.23,3061400,94.58
2013-10-14,94.99,95.94,94.61,95.71,2375400,95.05
2013-10-11,94.67,95.81,94.24,95.49,2698600,94.84
2013-10-10,94.98,95.88,94.36,95.10,3286100,94.45
2013-10-09,93.82,94.31,92.92,93.96,3048100,93.32
2013-10-08,95.05,95.23,93.51,93.56,3254500,92.92
2013-10-07,94.61,95.93,94.43,95.28,2784400,94.63
2013-10-04,94.43,95.63,94.14,95.41,2538900,94.76
2013-10-03,94.74,95.00,93.72,94.40,3619600,93.75
2013-10-02,94.18,94.97,93.13,94.81,3378800,94.16
2013-10-01,93.44,94.47,93.36,94.39,2383600,93.74
2013-09-30,93.38,93.65,92.79,93.54,4000500,92.90
2013-09-27,93.88,94.50,93.30,94.46,4234700,93.81
2013-09-26,93.75,94.40,93.06,93.58,5120000,92.94
2013-09-25,93.20,93.30,92.39,92.91,3833500,92.27
2013-09-24,91.42,93.48,91.39,92.80,3875700,92.16
2013-09-23,91.13,91.64,90.92,91.37,4498500,90.74
2013-09-20,92.22,92.39,91.56,91.56,4765600,90.93
2013-09-19,92.44,92.89,91.80,92.11,2984700,91.48
2013-09-18,91.08,92.85,90.80,92.31,3778700,91.68
2013-09-17,89.81,91.40,89.68,90.98,2751900,90.36
2013-09-16,90.24,90.45,89.46,89.68,4198100,89.07
2013-09-13,91.29,92.87,89.29,89.49,9304500,88.88
2013-09-12,90.55,91.63,90.32,91.01,3774600,90.39
2013-09-11,89.66,90.82,89.54,90.82,2377900,90.20
2013-09-10,89.74,89.99,88.77,89.66,2756700,89.05
2013-09-09,88.99,89.85,88.98,89.70,2688100,89.09
2013-09-06,89.54,89.77,88.62,89.00,2488900,88.39
2013-09-05,89.71,90.40,89.60,89.74,2007500,88.49
2013-09-04,88.33,90.25,88.23,89.77,3516900,88.52
2013-09-03,88.94,88.99,87.71,88.47,2463800,87.24
2013-08-30,89.77,89.87,87.95,88.21,3012500,86.98
2013-08-29,88.01,89.07,87.95,88.21,3682300,86.98
2013-08-28,87.37,88.75,87.37,88.17,2751400,86.94
2013-08-27,87.33,88.00,87.11,87.35,3022600,86.13
2013-08-26,88.33,88.97,87.84,87.92,2936300,86.70
2013-08-23,86.32,88.40,86.14,88.17,3858600,86.94
2013-08-22,85.51,86.80,85.34,86.12,2460100,84.92
2013-08-21,85.58,86.08,84.91,85.38,4339700,84.19
2013-08-20,86.10,86.75,85.78,85.95,2803500,84.75
2013-08-19,86.40,87.53,86.02,86.11,2869100,84.91
2013-08-16,86.88,86.98,85.69,86.51,4069800,85.30
2013-08-15,87.34,87.51,86.70,86.99,3447800,85.78
