Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,43.58,43.99,43.21,43.37,1721000,43.37
2014-01-28,43.94,44.37,43.94,44.30,1176400,44.30
2014-01-27,44.00,44.36,43.53,43.78,2171900,43.78
2014-01-24,45.45,45.57,43.97,43.97,1809800,43.97
2014-01-23,46.77,46.86,45.46,45.68,1641000,45.68
2014-01-22,47.55,47.65,47.01,47.23,1315900,47.23
2014-01-21,47.74,47.96,47.19,47.33,1465400,47.33
2014-01-17,47.81,48.05,47.41,47.44,1380000,47.44
2014-01-16,48.13,48.28,47.76,47.94,1145000,47.94
2014-01-15,48.36,48.39,48.08,48.22,1988400,48.22
2014-01-14,47.83,48.35,47.64,48.35,1227700,48.35
2014-01-13,49.00,49.30,47.64,47.72,1611100,47.72
2014-01-10,49.84,49.84,49.17,49.56,815300,49.56
2014-01-09,49.47,49.83,49.19,49.79,1178300,49.79
2014-01-08,49.08,49.28,48.85,49.13,1215100,49.13
2014-01-07,49.16,49.54,48.92,49.04,1271700,49.04
2014-01-06,49.09,49.30,48.67,49.01,1104100,49.01
2014-01-03,48.84,49.13,48.72,48.96,771000,48.96
2014-01-02,48.96,49.10,48.35,48.62,1014200,48.62
2013-12-31,49.35,49.47,49.04,49.31,815800,49.31
2013-12-30,49.39,49.44,49.04,49.16,1174000,49.16
2013-12-27,49.66,49.78,49.25,49.38,626600,49.38
2013-12-26,49.43,49.67,49.13,49.56,630700,49.56
2013-12-24,49.08,49.45,48.86,49.40,336000,49.40
2013-12-23,49.02,49.33,48.95,49.23,840300,49.23
2013-12-20,48.04,48.99,48.00,48.75,1991400,48.75
2013-12-19,48.28,48.40,47.99,48.20,2403000,48.20
2013-12-18,47.91,48.48,47.28,48.47,2643400,48.47
2013-12-17,48.06,48.12,47.28,47.61,2438700,47.61
2013-12-16,48.42,48.49,48.04,48.10,1567600,48.10
2013-12-13,48.36,48.51,47.96,48.08,1307600,48.08
2013-12-12,48.40,48.80,48.23,48.32,949300,48.32
2013-12-11,49.14,49.18,48.35,48.43,916000,48.43
2013-12-10,49.17,49.44,48.96,49.22,924600,49.22
2013-12-09,49.54,49.95,49.36,49.39,985300,49.39
2013-12-06,49.73,49.92,49.39,49.46,2242600,49.46
2013-12-05,49.09,49.49,48.87,49.17,1177700,49.17
2013-12-04,49.54,49.89,48.93,49.48,1718600,49.22
2013-12-03,50.17,50.17,49.20,49.70,1545200,49.44
2013-12-02,50.86,50.91,50.18,50.29,1337100,50.03
2013-11-29,50.81,50.97,50.44,50.63,838100,50.36
2013-11-27,50.59,50.85,50.32,50.62,955200,50.35
2013-11-26,50.04,50.75,50.00,50.59,1905600,50.32
2013-11-25,50.13,50.32,49.97,50.07,975600,49.81
2013-11-22,49.22,50.20,49.18,50.16,1575600,49.90
2013-11-21,49.24,49.71,49.16,49.69,1130900,49.43
2013-11-20,49.15,49.57,48.89,49.01,766500,48.75
2013-11-19,49.19,49.60,48.91,49.15,942700,48.89
2013-11-18,49.27,49.82,49.16,49.26,1207500,49.00
2013-11-15,48.92,49.24,48.53,49.19,947800,48.93
2013-11-14,48.40,48.99,48.11,48.94,836100,48.68
2013-11-13,47.81,48.28,47.63,48.28,1334200,48.03
2013-11-12,48.05,48.32,47.60,47.85,1096800,47.60
2013-11-11,48.25,48.45,48.00,48.17,1060300,47.92
2013-11-08,47.16,48.79,47.11,48.44,1964800,48.19
2013-11-07,48.00,48.45,46.94,46.96,1383300,46.71
2013-11-06,47.64,48.07,47.61,47.95,730400,47.70
2013-11-05,47.71,47.89,47.39,47.47,1328600,47.22
2013-11-04,47.59,47.84,47.33,47.81,861100,47.56
2013-11-01,47.48,47.71,47.23,47.48,1194300,47.23
2013-10-31,47.41,47.90,47.27,47.46,1211200,47.21
2013-10-30,47.89,48.17,47.29,47.55,1218100,47.30
2013-10-29,47.30,47.99,47.25,47.92,1233300,47.67
2013-10-28,46.85,47.21,46.53,47.08,1589100,46.83
2013-10-25,46.66,47.93,46.23,46.85,1663300,46.60
2013-10-24,46.32,46.79,46.04,46.75,1160900,46.50
2013-10-23,46.26,46.44,45.83,46.24,1088100,46.00
2013-10-22,46.43,46.95,46.38,46.60,951900,46.36
2013-10-21,46.51,46.56,46.06,46.31,629700,46.07
2013-10-18,45.94,46.41,45.70,46.36,1561200,46.12
2013-10-17,44.68,45.72,44.55,45.62,1702600,45.38
2013-10-16,43.50,45.00,43.50,44.93,1374000,44.69
