Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,114.41,115.98,113.90,114.00,1085700,114.00
2014-01-28,114.82,116.40,114.62,115.23,2823200,115.23
2014-01-27,115.54,115.98,112.98,114.38,1861700,114.38
2014-01-24,118.41,118.57,114.63,114.63,1642900,114.63
2014-01-23,120.92,121.41,118.51,118.75,2042600,118.75
2014-01-22,123.52,124.50,121.53,122.42,2854700,122.42
2014-01-21,128.38,128.97,126.05,126.82,1790100,126.82
2014-01-17,129.25,129.40,127.32,127.43,1531200,127.43
2014-01-16,128.22,129.25,128.11,129.17,861600,129.17
2014-01-15,128.14,129.04,128.00,128.96,758300,128.96
2014-01-14,126.47,128.05,125.98,127.76,947800,127.76
2014-01-13,126.42,127.78,125.26,125.62,1189500,125.62
2014-01-10,128.17,128.17,126.24,127.20,1036300,127.20
2014-01-09,127.68,128.49,126.32,126.93,749700,126.93
2014-01-08,127.28,128.06,126.36,127.68,895100,127.68
2014-01-07,126.86,128.04,126.61,127.63,765000,127.63
2014-01-06,127.77,128.16,125.84,125.85,945300,125.85
2014-01-03,127.55,128.46,126.94,127.25,683300,127.25
2014-01-02,128.10,128.78,126.99,127.24,806800,127.24
2013-12-31,129.61,129.77,128.29,128.64,455900,128.64
2013-12-30,127.97,128.89,127.97,128.88,575600,128.88
2013-12-27,128.32,128.49,127.67,128.11,493800,128.11
2013-12-26,127.34,128.33,127.24,127.88,521300,127.88
2013-12-24,126.20,127.39,125.97,127.21,279800,127.21
2013-12-23,126.92,126.96,125.79,126.20,1016500,126.20
2013-12-20,124.67,126.25,123.91,126.21,1750100,126.21
2013-12-19,122.29,124.01,121.80,123.87,1063200,123.87
2013-12-18,120.32,122.57,119.13,122.50,967600,122.50
2013-12-17,120.48,120.77,119.59,119.92,750400,119.92
2013-12-16,119.21,121.09,119.21,120.48,708900,120.48
2013-12-13,118.75,119.59,118.15,118.97,1136000,118.97
2013-12-12,118.39,118.92,117.64,118.27,1227600,118.27
2013-12-11,114.32,119.84,114.32,117.99,1121800,117.99
2013-12-10,119.55,120.73,119.48,119.69,894500,119.69
2013-12-09,121.21,122.52,120.28,120.79,921900,120.79
2013-12-06,119.74,121.58,118.96,121.10,1246000,121.10
2013-12-05,116.32,117.61,116.21,116.51,1379100,116.51
2013-12-04,115.94,117.11,115.19,116.71,1186500,116.71
2013-12-03,117.00,117.02,115.72,116.54,926600,116.54
2013-12-02,117.82,118.29,116.87,117.24,717000,117.24
2013-11-29,118.41,119.00,117.63,117.84,217700,117.84
2013-11-27,118.47,118.59,117.96,118.25,534700,118.25
2013-11-26,118.47,119.04,117.71,117.78,937600,117.78
2013-11-25,118.78,120.12,118.37,118.68,1096200,118.68
2013-11-22,116.59,118.64,116.20,118.62,1288200,118.62
2013-11-21,115.00,116.83,115.00,116.71,775800,116.71
2013-11-20,116.05,116.05,114.44,114.83,621300,114.83
2013-11-19,116.64,116.95,115.10,115.36,779300,115.36
2013-11-18,118.20,118.86,116.58,116.92,857400,116.92
2013-11-15,117.10,117.61,116.42,117.61,943300,117.61
2013-11-14,117.00,117.30,116.20,116.83,662100,116.83
2013-11-13,115.65,117.01,115.41,117.00,658800,117.00
2013-11-12,116.51,116.99,115.92,116.11,883500,116.11
2013-11-11,116.11,117.02,115.87,116.50,673800,116.50
2013-11-08,114.68,116.50,114.68,116.13,938500,116.13
2013-11-07,116.79,116.87,114.27,114.53,1152200,114.53
2013-11-06,116.25,116.53,115.21,115.94,681800,115.94
2013-11-05,115.92,116.62,114.91,115.94,544700,115.49
2013-11-04,116.40,116.99,115.78,116.31,621200,115.86
2013-11-01,116.51,117.53,115.49,115.99,1096900,115.54
2013-10-31,115.83,117.94,115.30,116.72,778900,116.27
2013-10-30,116.85,117.05,115.27,115.62,721500,115.17
2013-10-29,116.49,116.99,115.61,116.85,754500,116.40
2013-10-28,116.06,116.63,115.72,116.47,1325200,116.02
2013-10-25,114.32,116.44,113.40,116.42,1881300,115.97
2013-10-24,113.76,114.95,113.11,114.41,727000,113.97
2013-10-23,113.63,113.80,112.39,113.57,628600,113.13
2013-10-22,110.62,116.26,109.89,114.31,1060800,113.87
2013-10-21,113.48,115.56,113.10,115.06,2019500,114.61
2013-10-18,109.64,113.87,109.36,112.41,3278800,111.97
2013-10-17,105.40,107.04,105.00,106.82,1179800,106.41
2013-10-16,106.00,106.17,104.47,105.64,1343900,105.23
2013-10-15,107.33,107.57,104.99,105.64,1303900,105.23
2013-10-14,107.00,108.17,106.35,107.96,1546900,107.54
2013-10-11,107.26,107.97,106.99,107.78,721600,107.36
2013-10-10,105.21,107.19,105.10,107.06,1077500,106.64
2013-10-09,104.04,104.62,103.36,103.97,1042800,103.57
2013-10-08,106.33,106.48,104.20,104.28,1066400,103.88
2013-10-07,106.19,107.03,106.10,106.26,570500,105.85
2013-10-04,107.10,107.73,106.81,107.58,572900,107.16
2013-10-03,108.63,108.68,106.28,106.97,916900,106.55
2013-10-02,108.75,108.94,107.75,108.84,788500,108.42
2013-10-01,109.27,109.93,108.81,109.35,951900,108.93
2013-09-30,107.66,109.03,107.51,108.72,793900,108.30
2013-09-27,109.06,109.76,108.70,108.95,655800,108.53
2013-09-26,109.04,110.21,108.96,109.92,1112400,109.49
2013-09-25,108.85,109.58,108.35,109.14,1362500,108.72
2013-09-24,106.31,109.02,106.31,108.71,1316200,108.29
2013-09-23,107.09,107.30,106.07,106.35,883900,105.94
2013-09-20,108.68,108.84,107.35,107.54,964200,107.12
2013-09-19,107.77,108.96,107.59,108.16,713500,107.74
2013-09-18,105.30,107.65,104.89,107.59,794900,107.17
2013-09-17,104.97,105.53,104.61,105.22,569200,104.81
2013-09-16,105.11,105.78,104.66,104.98,924000,104.57
2013-09-13,104.67,104.98,103.72,104.36,616800,103.95
2013-09-12,104.96,105.09,104.31,104.53,919800,104.12
2013-09-11,105.46,105.81,104.24,105.00,1196800,104.59
2013-09-10,105.61,107.17,105.57,105.81,1186000,105.40
2013-09-09,103.89,105.36,103.89,104.76,952600,104.35
2013-09-06,103.55,104.62,102.27,103.22,820000,102.82
2013-09-05,101.01,103.51,100.79,103.07,794000,102.67
2013-09-04,100.88,102.14,100.88,102.10,692400,101.70
