Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,63.48,66.89,62.63,66.15,3098500,66.15
2014-01-28,63.25,64.88,62.91,64.18,1881300,64.18
2014-01-27,63.73,64.27,60.81,63.02,1853700,63.02
2014-01-24,64.02,64.87,63.25,63.73,2031100,63.73
2014-01-23,63.65,65.40,62.75,64.88,2258000,64.88
2014-01-22,62.05,64.37,62.00,63.80,1882600,63.80
2014-01-21,59.43,63.27,58.87,62.43,2994800,62.43
2014-01-17,61.79,63.30,58.84,59.32,3068400,59.32
2014-01-16,55.34,62.66,55.00,61.43,6371900,61.43
2014-01-15,55.60,55.65,54.43,55.23,867100,55.23
2014-01-14,53.16,55.52,53.16,54.90,1679700,54.60
2014-01-13,53.15,55.30,52.53,53.13,2180400,52.84
2014-01-10,50.17,53.15,50.06,52.95,1715800,52.66
2014-01-09,50.58,50.74,49.65,50.19,1676200,49.92
2014-01-08,53.09,53.39,47.71,50.50,4538400,50.22
2014-01-07,53.11,53.48,52.76,53.02,778900,52.73
2014-01-06,52.80,53.71,52.58,52.76,1456100,52.47
2014-01-03,55.10,55.18,52.30,52.66,1415600,52.37
2014-01-02,54.46,55.24,53.75,55.19,867300,54.89
2013-12-31,54.18,54.89,53.67,54.45,994300,54.15
2013-12-30,54.84,55.10,54.05,54.21,772300,53.91
2013-12-27,55.51,55.82,54.25,54.70,836200,54.40
2013-12-26,54.09,55.52,53.84,55.44,1380000,55.14
2013-12-24,53.89,54.10,53.72,54.01,637200,53.71
2013-12-23,53.62,54.06,53.33,53.89,979800,53.60
2013-12-20,52.50,53.62,52.03,53.26,2563100,52.97
2013-12-19,54.79,54.79,52.22,52.54,2493200,52.25
2013-12-18,52.26,55.20,52.08,55.18,3300600,54.88
2013-12-17,53.55,54.97,53.36,54.11,1263300,53.81
2013-12-16,53.47,54.64,53.42,53.81,1188800,53.52
2013-12-13,53.43,53.89,52.74,53.31,1474100,53.02
2013-12-12,52.00,54.77,51.98,53.43,1780200,53.14
2013-12-11,51.49,53.76,51.05,52.03,2259200,51.75
2013-12-10,51.59,53.50,51.45,51.82,1782000,51.54
2013-12-09,51.36,53.18,49.37,51.69,4337600,51.41
2013-12-06,56.84,57.24,52.56,52.63,5078100,52.34
2013-12-05,56.00,57.29,55.83,56.58,1322800,56.27
2013-12-04,57.28,58.12,55.45,56.15,1899800,55.84
2013-12-03,58.74,59.66,56.41,57.62,2455100,57.31
2013-12-02,58.26,59.23,58.02,58.75,1457100,58.43
2013-11-29,58.00,58.43,57.84,58.01,558100,57.69
2013-11-27,56.71,57.87,56.33,57.76,1872900,57.44
2013-11-26,56.20,57.18,55.38,56.53,2049500,56.22
2013-11-25,59.62,59.75,55.82,56.26,4426800,55.95
2013-11-22,59.35,60.42,58.82,59.12,1507900,58.80
2013-11-21,60.00,60.86,56.80,59.35,3628700,59.03
2013-11-20,60.93,62.23,60.01,60.39,1371100,60.06
2013-11-19,59.81,62.30,58.76,61.00,1747800,60.67
2013-11-18,61.28,61.93,59.73,60.00,1340900,59.67
2013-11-15,62.00,62.32,59.62,61.29,1650500,60.96
2013-11-14,62.56,63.49,61.68,61.83,1097500,61.49
2013-11-13,62.21,62.87,61.36,62.74,1495600,62.40
2013-11-12,62.07,62.98,61.64,62.40,1165100,62.06
