Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.18,49.76,48.72,48.99,2750100,48.99
2014-01-28,48.40,49.80,48.37,49.66,4002700,49.66
2014-01-27,48.64,49.30,47.04,48.04,6706300,48.04
2014-01-24,48.39,48.40,47.06,47.13,2880900,47.13
2014-01-23,49.05,49.06,48.50,48.86,2595200,48.86
2014-01-22,49.21,49.72,48.93,49.53,1755000,49.53
2014-01-21,49.58,49.65,48.34,48.87,1805800,48.87
2014-01-17,49.67,49.98,49.45,49.56,840100,49.56
2014-01-16,49.37,50.00,49.23,49.89,1580000,49.89
2014-01-15,49.40,50.24,49.40,49.75,1895400,49.75
2014-01-14,48.71,49.19,48.45,49.15,1080500,49.15
2014-01-13,48.47,49.33,48.32,48.76,2541300,48.76
2014-01-10,47.46,49.11,47.42,49.09,3482300,49.09
2014-01-09,46.87,47.81,46.65,47.64,2400400,47.64
2014-01-08,46.22,46.66,45.95,46.56,1720700,46.56
2014-01-07,46.33,46.68,46.02,46.06,1333900,46.06
2014-01-06,47.04,47.14,46.11,46.16,1519900,46.16
2014-01-03,47.27,47.47,46.94,47.17,698400,47.17
2014-01-02,47.17,47.38,46.90,47.17,813600,47.17
2013-12-31,47.34,47.65,47.18,47.42,567000,47.42
2013-12-30,46.90,47.46,46.90,47.31,420800,47.31
2013-12-27,47.25,47.59,47.10,47.14,617500,47.14
2013-12-26,47.56,47.66,47.12,47.14,525500,47.14
2013-12-24,47.05,47.58,46.95,47.44,279700,47.44
2013-12-23,47.39,47.60,46.88,47.05,1279000,47.05
2013-12-20,45.81,47.05,45.81,46.96,2173000,46.96
2013-12-19,45.87,46.16,45.23,45.91,3838100,45.91
2013-12-18,44.06,44.91,43.74,44.74,1352400,44.74
2013-12-17,44.06,44.48,43.90,44.20,1528800,44.20
2013-12-16,43.85,44.40,43.81,44.13,979700,44.13
2013-12-13,43.28,43.84,43.00,43.71,1235500,43.71
2013-12-12,42.95,43.31,42.81,43.00,1149100,43.00
2013-12-11,43.87,44.06,43.41,43.46,910800,43.21
2013-12-10,43.84,44.41,43.77,44.00,1113100,43.75
2013-12-09,43.52,44.03,43.50,44.01,757900,43.76
2013-12-06,43.33,43.46,43.07,43.36,816900,43.11
2013-12-05,43.08,43.14,42.60,42.75,1061400,42.50
2013-12-04,42.94,43.57,42.79,43.26,1277100,43.01
2013-12-03,43.68,43.76,43.15,43.31,1700900,43.06
2013-12-02,43.96,44.18,43.73,43.79,720300,43.54
2013-11-29,44.22,44.57,44.00,44.05,563600,43.80
2013-11-27,44.33,44.69,44.14,44.26,884100,44.01
2013-11-26,43.58,44.41,43.57,44.25,1311000,44.00
2013-11-25,44.10,44.24,43.70,43.73,766300,43.48
2013-11-22,43.70,44.59,43.51,44.26,2207700,44.01
2013-11-21,42.92,43.80,42.80,43.63,1263300,43.38
2013-11-20,43.15,43.30,42.49,42.59,1189600,42.35
2013-11-19,43.22,43.41,42.93,42.98,818100,42.73
2013-11-18,43.76,43.96,43.27,43.35,799200,43.10
2013-11-15,43.67,44.09,43.56,43.76,1527300,43.51
2013-11-14,43.35,43.93,43.00,43.76,1458800,43.51
2013-11-13,42.07,43.22,42.00,43.20,2460700,42.95
2013-11-12,42.76,43.07,42.74,42.87,1405200,42.62
2013-11-11,42.80,43.30,42.80,43.28,752900,43.03
2013-11-08,42.08,43.02,42.08,43.02,947500,42.77
2013-11-07,43.27,43.40,42.10,42.16,2057400,41.92
2013-11-06,43.10,43.69,42.87,43.66,1979000,43.41
2013-11-05,42.50,43.10,42.34,42.84,1733800,42.59
2013-11-04,42.59,42.89,42.21,42.86,1236500,42.61
2013-11-01,42.10,42.56,42.10,42.46,1012500,42.22
2013-10-31,42.11,42.71,42.03,42.04,1685600,41.80
2013-10-30,42.93,43.11,42.12,42.38,2248300,42.14
2013-10-29,43.25,43.35,42.71,43.06,2092000,42.81
2013-10-28,43.15,43.48,43.00,43.41,2630500,43.16
2013-10-25,42.76,43.53,42.41,43.47,2751000,43.22
2013-10-24,41.43,42.45,41.40,42.35,5865400,42.11
2013-10-23,39.36,39.87,39.17,39.75,2882400,39.52
2013-10-22,39.34,39.93,39.34,39.77,1889000,39.54
2013-10-21,39.25,39.38,38.93,39.37,1561900,39.14
2013-10-18,38.98,39.41,38.66,39.28,2342200,39.05
2013-10-17,37.82,38.79,37.56,38.78,1963900,38.56
2013-10-16,37.17,37.91,37.13,37.67,2870500,37.45
2013-10-15,37.35,37.38,36.68,36.72,2564600,36.51
2013-10-14,36.83,37.27,36.53,37.17,1606100,36.96
2013-10-11,36.75,37.31,36.62,37.31,1592200,37.10
2013-10-10,37.04,37.16,36.55,36.94,1830900,36.73
2013-10-09,36.37,36.80,35.98,36.51,1884400,36.30
2013-10-08,37.52,37.62,35.97,36.29,3739900,36.08
2013-10-07,38.19,38.45,37.58,37.65,1501300,37.43
2013-10-04,38.31,39.05,38.20,38.77,1382500,38.55
2013-10-03,38.64,38.91,38.06,38.08,1386700,37.86
2013-10-02,38.63,38.94,38.50,38.94,939200,38.72
2013-10-01,38.43,38.94,38.42,38.94,1216000,38.72
2013-09-30,37.93,38.50,37.87,38.28,1496500,38.06
2013-09-27,38.51,38.64,38.31,38.40,1207400,38.18
2013-09-26,38.80,38.91,38.31,38.50,1659200,38.28
2013-09-25,38.21,39.10,37.94,38.97,3141200,38.75
2013-09-24,38.82,38.93,37.74,38.66,4364700,38.44
2013-09-23,39.67,39.68,39.05,39.38,1052500,39.15
2013-09-20,40.03,40.05,39.21,39.34,1700200,39.11
2013-09-19,40.35,40.71,40.13,40.44,1339800,39.96
2013-09-18,40.13,40.60,39.59,40.29,1247000,39.81
2013-09-17,40.06,40.12,39.75,40.06,865600,39.58
2013-09-16,39.99,40.17,39.62,39.79,1978400,39.32
2013-09-13,39.25,39.28,38.81,39.19,1237000,38.72
2013-09-12,39.95,40.00,38.80,38.95,3757100,38.49
2013-09-11,38.50,38.93,38.37,38.72,1507700,38.26
2013-09-10,38.38,38.58,38.10,38.23,3316400,37.78
2013-09-09,37.20,37.55,37.05,37.24,1633400,36.80
2013-09-06,37.01,37.37,36.50,37.14,1740300,36.70
2013-09-05,36.79,37.33,36.74,37.10,1293200,36.66
2013-09-04,36.46,37.32,36.39,37.02,2597700,36.58
2013-09-03,36.99,37.15,36.66,36.90,1527800,36.46
2013-08-30,36.79,36.88,36.33,36.69,1643500,36.25
2013-08-29,35.93,36.85,35.93,36.40,1327900,35.97
2013-08-28,36.36,36.50,35.67,35.89,2773400,35.46
2013-08-27,37.64,37.64,36.66,36.69,2585700,36.25
2013-08-26,38.55,39.17,38.55,38.72,814700,38.26
2013-08-23,38.89,38.95,38.48,38.66,1009400,38.20
2013-08-22,38.22,39.00,38.18,38.73,1691400,38.27
2013-08-21,38.59,38.88,38.19,38.24,1844100,37.78
2013-08-20,37.74,38.41,37.72,38.05,875900,37.60
2013-08-19,38.67,38.67,37.62,37.73,1491100,37.28
2013-08-16,38.99,39.25,38.56,38.65,896000,38.19
2013-08-15,39.29,39.31,38.66,38.93,1192000,38.47
2013-08-14,39.28,39.90,39.27,39.37,2038200,38.90
2013-08-13,38.04,39.20,37.93,39.15,2610000,38.68
2013-08-12,37.68,37.87,37.48,37.81,1117400,37.36
2013-08-09,38.46,38.55,37.71,37.77,1272600,37.32
2013-08-08,38.35,38.55,38.08,38.30,1561100,37.84
2013-08-07,38.22,38.37,37.83,37.94,1137100,37.49
2013-08-06,38.69,38.96,38.05,38.25,1536500,37.79
2013-08-05,38.92,38.98,38.30,38.40,1066600,37.94
2013-08-02,38.88,39.23,38.77,39.09,956700,38.62
2013-08-01,38.52,39.28,38.28,39.22,2218200,38.75
2013-07-31,37.61,38.24,37.60,38.09,2230700,37.64
2013-07-30,37.17,37.56,37.12,37.37,1595000,36.93
2013-07-29,36.72,37.12,36.41,36.68,1034800,36.24
2013-07-26,37.13,37.69,36.93,37.05,1924700,36.61
2013-07-25,37.00,37.26,35.86,36.57,3690300,36.13
2013-07-24,36.92,36.95,36.27,36.37,1593900,35.94
2013-07-23,36.50,36.79,36.44,36.67,932100,36.23
2013-07-22,36.29,36.53,36.18,36.28,812100,35.85
2013-07-19,36.74,36.78,36.32,36.35,745600,35.92
2013-07-18,36.75,37.03,36.49,36.77,2153300,36.33
2013-07-17,36.12,37.01,36.11,36.83,2832900,36.39
2013-07-16,35.30,35.81,34.95,35.80,1408700,35.37
2013-07-15,35.54,35.66,35.14,35.30,1149500,34.88
2013-07-12,35.90,35.93,35.34,35.57,855500,35.15
2013-07-11,35.59,36.00,35.48,35.94,1449000,35.51
2013-07-10,34.83,34.95,34.54,34.92,1184100,34.50
2013-07-09,34.46,34.82,34.19,34.75,1103600,34.34
2013-07-08,34.46,34.56,33.98,34.15,994500,33.74
2013-07-05,33.72,34.30,33.63,34.25,905700,33.84
2013-07-03,33.51,33.65,33.31,33.31,1242600,32.91
2013-07-02,34.03,34.34,33.80,33.96,1230000,33.56
2013-07-01,33.59,34.52,33.58,34.25,1555200,33.84
2013-06-28,33.15,33.78,33.15,33.34,1721800,32.94
2013-06-27,33.44,33.75,33.35,33.47,945700,33.07
2013-06-26,33.01,33.51,33.01,33.23,1528700,32.83
2013-06-25,32.69,33.35,32.60,33.10,2485800,32.71
2013-06-24,31.54,32.14,31.37,31.82,2201600,31.44
2013-06-21,32.57,32.67,31.66,32.24,2396200,31.86
2013-06-20,32.98,33.05,32.09,32.23,2727500,31.85
2013-06-19,34.23,34.41,33.59,33.64,2715200,33.24
2013-06-18,33.98,34.54,33.98,34.26,2268500,33.85
2013-06-17,34.20,34.51,34.07,34.17,1271000,33.76
2013-06-14,34.11,34.28,33.88,33.98,1899100,33.58
2013-06-13,33.50,34.49,33.49,34.38,1436200,33.97
2013-06-12,33.83,33.87,33.28,33.39,1314600,32.99
2013-06-11,33.60,33.84,33.16,33.51,1683200,33.11
2013-06-10,34.23,34.34,33.76,34.17,1692400,33.76
2013-06-07,33.49,34.24,33.22,33.99,2325000,33.59
2013-06-06,33.39,33.55,33.03,33.29,2336500,32.89
2013-06-05,34.38,34.38,33.44,33.50,1755600,33.10
2013-06-04,34.84,35.01,34.09,34.37,2019700,33.96
2013-06-03,35.09,35.10,34.56,34.90,2546300,34.48
2013-05-31,35.40,35.40,34.95,35.01,2519800,34.59
2013-05-30,35.38,36.21,35.27,35.83,1596600,35.40
2013-05-29,35.40,35.52,35.06,35.10,2005300,34.68
2013-05-28,35.73,36.20,35.44,35.71,2692400,35.29
2013-05-24,35.85,36.31,35.82,36.13,838300,35.70
2013-05-23,35.67,36.28,35.55,36.04,1423300,35.61
2013-05-22,36.81,36.97,36.08,36.18,2212100,35.75
2013-05-21,37.20,37.25,36.62,36.89,3584100,36.45
2013-05-20,37.53,37.87,37.43,37.81,1534500,37.36
2013-05-17,37.86,38.03,37.48,37.54,892400,37.09
2013-05-16,38.33,38.62,37.83,37.88,1548600,37.31
2013-05-15,37.91,38.45,37.80,38.08,1498800,37.51
2013-05-14,37.30,38.11,37.25,37.88,1636500,37.31
2013-05-13,37.32,37.54,37.20,37.42,1225600,36.86
2013-05-10,37.32,37.54,37.22,37.51,743500,36.95
2013-05-09,37.54,37.62,37.12,37.27,913200,36.71
2013-05-08,37.54,37.59,37.19,37.52,1208300,36.96
2013-05-07,37.27,37.52,37.02,37.52,1307100,36.96
2013-05-06,37.12,37.14,36.78,37.09,1686600,36.53
2013-05-03,36.95,37.21,36.89,36.99,2164900,36.43
2013-05-02,36.54,36.66,36.35,36.55,1457000,36.00
2013-05-01,36.37,36.63,36.25,36.31,1403900,35.76
2013-04-30,36.55,36.78,36.19,36.53,2115900,35.98
2013-04-29,36.12,36.40,35.92,36.24,2797400,35.70
2013-04-26,36.05,36.07,35.32,35.92,2160900,35.38
2013-04-25,35.83,37.36,35.53,36.07,6771200,35.53
2013-04-24,34.31,34.64,34.07,34.29,3091100,33.77
2013-04-23,33.82,34.48,33.79,34.43,2454800,33.91
2013-04-22,33.26,33.71,33.02,33.71,2868900,33.20
2013-04-19,33.47,33.65,33.17,33.39,1482700,32.89
2013-04-18,33.56,33.80,32.93,33.18,3084200,32.68
2013-04-17,32.66,33.56,32.61,33.54,2923700,33.04
2013-04-16,32.90,33.29,32.74,33.14,1676000,32.64
2013-04-15,32.83,33.39,32.59,32.61,2743900,32.12
2013-04-12,33.02,33.31,32.79,33.28,1419800,32.78
2013-04-11,33.05,33.53,33.05,33.29,1751800,32.79
2013-04-10,32.96,33.40,32.91,33.19,1645700,32.69
2013-04-09,32.65,33.19,32.60,33.00,1772200,32.50
2013-04-08,32.15,32.76,32.11,32.72,954400,32.23
2013-04-05,31.35,32.31,31.35,32.28,1525200,31.79
2013-04-04,32.14,32.14,31.62,32.04,2016600,31.56
2013-04-03,32.99,33.12,32.02,32.18,2425700,31.70
2013-04-02,32.76,33.01,32.60,32.81,1334700,32.32
2013-04-01,33.25,33.34,32.53,32.62,2325400,32.13
2013-03-28,32.37,33.45,32.37,33.22,3573400,32.72
2013-03-27,32.23,32.58,32.01,32.51,1616500,32.02
2013-03-26,31.83,32.41,31.83,32.38,2180000,31.89
2013-03-25,32.09,32.32,31.72,31.84,2431200,31.36
2013-03-22,32.11,32.32,31.84,32.03,2635700,31.55
2013-03-21,32.28,32.60,32.09,32.10,2358700,31.62
2013-03-20,33.05,33.19,32.31,32.71,2717500,32.22
2013-03-19,33.56,33.59,32.58,32.85,2139100,32.36
2013-03-18,33.06,33.88,32.81,33.54,2745600,33.04
2013-03-15,33.51,34.36,33.33,33.71,4837100,33.20
2013-03-14,33.43,34.39,33.36,34.38,6347700,33.86
2013-03-13,33.63,33.75,33.43,33.52,1507400,33.02
2013-03-12,33.94,33.98,33.60,33.68,2651800,33.17
2013-03-11,33.42,34.38,33.22,33.83,2792400,33.32
2013-03-08,34.83,34.83,33.22,33.31,7504600,32.81
2013-03-07,34.50,34.90,34.33,34.35,2571600,33.83
2013-03-06,34.86,35.03,34.39,34.50,2881700,33.98
2013-03-05,35.27,35.28,34.59,34.70,2465900,34.18
2013-03-04,34.87,35.36,34.78,35.06,1970000,34.53
2013-03-01,34.50,35.15,34.22,35.00,2178300,34.47
2013-02-28,34.53,35.20,34.51,34.87,2736600,34.35
2013-02-27,33.90,34.75,33.90,34.67,2262100,34.15
2013-02-26,34.01,34.19,33.47,33.88,2019400,33.37
