Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,42.39,44.00,42.31,43.36,1641100,43.36
2014-01-28,42.16,43.55,42.16,43.28,1200400,43.28
2014-01-27,42.08,42.99,40.53,41.56,808300,41.56
2014-01-24,42.84,42.84,41.65,41.87,1148000,41.87
2014-01-23,42.44,43.11,42.19,43.04,986700,43.04
2014-01-22,41.30,42.92,41.03,42.64,725800,42.64
2014-01-21,41.92,41.92,40.73,41.18,543600,41.18
2014-01-17,42.24,42.24,41.35,41.48,899100,41.48
2014-01-16,42.04,42.47,41.06,42.28,884300,42.28
2014-01-15,42.08,42.45,41.68,42.14,726700,42.14
2014-01-14,42.06,42.47,41.50,42.20,560100,42.20
2014-01-13,42.97,43.08,41.48,41.87,1171200,41.87
2014-01-10,42.90,43.77,42.63,43.16,1206900,43.13
2014-01-09,42.95,43.26,41.90,42.51,782700,42.48
2014-01-08,41.79,43.21,41.61,43.04,846600,43.01
2014-01-07,42.35,42.73,41.84,41.90,477400,41.87
2014-01-06,42.99,43.21,41.76,42.21,627300,42.18
2014-01-03,43.00,43.46,42.76,42.84,436900,42.81
2014-01-02,43.36,43.40,42.18,42.70,716000,42.67
2013-12-31,43.00,43.64,42.73,43.41,585100,43.38
2013-12-30,42.85,43.28,42.37,42.90,530500,42.87
2013-12-27,42.84,43.36,42.36,43.01,368000,42.98
2013-12-26,42.59,43.25,42.40,42.77,559300,42.74
2013-12-24,42.52,43.25,41.89,42.10,719200,42.07
2013-12-23,41.17,42.61,41.14,42.37,1186400,42.34
2013-12-20,39.92,41.15,39.78,40.87,1218800,40.84
2013-12-19,40.30,40.49,39.55,39.80,757700,39.77
2013-12-18,39.65,41.09,39.13,40.75,1569800,40.72
2013-12-17,38.93,39.17,38.20,39.01,1043900,38.98
2013-12-16,38.71,39.23,38.52,38.90,880900,38.87
2013-12-13,38.46,38.76,38.12,38.46,964300,38.43
2013-12-12,37.93,38.51,37.76,38.22,907400,38.19
2013-12-11,38.92,38.92,37.76,38.00,1180800,37.97
2013-12-10,39.28,40.35,38.73,38.96,1106200,38.93
2013-12-09,37.74,39.46,37.74,38.97,990600,38.94
2013-12-06,38.22,38.46,37.52,37.75,1172900,37.72
2013-12-05,37.82,38.24,37.46,37.54,952600,37.51
2013-12-04,38.04,38.67,37.50,37.96,1587400,37.93
2013-12-03,38.26,38.79,38.03,38.45,1042300,38.42
2013-12-02,39.43,39.70,38.37,38.49,1016200,38.46
2013-11-29,39.95,40.13,39.04,39.52,702200,39.49
2013-11-27,40.19,40.51,39.55,39.61,795000,39.58
2013-11-26,38.29,40.34,38.29,40.02,2103500,39.99
2013-11-25,38.41,38.52,37.27,37.90,1072800,37.87
2013-11-22,39.22,39.33,38.39,38.42,841500,38.39
2013-11-21,38.41,39.38,37.49,39.19,1050000,39.16
2013-11-20,38.75,39.77,37.92,38.24,1297800,38.21
2013-11-19,38.40,38.82,38.00,38.56,974300,38.53
2013-11-18,38.41,39.39,38.14,38.35,1169200,38.32
2013-11-15,38.61,39.20,38.25,38.41,1361400,38.38
2013-11-14,36.88,38.70,36.57,38.49,2028400,38.46
2013-11-13,36.25,37.18,36.15,36.77,1027600,36.74
2013-11-12,36.40,36.94,35.70,36.49,1933900,36.46
2013-11-11,36.71,36.79,35.80,36.34,2674500,36.31
2013-11-08,37.84,37.92,36.28,36.67,3069700,36.64
