Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.00,30.50,29.62,30.19,890300,30.19
2014-01-28,29.70,30.47,29.70,30.35,1344900,30.35
2014-01-27,30.29,30.42,29.36,29.70,1015000,29.70
2014-01-24,30.47,31.11,29.80,30.11,1373300,30.11
2014-01-23,30.96,31.08,30.32,30.90,1285100,30.90
2014-01-22,31.29,31.39,30.51,30.62,1479300,30.62
2014-01-21,32.02,32.33,31.09,31.18,1292700,31.18
2014-01-17,31.93,32.35,31.26,31.98,1448200,31.98
2014-01-16,31.71,32.55,31.12,31.89,2419600,31.89
2014-01-15,33.94,34.38,30.41,31.77,6845900,31.77
2014-01-14,34.96,34.97,33.50,33.86,1428700,33.86
2014-01-13,36.15,36.15,34.65,34.69,829700,34.69
2014-01-10,35.80,36.27,34.91,36.21,703600,36.21
2014-01-09,36.57,36.59,35.52,35.69,808700,35.69
2014-01-08,36.41,36.76,35.90,36.49,612600,36.49
2014-01-07,36.48,37.50,36.45,36.57,906800,36.57
2014-01-06,36.95,37.04,35.86,36.34,1282400,36.34
2014-01-03,35.79,37.24,35.49,36.74,1365300,36.74
2014-01-02,35.44,35.62,34.85,35.41,946100,35.41
2013-12-31,34.75,35.78,34.68,35.73,1545800,35.73
2013-12-30,34.38,34.72,34.08,34.71,620500,34.71
2013-12-27,35.01,35.08,34.22,34.45,571200,34.45
2013-12-26,34.94,35.17,34.45,34.96,595300,34.96
2013-12-24,34.85,35.30,34.40,34.77,343700,34.77
2013-12-23,34.23,34.88,34.10,34.82,1064900,34.82
2013-12-20,33.81,34.15,33.35,33.78,1175600,33.78
2013-12-19,33.66,34.01,33.40,33.63,957900,33.63
2013-12-18,33.80,34.14,33.08,34.08,711500,34.08
2013-12-17,33.55,34.20,33.36,33.63,1114200,33.63
2013-12-16,33.89,34.38,33.30,33.83,914300,33.83
2013-12-13,34.14,34.80,33.70,33.77,947800,33.77
2013-12-12,32.84,34.01,32.64,33.94,1208300,33.94
2013-12-11,33.65,33.97,32.73,32.92,772100,32.92
2013-12-10,32.98,33.88,32.75,33.67,991700,33.67
2013-12-09,33.40,33.65,32.57,33.18,1321700,33.18
2013-12-06,33.93,33.99,32.90,33.50,1158100,33.50
2013-12-05,33.52,33.93,33.24,33.52,964200,33.52
2013-12-04,32.64,33.72,32.62,33.61,935800,33.61
2013-12-03,33.07,33.30,32.30,32.95,1228600,32.95
2013-12-02,32.82,33.66,32.66,33.42,2111000,33.42
2013-11-29,32.71,33.31,32.37,32.82,473300,32.82
2013-11-27,32.80,32.96,32.04,32.62,841000,32.62
2013-11-26,31.87,32.96,31.49,32.72,1305900,32.72
2013-11-25,32.48,32.66,31.76,32.12,1036800,31.97
2013-11-22,31.31,32.79,31.31,32.51,1598300,32.36
2013-11-21,31.75,32.00,31.14,31.35,1728900,31.20
2013-11-20,31.62,32.21,31.25,31.47,2027400,31.32
2013-11-19,32.44,32.75,31.18,31.68,1661900,31.53
2013-11-18,33.80,33.87,32.32,32.53,1219400,32.38
2013-11-15,33.85,33.92,32.88,33.60,1705000,33.44
2013-11-14,34.06,34.23,33.55,33.97,1000700,33.81
2013-11-13,33.28,34.33,33.08,34.18,1223600,34.02
2013-11-12,34.03,34.38,33.00,33.56,1315400,33.40
2013-11-11,33.88,34.76,33.52,34.25,1237200,34.09
2013-11-08,31.74,34.71,31.68,33.97,3159100,33.81
2013-11-07,33.93,34.10,30.91,31.86,4394100,31.71
2013-11-06,34.75,36.57,33.52,34.17,2096700,34.01
2013-11-05,33.08,34.00,32.70,33.85,1478900,33.69
2013-11-04,32.43,33.38,32.17,33.29,1511900,33.13
2013-11-01,32.03,32.49,31.87,32.30,1463300,32.15
2013-10-31,31.88,32.66,31.58,32.05,1462900,31.90
2013-10-30,32.85,32.94,31.72,31.96,1518600,31.81
2013-10-29,32.73,33.18,32.30,32.93,1088600,32.78
2013-10-28,34.43,34.81,32.01,32.81,2800700,32.66
2013-10-25,35.66,35.81,34.30,34.57,1325600,34.41
2013-10-24,34.92,35.87,34.54,35.48,1315400,35.31
2013-10-23,34.64,34.90,33.91,34.49,762800,34.33
2013-10-22,35.43,36.17,34.74,34.95,952500,34.79
2013-10-21,34.93,35.53,34.37,35.31,2146200,35.15
2013-10-18,34.64,35.97,34.27,35.33,1754400,35.17
2013-10-17,34.30,34.64,34.14,34.40,793600,34.24
2013-10-16,34.50,35.25,34.09,34.49,725100,34.33
2013-10-15,34.54,34.95,33.91,34.29,826100,34.13
2013-10-14,34.41,34.62,33.40,34.59,1356400,34.43
2013-10-11,33.92,34.84,33.61,34.68,2180900,34.52
2013-10-10,32.94,33.90,32.74,33.04,1455500,32.89
2013-10-09,32.78,32.82,31.61,32.39,1725300,32.24
2013-10-08,34.40,34.80,32.35,32.55,2054000,32.40
2013-10-07,34.26,34.90,33.53,34.36,1279300,34.20
2013-10-04,33.77,35.00,33.64,34.74,1330300,34.58
2013-10-03,33.82,34.51,33.24,33.85,1296000,33.69
2013-10-02,33.49,34.15,33.29,33.84,1070300,33.68
2013-10-01,33.54,34.91,33.21,33.89,2328100,33.73
2013-09-30,33.23,33.99,33.07,33.52,1641700,33.36
2013-09-27,33.24,34.29,33.11,34.04,2454900,33.88
2013-09-26,31.73,34.50,31.73,33.35,3443800,33.19
2013-09-25,31.50,32.65,30.95,31.72,2484100,31.57
2013-09-24,30.60,31.90,30.60,31.52,2138300,31.37
2013-09-23,30.76,30.99,29.45,30.61,3972300,30.47
2013-09-20,29.52,29.99,28.96,29.23,1830900,29.09
2013-09-19,29.49,29.71,28.85,29.42,922300,29.28
2013-09-18,29.62,30.00,29.01,29.40,1514800,29.26
2013-09-17,28.55,29.73,28.16,29.72,1068600,29.58
2013-09-16,29.33,29.41,28.60,28.60,840400,28.47
2013-09-13,28.62,29.20,28.56,29.18,1506400,29.04
2013-09-12,28.67,29.01,28.44,28.63,875400,28.50
2013-09-11,28.30,28.80,28.15,28.74,1111400,28.61
2013-09-10,27.31,29.20,27.14,28.41,3310500,28.28
2013-09-09,26.39,27.01,26.39,26.99,1191900,26.86
2013-09-06,25.99,26.40,25.38,26.30,1494400,26.18
2013-09-05,26.09,26.87,25.77,25.95,1773400,25.83
2013-09-04,24.57,25.96,24.46,25.94,1518900,25.82
2013-09-03,24.38,25.13,24.11,24.45,1765700,24.34
2013-08-30,24.47,24.54,23.85,23.92,1062800,23.81
2013-08-29,23.86,24.85,23.85,24.53,1001900,24.42
2013-08-28,24.59,24.59,23.95,24.01,1454100,23.90
2013-08-27,24.75,25.26,24.50,24.89,1078900,24.62
2013-08-26,25.96,26.22,25.18,25.26,923700,24.99
2013-08-23,25.36,26.00,25.01,25.96,1538700,25.68
2013-08-22,24.74,25.40,24.57,25.39,652300,25.12
2013-08-21,24.58,25.03,24.47,24.70,1160000,24.44
2013-08-20,24.13,24.92,24.05,24.91,995300,24.64
2013-08-19,24.05,24.82,24.00,24.18,1659400,23.92
2013-08-16,24.05,24.67,24.01,24.28,1793500,24.02
2013-08-15,23.66,24.25,23.42,24.17,2583700,23.91
2013-08-14,24.72,24.72,23.28,24.04,5206200,23.78
2013-08-13,24.90,25.44,24.63,24.80,1677400,24.54
2013-08-12,25.07,25.58,24.80,24.86,1861300,24.59
2013-08-09,25.79,26.55,25.23,25.50,2136500,25.23
2013-08-08,26.27,27.20,24.90,25.99,5369800,25.71
2013-08-07,27.60,28.12,26.13,26.58,2749600,26.30
2013-08-06,27.98,28.01,27.10,27.47,2815000,27.18
2013-08-05,27.90,28.52,27.85,28.16,1212800,27.86
2013-08-02,27.48,28.11,27.19,28.06,1617200,27.76
2013-08-01,28.38,28.95,27.79,27.81,1494100,27.51
2013-07-31,28.62,29.31,28.19,28.21,1429900,27.91
2013-07-30,30.13,30.51,28.56,28.57,2272600,28.27
2013-07-29,31.45,31.50,29.75,30.10,2290200,29.78
2013-07-26,29.42,30.25,29.37,29.81,752700,29.49
2013-07-25,28.77,29.93,28.77,29.75,972100,29.43
2013-07-24,28.59,28.96,28.09,28.95,1319300,28.64
2013-07-23,29.15,29.53,28.30,28.51,1197900,28.21
2013-07-22,29.54,30.07,28.94,29.10,771300,28.79
2013-07-19,30.62,30.83,29.36,29.75,1252600,29.43
2013-07-18,30.34,30.85,30.23,30.63,683600,30.30
2013-07-17,29.86,30.50,29.86,30.40,644100,30.08
2013-07-16,31.16,31.35,30.02,30.16,1047200,29.84
2013-07-15,31.36,31.58,31.08,31.30,658700,30.97
2013-07-12,30.53,31.64,30.43,31.24,905700,30.91
2013-07-11,31.52,31.65,30.43,30.66,1249500,30.33
2013-07-10,31.71,31.93,30.40,31.13,1296500,30.80
2013-07-09,31.55,31.99,31.00,31.83,1270700,31.49
2013-07-08,29.75,31.64,29.75,31.45,1415000,31.11
2013-07-05,30.08,30.08,29.19,29.59,731100,29.27
2013-07-03,29.08,29.75,29.04,29.47,388100,29.16
2013-07-02,29.18,29.98,29.10,29.34,1015300,29.03
2013-07-01,29.87,29.87,28.68,29.29,2011000,28.98
2013-06-28,29.35,29.71,29.12,29.37,3002400,29.06
2013-06-27,30.03,30.36,29.42,29.53,1035100,29.21
2013-06-26,28.87,30.39,28.79,29.94,1648300,29.62
2013-06-25,28.03,28.74,27.75,28.63,1094500,28.32
2013-06-24,27.98,28.14,27.01,27.71,1320500,27.41
2013-06-21,28.11,28.60,27.23,28.43,2193100,28.13
2013-06-20,28.59,29.67,27.89,27.93,2230400,27.63
2013-06-19,28.36,29.56,28.36,29.20,1596200,28.89
2013-06-18,28.42,29.28,28.25,28.57,2264800,28.27
2013-06-17,27.71,29.03,27.55,28.45,1819200,28.15
2013-06-14,27.06,27.51,26.72,27.40,1037600,27.11
2013-06-13,25.12,27.38,25.07,27.15,2948000,26.86
2013-06-12,25.19,25.34,24.04,24.09,830700,23.83
2013-06-11,24.47,25.19,23.95,25.03,1364600,24.76
2013-06-10,25.39,26.39,24.71,24.93,1385000,24.66
2013-06-07,24.55,25.53,24.44,25.39,951100,25.12
2013-06-06,23.88,24.72,23.88,24.68,2200900,24.42
2013-06-05,25.55,25.84,23.92,24.03,2561500,23.77
2013-06-04,25.97,26.64,25.41,25.55,2174300,25.28
2013-06-03,27.04,27.07,25.39,26.00,1998900,25.72
2013-05-31,27.12,27.35,26.88,27.03,2863500,26.74
2013-05-30,27.19,27.45,26.82,27.39,845900,27.10
2013-05-29,26.81,27.40,26.22,27.16,1181500,26.87
2013-05-28,26.85,27.53,26.67,27.39,1219200,26.95
2013-05-24,26.28,26.54,26.04,26.53,662700,26.10
2013-05-23,25.82,26.91,25.59,26.67,1203300,26.24
2013-05-22,26.41,27.20,26.05,26.35,1171500,25.93
2013-05-21,26.10,26.66,25.63,26.55,1325900,26.12
2013-05-20,26.57,26.82,25.96,26.15,1310200,25.73
2013-05-17,26.62,26.87,25.95,26.75,1695700,26.32
2013-05-16,27.19,27.58,26.44,26.55,1523300,26.12
2013-05-15,27.36,27.90,27.12,27.35,1612400,26.91
2013-05-14,28.03,28.64,27.59,27.65,1619300,27.21
2013-05-13,27.85,28.48,27.04,28.01,1761300,27.56
2013-05-10,28.37,29.50,27.72,28.25,2506800,27.80
2013-05-09,27.00,28.33,27.00,28.15,3363000,27.70
2013-05-08,27.10,27.30,26.99,27.11,1423400,26.67
2013-05-07,27.18,27.34,26.99,27.19,1433000,26.75
2013-05-06,27.26,27.32,27.06,27.20,1496000,26.76
2013-05-03,27.25,27.50,26.99,27.18,2384900,26.74
2013-05-02,27.39,27.50,26.93,27.18,8892700,26.74
2013-05-01,26.43,28.06,26.43,27.57,2274100,27.13
2013-04-30,26.72,27.34,26.23,26.80,1145400,26.37
2013-04-29,25.89,26.88,24.55,26.69,2682300,26.26
2013-04-26,27.52,27.73,26.66,27.49,905200,27.05
2013-04-25,27.06,28.53,27.06,27.44,1372700,27.00
2013-04-24,26.60,27.49,26.60,26.89,1321100,26.46
2013-04-23,26.50,26.76,26.29,26.70,988200,26.27
2013-04-22,25.91,26.58,25.56,26.25,903600,25.83
2013-04-19,25.08,25.80,24.73,25.75,1021100,25.34
2013-04-18,25.98,26.11,24.96,25.09,1026200,24.69
2013-04-17,26.09,26.26,25.56,25.89,1213300,25.47
2013-04-16,25.13,27.28,24.71,26.39,2572100,25.97
2013-04-15,27.12,27.59,25.08,25.41,3897700,25.00
2013-04-12,23.00,27.84,22.90,27.60,7153700,27.16
2013-04-11,21.83,24.06,21.83,23.69,3375200,23.31
2013-04-10,20.54,22.08,20.42,21.83,1857200,21.48
2013-04-09,20.79,21.00,20.38,20.41,1157000,20.08
2013-04-08,20.55,21.16,20.44,21.03,1413800,20.69
2013-04-05,19.59,20.51,19.00,20.44,997900,20.11
2013-04-04,19.72,20.19,19.68,19.99,982100,19.67
2013-04-03,20.21,20.39,19.71,19.79,1350400,19.47
2013-04-02,19.69,20.41,19.63,20.25,1920600,19.92
2013-04-01,20.45,20.66,19.01,19.61,2918500,19.29
2013-03-28,19.75,20.71,19.45,20.29,1715600,19.96
2013-03-27,19.00,19.85,18.77,19.72,1172100,19.40
2013-03-26,19.25,19.51,19.02,19.21,857800,18.90
2013-03-25,18.24,19.26,18.24,19.18,1858000,18.87
2013-03-22,17.82,18.27,17.72,18.17,830000,17.88
2013-03-21,17.57,17.92,17.46,17.81,446200,17.52
2013-03-20,17.73,17.84,17.57,17.79,504500,17.50
2013-03-19,17.75,17.95,17.46,17.64,449200,17.36
2013-03-18,17.47,17.83,17.25,17.68,609400,17.40
2013-03-15,17.88,17.88,17.39,17.79,598000,17.50
2013-03-14,17.66,17.94,17.39,17.92,444300,17.63
2013-03-13,17.70,17.90,17.36,17.67,689400,17.39
2013-03-12,18.00,18.22,17.42,17.67,919900,17.39
2013-03-11,18.16,18.32,17.99,18.02,1140000,17.73
2013-03-08,18.04,18.32,18.01,18.25,945600,17.96
2013-03-07,18.02,18.12,17.75,17.88,863400,17.59
2013-03-06,17.97,18.20,17.51,17.85,1456700,17.56
2013-03-05,17.07,18.11,16.79,17.93,2233200,17.64
2013-03-04,15.86,17.63,15.55,17.00,2844800,16.73
2013-03-01,14.60,15.98,14.50,15.86,3555100,15.60
2013-02-28,14.41,14.48,14.08,14.08,545000,13.85
2013-02-27,13.95,14.50,13.92,14.39,470700,14.16
2013-02-26,13.96,14.31,13.88,14.15,1512400,13.77
2013-02-25,14.49,14.50,13.80,13.85,658200,13.48
2013-02-22,13.83,14.27,13.81,14.21,688400,13.83
2013-02-21,14.15,14.30,13.79,13.82,501000,13.45
2013-02-20,14.56,14.77,14.18,14.19,405000,13.81
2013-02-19,14.59,14.63,14.30,14.57,1028800,14.18
2013-02-15,14.63,14.74,14.50,14.62,372200,14.23
2013-02-14,14.27,14.56,14.12,14.55,347000,14.16
2013-02-13,14.27,14.27,14.12,14.22,293600,13.84
2013-02-12,14.31,14.31,14.06,14.29,305100,13.91
2013-02-11,14.15,14.53,14.00,14.27,323100,13.89
2013-02-08,14.28,14.33,14.06,14.12,432300,13.75
2013-02-07,14.52,14.52,13.63,14.21,918700,13.83
2013-02-06,14.90,15.47,14.25,14.49,1099900,14.11
2013-02-05,13.84,14.35,13.78,14.21,619000,13.83
2013-02-04,13.90,14.07,13.64,13.72,697500,13.36
2013-02-01,13.91,14.10,13.78,13.97,575300,13.60
2013-01-31,13.59,13.79,13.51,13.78,477400,13.41
2013-01-30,13.63,13.74,13.56,13.65,456900,13.29
2013-01-29,14.08,14.08,13.70,13.75,462300,13.39
2013-01-28,13.88,14.17,13.62,14.10,871200,13.73
2013-01-25,13.50,14.00,13.42,13.81,579400,13.44
2013-01-24,13.34,13.48,13.23,13.47,380900,13.11
2013-01-23,13.00,13.30,12.92,13.28,403800,12.93
2013-01-22,13.18,13.27,12.92,12.97,322800,12.63
2013-01-18,13.05,13.25,12.93,13.12,320000,12.77
2013-01-17,12.91,13.06,12.76,13.00,343600,12.66
2013-01-16,12.90,13.00,12.74,12.82,424100,12.48
2013-01-15,12.83,12.95,12.66,12.92,625500,12.58
2013-01-14,12.99,13.09,12.85,12.92,519600,12.58
2013-01-11,13.11,13.17,12.85,12.95,311300,12.61
2013-01-10,13.20,13.30,12.95,13.09,460500,12.74
2013-01-09,13.23,13.28,12.95,13.04,645300,12.69
2013-01-08,12.85,13.15,12.84,13.12,722300,12.77
2013-01-07,13.36,13.50,12.81,12.88,666100,12.54
2013-01-04,13.63,13.63,13.22,13.46,846800,13.10
2013-01-03,13.27,13.78,13.21,13.54,859300,13.18
2013-01-02,12.91,13.38,12.84,13.25,809200,12.90
2012-12-31,12.39,12.65,12.30,12.62,533600,12.29
2012-12-28,12.42,12.53,12.20,12.41,493200,12.08
2012-12-27,12.52,12.60,12.34,12.52,377500,12.19
2012-12-26,12.50,12.64,12.39,12.54,334600,12.21
2012-12-24,12.68,12.71,12.35,12.54,185800,12.21
2012-12-21,12.38,12.84,12.25,12.64,1023000,12.30
2012-12-20,12.43,12.60,12.26,12.54,778000,12.21
2012-12-19,11.64,12.46,11.56,12.40,1380700,12.07
2012-12-18,11.46,11.63,11.32,11.61,459200,11.30
2012-12-17,11.12,11.53,11.08,11.47,680800,11.17
2012-12-14,11.10,11.33,10.93,11.04,405500,10.75
2012-12-13,11.16,11.22,10.95,11.09,310000,10.80
2012-12-12,11.35,11.36,11.18,11.18,377900,10.88
2012-12-11,11.15,11.20,10.88,11.20,418000,10.90
2012-12-10,10.59,11.31,10.43,11.05,1440800,10.76
2012-12-07,10.40,10.62,10.30,10.60,1180300,10.32
2012-12-06,10.83,10.86,10.23,10.39,955300,10.11
2012-12-05,11.05,11.15,10.77,10.82,360400,10.53
2012-12-04,10.83,11.02,10.71,11.00,458200,10.71
2012-12-03,11.12,11.19,10.75,10.79,497400,10.50
2012-11-30,11.21,11.21,10.89,11.03,384700,10.74
2012-11-29,10.93,11.28,10.79,11.18,551800,10.88
2012-11-28,10.33,10.85,10.01,10.81,976500,10.52
2012-11-27,11.60,11.79,11.54,11.56,453100,10.28
2012-11-26,11.66,11.73,11.50,11.60,271500,10.32
2012-11-23,11.56,11.71,11.51,11.66,131900,10.37
2012-11-21,11.42,11.67,11.30,11.42,317100,10.16
2012-11-20,11.23,11.61,11.20,11.39,312200,10.13
2012-11-19,11.20,11.36,11.00,11.27,703200,10.02
2012-11-16,10.89,11.13,10.59,11.07,686200,9.84
2012-11-15,11.20,11.25,10.81,10.93,593700,9.72
2012-11-14,11.67,11.92,11.08,11.20,768900,9.96
2012-11-13,11.75,11.90,11.50,11.56,422400,10.28
2012-11-12,12.25,12.25,11.80,11.84,309800,10.53
2012-11-09,12.01,12.38,11.83,12.24,373400,10.88
2012-11-08,12.08,12.35,12.08,12.15,471900,10.80
2012-11-07,12.43,12.53,12.00,12.11,757400,10.77
2012-11-06,12.50,12.89,12.47,12.56,499300,11.17
2012-11-05,12.62,12.73,12.38,12.46,526000,11.08
2012-11-02,12.36,12.75,12.30,12.43,798000,11.05
2012-11-01,12.67,13.40,12.26,12.27,919600,10.91
2012-10-31,12.34,12.73,11.98,12.60,491200,11.20
2012-10-26,11.69,12.25,11.66,12.22,375600,10.87
2012-10-25,12.25,12.30,11.63,11.72,425700,10.42
2012-10-24,12.18,12.24,12.06,12.13,378600,10.79
2012-10-23,12.39,12.45,12.13,12.15,585700,10.80
2012-10-22,12.43,12.57,12.25,12.41,234900,11.04
2012-10-19,12.70,12.97,12.20,12.50,433800,11.12
2012-10-18,12.93,12.95,12.69,12.75,803600,11.34
2012-10-17,12.23,12.92,12.19,12.92,478300,11.49
2012-10-16,12.22,12.39,12.18,12.23,199700,10.88
2012-10-15,12.23,12.23,12.02,12.18,150800,10.83
2012-10-12,12.19,12.24,11.96,12.17,315000,10.82
2012-10-11,11.79,12.17,11.69,12.16,714000,10.81
2012-10-10,11.49,11.68,11.49,11.68,423300,10.39
2012-10-09,11.44,11.48,11.25,11.46,494000,10.19
2012-10-08,11.54,11.65,11.34,11.41,255400,10.15
2012-10-05,11.65,11.87,11.50,11.67,328100,10.38
2012-10-04,11.60,11.65,11.40,11.64,215300,10.35
2012-10-03,11.40,11.65,11.32,11.55,370500,10.27
2012-10-02,11.48,11.70,11.30,11.35,596700,10.09
2012-10-01,11.34,11.70,11.34,11.66,543400,10.37
2012-09-28,11.48,11.66,11.21,11.21,534800,9.97
2012-09-27,11.56,11.72,11.45,11.56,359400,10.28
2012-09-26,11.96,11.96,11.43,11.48,446400,10.21
2012-09-25,12.63,12.70,11.85,11.87,647700,10.56
2012-09-24,12.46,12.76,12.28,12.56,437400,11.17
2012-09-21,12.42,12.57,12.21,12.54,388800,11.15
2012-09-20,12.22,12.42,12.10,12.24,201600,10.88
2012-09-19,12.17,12.35,12.01,12.34,215100,10.97
2012-09-18,12.14,12.34,12.02,12.07,232500,10.73
2012-09-17,12.33,12.41,12.02,12.20,261600,10.85
2012-09-14,12.35,12.53,11.95,12.45,341400,11.07
2012-09-13,12.06,12.41,11.98,12.40,510600,11.03
2012-09-12,12.25,12.34,11.93,12.02,265700,10.69
2012-09-11,12.20,12.31,12.02,12.21,255900,10.86
2012-09-10,12.30,12.37,12.11,12.15,517600,10.80
2012-09-07,12.09,12.44,12.05,12.41,365300,11.04
2012-09-06,11.81,12.17,11.75,12.00,603400,10.67
