Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,33.10,33.15,32.46,32.62,1055300,32.62
2014-01-28,33.03,33.75,32.91,33.23,649600,33.23
2014-01-27,33.25,33.36,32.53,33.15,542300,33.15
2014-01-24,33.06,33.44,32.71,33.18,900100,33.18
2014-01-23,32.80,33.52,32.43,33.44,687600,33.44
2014-01-22,33.01,33.27,32.85,32.94,190400,32.94
2014-01-21,33.23,33.47,32.50,32.99,730000,32.99
2014-01-17,33.08,33.44,32.50,33.25,1326000,33.25
2014-01-16,31.14,33.64,31.11,33.59,2685200,33.59
2014-01-15,30.72,31.30,30.42,30.99,1172600,30.99
2014-01-14,30.28,31.07,30.28,30.78,2647800,30.78
2014-01-13,29.43,30.97,29.43,30.10,3275200,30.10
2014-01-10,28.00,29.59,28.00,29.45,3225800,29.45
2014-01-09,27.88,28.05,27.65,27.97,1278500,27.97
2014-01-08,28.17,28.17,27.49,27.79,2207300,27.79
2014-01-07,28.22,28.32,28.00,28.11,1149100,28.11
2014-01-06,28.86,28.94,28.00,28.21,1414200,28.21
2014-01-03,29.00,29.25,28.83,28.90,1288200,28.90
2014-01-02,28.81,29.34,28.60,29.02,1296300,29.02
2013-12-31,28.10,28.98,28.00,28.77,2283100,28.77
2013-12-30,28.69,28.69,28.02,28.12,1189200,28.12
2013-12-27,28.68,28.68,28.25,28.63,1702900,28.63
2013-12-26,29.03,29.14,28.44,28.54,802800,28.54
2013-12-24,28.77,29.09,28.43,29.07,972200,29.07
2013-12-23,29.33,29.49,28.67,28.79,3287000,28.79
2013-12-20,29.25,29.60,29.09,29.34,923300,29.34
2013-12-19,29.54,29.87,29.21,29.27,545200,29.27
2013-12-18,29.08,29.87,28.97,29.72,617400,29.72
2013-12-17,29.50,29.78,29.25,29.33,644600,29.13
2013-12-16,29.36,29.94,29.22,29.49,1443700,29.29
2013-12-13,29.40,29.61,28.76,29.31,3148500,29.11
2013-12-12,29.79,30.14,29.11,29.41,7587400,29.21
