Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,12.62,12.76,12.41,12.69,1430500,12.69
2014-01-28,12.87,12.95,12.72,12.76,2687000,12.76
2014-01-27,13.16,13.18,12.75,12.82,1686100,12.82
2014-01-24,13.41,13.44,13.03,13.12,1674000,13.12
2014-01-23,13.43,13.56,13.39,13.44,1196600,13.44
2014-01-22,13.39,13.53,13.38,13.52,1156100,13.52
2014-01-21,13.47,13.58,13.34,13.35,1241600,13.35
2014-01-17,13.44,13.53,13.34,13.38,1269200,13.38
2014-01-16,13.38,13.50,13.34,13.49,1153800,13.49
2014-01-15,13.32,13.47,13.30,13.42,2271500,13.42
2014-01-14,13.19,13.39,13.15,13.30,1089000,13.30
2014-01-13,13.27,13.32,13.05,13.11,1298300,13.11
2014-01-10,13.35,13.47,13.28,13.34,1024300,13.34
2014-01-09,13.41,13.42,13.20,13.31,1127200,13.31
2014-01-08,13.38,13.45,13.17,13.35,1263700,13.35
2014-01-07,13.38,13.59,13.36,13.38,2029900,13.38
2014-01-06,13.58,13.59,13.30,13.36,1518400,13.36
2014-01-03,13.30,13.53,13.30,13.44,1204100,13.44
2014-01-02,13.38,13.38,13.17,13.32,1218500,13.32
2013-12-31,13.44,13.58,13.37,13.40,1115100,13.40
2013-12-30,13.43,13.50,13.39,13.44,953700,13.44
2013-12-27,13.48,13.50,13.28,13.48,774400,13.48
2013-12-26,13.50,13.59,13.39,13.46,998200,13.41
2013-12-24,13.46,13.54,13.41,13.46,633200,13.41
2013-12-23,13.35,13.54,13.35,13.47,1236300,13.42
2013-12-20,13.21,13.34,13.16,13.31,4116300,13.26
2013-12-19,13.25,13.26,13.05,13.21,1279400,13.16
2013-12-18,12.99,13.35,12.80,13.31,1932600,13.26
2013-12-17,12.98,13.09,12.86,12.99,1464100,12.94
2013-12-16,12.79,12.99,12.74,12.96,1809500,12.91
2013-12-13,12.70,12.83,12.58,12.73,1467900,12.68
2013-12-12,12.52,12.68,12.44,12.63,1706300,12.58
2013-12-11,13.03,13.03,12.51,12.54,1335400,12.49
2013-12-10,13.19,13.31,13.01,13.04,1521700,12.99
2013-12-09,13.25,13.25,13.03,13.20,1079500,13.15
2013-12-06,13.07,13.22,13.00,13.20,1903700,13.15
2013-12-05,12.53,12.99,12.50,12.92,2146100,12.87
2013-12-04,12.83,12.83,12.48,12.56,3928400,12.51
2013-12-03,12.70,12.81,12.51,12.55,1435900,12.50
2013-12-02,13.04,13.04,12.74,12.76,1176800,12.71
2013-11-29,13.07,13.13,12.94,13.07,723100,13.02
2013-11-27,12.85,13.02,12.79,13.02,2374700,12.97
2013-11-26,12.94,12.96,12.85,12.87,1227400,12.82
2013-11-25,13.04,13.09,12.88,12.89,1450800,12.84
2013-11-22,13.13,13.13,12.88,12.99,879400,12.94
2013-11-21,12.98,13.19,12.95,13.08,1039800,13.03
2013-11-20,13.21,13.32,12.89,12.91,1280000,12.86
2013-11-19,13.29,13.38,13.10,13.18,1187900,13.13
2013-11-18,13.54,13.54,13.33,13.33,1236300,13.28
2013-11-15,13.32,13.50,13.28,13.46,1751200,13.41
2013-11-14,13.33,13.46,13.25,13.35,1045200,13.30
2013-11-13,13.08,13.34,13.01,13.33,1492900,13.28
2013-11-12,12.94,13.23,12.74,13.16,1766600,13.11
2013-11-11,12.93,13.11,12.84,13.06,1056500,13.01
2013-11-08,12.85,13.01,12.61,12.99,2437700,12.94
2013-11-07,13.34,13.34,12.83,12.90,2209100,12.85
2013-11-06,13.43,13.44,13.26,13.31,1582000,13.26
2013-11-05,13.45,13.49,13.27,13.30,1709500,13.25
2013-11-04,13.50,13.58,13.40,13.50,2190100,13.45
2013-11-01,13.25,13.44,13.13,13.42,2148800,13.37
2013-10-31,13.38,13.47,13.20,13.25,1733700,13.20
2013-10-30,13.60,13.64,13.36,13.36,3085500,13.31
2013-10-29,13.61,13.63,13.41,13.56,8067500,13.51
2013-10-28,13.87,14.00,13.79,13.97,1005500,13.92
2013-10-25,14.00,14.10,13.87,14.06,1055500,14.01
2013-10-24,13.65,13.98,13.65,13.96,1186000,13.91
