Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,151.08,152.18,149.60,150.62,1836100,150.62
2014-01-28,152.03,153.31,151.91,152.05,1269000,152.05
2014-01-27,153.31,154.26,151.21,151.93,1880900,151.93
2014-01-24,155.69,155.78,153.19,153.19,2093400,153.19
2014-01-23,156.71,157.89,155.57,156.13,1481500,156.13
2014-01-22,158.22,158.98,157.24,157.46,1221000,157.46
2014-01-21,157.17,158.70,155.97,157.91,1691300,157.91
2014-01-17,157.36,157.71,156.08,156.71,1569400,156.71
2014-01-16,156.56,157.70,156.56,157.40,836700,157.40
2014-01-15,156.24,157.90,155.38,157.18,1494100,157.18
2014-01-14,155.16,156.59,154.50,156.24,1413100,156.24
2014-01-13,154.65,156.61,154.63,155.17,1247700,155.17
2014-01-10,155.21,156.14,154.78,155.70,1567000,155.70
2014-01-09,154.28,154.83,152.81,154.20,1294500,154.20
2014-01-08,154.79,155.29,153.13,154.35,1678400,154.35
2014-01-07,154.99,156.00,153.70,154.88,1660700,154.88
2014-01-06,154.03,155.41,153.79,154.99,1470900,154.99
2014-01-03,152.14,154.55,151.56,153.95,1143500,153.95
2014-01-02,152.39,153.27,151.02,152.09,1378500,152.09
2013-12-31,153.43,153.88,151.61,152.16,1558900,152.16
2013-12-30,153.52,154.90,153.02,153.40,879500,153.40
2013-12-27,153.25,153.64,152.43,153.22,1120400,153.22
2013-12-26,154.32,155.48,153.50,154.23,691500,154.23
2013-12-24,154.38,154.95,153.26,154.12,435500,154.12
2013-12-23,155.48,155.86,153.61,153.96,1370100,153.96
2013-12-20,153.68,154.79,153.43,154.71,2360400,154.71
2013-12-19,154.90,154.97,152.75,154.00,1727800,154.00
2013-12-18,152.33,155.74,150.85,155.07,2581500,155.07
2013-12-17,152.01,153.05,151.73,152.60,1523200,152.60
2013-12-16,151.55,152.46,150.33,152.28,1750900,152.28
2013-12-13,151.83,155.01,151.19,151.63,2480000,151.63
2013-12-12,150.50,150.70,148.36,148.37,1568000,148.37
2013-12-11,153.37,153.82,150.38,150.44,1556700,150.44
2013-12-10,153.95,154.58,153.08,153.12,1221600,153.12
2013-12-09,153.00,153.82,151.75,153.74,1223900,153.74
2013-12-06,152.04,152.78,151.19,152.75,1283100,152.75
2013-12-05,148.91,151.03,148.20,150.80,1520900,150.80
2013-12-04,147.63,149.96,147.55,149.36,1222400,149.36
2013-12-03,148.39,149.67,148.03,148.87,1133300,148.87
2013-12-02,151.14,151.14,148.58,148.84,1470300,148.84
2013-11-29,152.02,152.49,149.83,149.85,882900,149.85
2013-11-27,150.48,151.93,150.03,151.73,1510100,151.73
2013-11-26,149.02,150.64,148.38,150.13,1620600,150.13
2013-11-25,150.16,150.34,148.63,148.84,907300,148.84
2013-11-22,151.01,151.02,149.17,149.58,817700,149.58
2013-11-21,150.29,150.99,149.51,150.69,902800,150.69
2013-11-20,152.18,153.49,149.82,150.05,1069800,150.05
2013-11-19,152.21,153.31,151.07,152.12,1068500,152.12
2013-11-18,153.54,154.16,152.29,152.44,1185500,152.44
2013-11-15,151.51,153.64,151.51,153.53,1616400,153.53
2013-11-14,149.50,152.63,149.48,152.06,1338900,152.06
2013-11-13,148.15,149.68,147.51,149.68,1454000,149.68
2013-11-12,151.82,152.25,149.19,149.80,1506200,148.60
2013-11-11,153.22,153.74,152.31,152.48,914800,151.26
2013-11-08,154.29,154.29,151.14,153.01,1473800,151.78
2013-11-07,156.84,157.02,154.83,155.32,1354600,154.08
2013-11-06,155.99,157.16,155.66,156.16,1039400,154.91
2013-11-05,155.86,156.32,155.01,155.21,1140400,153.97
2013-11-04,156.88,157.12,155.11,157.12,1080400,155.86
2013-11-01,155.31,156.74,154.54,156.60,1325300,155.35
2013-10-31,155.96,156.96,154.23,154.55,1539700,153.31
2013-10-30,156.05,157.51,155.06,155.86,1199100,154.61
2013-10-29,157.55,158.16,155.93,156.68,1156200,155.42
