Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,23.11,23.49,23.03,23.37,1300000,23.37
2014-01-28,23.10,23.26,23.07,23.21,976200,23.21
2014-01-27,22.88,23.28,22.81,23.11,1663000,23.11
2014-01-24,22.74,22.97,22.70,22.91,1152900,22.91
2014-01-23,22.93,22.94,22.57,22.87,1316200,22.87
2014-01-22,23.07,23.12,22.89,23.01,576900,23.01
2014-01-21,22.92,23.05,22.81,23.02,504500,23.02
2014-01-17,22.80,22.88,22.74,22.85,632900,22.85
2014-01-16,22.65,22.79,22.62,22.78,606900,22.78
2014-01-15,22.58,22.71,22.46,22.69,1008100,22.69
2014-01-14,22.10,22.65,22.08,22.65,1169300,22.65
2014-01-13,22.59,22.65,22.07,22.08,1074900,22.08
2014-01-10,22.44,22.82,22.44,22.68,724300,22.68
2014-01-09,22.58,22.65,22.25,22.37,914100,22.37
2014-01-08,22.69,22.72,22.37,22.47,1031900,22.47
2014-01-07,22.50,22.73,22.47,22.69,871100,22.69
2014-01-06,22.76,22.76,22.46,22.46,992900,22.46
2014-01-03,22.75,22.85,22.66,22.73,595400,22.73
2014-01-02,22.94,22.94,22.67,22.70,768700,22.70
2013-12-31,22.94,23.04,22.88,22.99,599800,22.99
2013-12-30,23.00,23.13,22.91,22.95,557800,22.95
2013-12-27,22.83,23.04,22.61,22.98,410000,22.98
2013-12-26,22.99,23.12,22.82,22.83,465800,22.83
2013-12-24,22.97,23.09,22.81,22.98,239200,22.98
2013-12-23,23.14,23.15,22.98,23.02,589600,23.02
2013-12-20,22.67,23.11,22.67,22.99,4796500,22.99
2013-12-19,22.59,22.79,22.36,22.72,1138000,22.72
2013-12-18,22.86,22.86,22.35,22.67,1245000,22.67
2013-12-17,22.96,23.05,22.67,22.78,1076100,22.78
2013-12-16,22.56,23.03,22.56,23.00,1829300,23.00
2013-12-13,22.50,22.56,22.30,22.50,1002400,22.50
2013-12-12,22.09,22.57,22.04,22.46,1349400,22.46
2013-12-11,22.57,22.60,22.07,22.13,937000,22.13
2013-12-10,22.78,22.84,22.60,22.60,678600,22.60
2013-12-09,22.97,23.10,22.79,22.85,785200,22.85
2013-12-06,22.92,23.07,22.86,22.94,667700,22.94
2013-12-05,22.44,22.76,22.32,22.74,1028400,22.74
2013-12-04,22.26,22.45,22.14,22.45,1601400,22.45
2013-12-03,22.42,22.56,22.29,22.34,907800,22.34
2013-12-02,22.50,22.72,22.27,22.53,775300,22.53
2013-11-29,22.58,22.68,22.50,22.52,432200,22.52
2013-11-27,22.52,22.68,22.44,22.52,858700,22.52
2013-11-26,22.42,22.62,22.36,22.51,729200,22.51
2013-11-25,22.75,22.75,22.30,22.47,1094800,22.47
2013-11-22,22.76,22.82,22.67,22.69,451200,22.69
2013-11-21,22.70,22.85,22.67,22.73,769500,22.73
2013-11-20,22.97,23.10,22.66,22.68,489800,22.68
2013-11-19,22.94,23.07,22.86,22.96,905200,22.96
2013-11-18,22.95,23.02,22.86,23.01,947500,23.01
2013-11-15,22.78,22.96,22.71,22.96,785700,22.96
2013-11-14,22.84,22.96,22.55,22.75,1312300,22.75
2013-11-13,22.92,22.92,22.61,22.84,1315700,22.84
2013-11-12,22.96,22.96,22.61,22.65,1025800,22.47
2013-11-11,22.79,23.12,22.74,22.96,740800,22.78
2013-11-08,23.01,23.05,22.76,22.85,1361600,22.67
2013-11-07,23.60,23.70,23.01,23.08,1241600,22.90
2013-11-06,23.70,23.96,23.54,23.65,723100,23.46
2013-11-05,23.80,23.87,23.65,23.65,1386300,23.46
2013-11-04,23.87,23.99,23.73,23.90,1158400,23.71
2013-11-01,23.70,23.87,23.59,23.86,1375900,23.67
2013-10-31,23.75,23.75,23.38,23.66,1850200,23.47
2013-10-30,23.69,23.82,23.64,23.75,1386300,23.56
2013-10-29,23.56,23.64,23.47,23.64,666100,23.45
2013-10-28,23.40,23.52,23.38,23.52,802700,23.33
