Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,29.95,30.28,29.61,30.14,4445500,30.14
2014-01-28,29.51,30.11,29.02,30.05,6464100,30.05
2014-01-27,30.98,31.16,30.22,30.38,3014600,30.38
2014-01-24,31.27,31.35,30.66,30.77,2991000,30.77
2014-01-23,31.55,31.67,31.02,31.43,3103300,31.43
2014-01-22,31.37,31.69,31.32,31.59,4008700,31.59
2014-01-21,30.61,31.32,30.56,31.22,6947200,31.22
2014-01-17,31.55,31.80,30.27,30.53,13657000,30.53
2014-01-16,29.11,29.15,28.38,28.62,6589900,28.62
2014-01-15,29.14,29.30,28.90,29.11,2792300,29.11
2014-01-14,28.64,29.17,28.61,28.92,2492600,28.92
2014-01-13,28.38,29.21,28.14,28.44,4978300,28.44
2014-01-10,27.66,27.84,27.40,27.75,1956400,27.75
2014-01-09,28.06,28.06,27.53,27.72,2920100,27.72
2014-01-08,27.95,28.04,27.76,27.92,2729800,27.92
2014-01-07,27.65,28.00,27.61,27.79,1799100,27.79
2014-01-06,27.87,27.93,27.35,27.63,2180200,27.63
2014-01-03,27.40,27.75,27.40,27.72,1974200,27.72
2014-01-02,28.30,28.34,27.20,27.40,3533900,27.40
2013-12-31,28.29,28.64,28.22,28.56,1593900,28.56
2013-12-30,27.89,28.38,27.86,28.32,1573200,28.32
2013-12-27,27.96,28.09,27.78,27.85,1479400,27.85
2013-12-26,28.23,28.42,27.77,27.92,1775000,27.92
2013-12-24,27.94,28.37,27.90,28.08,1287800,28.08
2013-12-23,28.00,28.21,27.85,27.86,2338200,27.86
2013-12-20,27.56,27.96,27.47,27.69,4206000,27.69
2013-12-19,28.09,28.09,27.44,27.47,2490500,27.47
2013-12-18,28.35,28.44,27.61,27.97,2640000,27.97
2013-12-17,27.78,28.61,27.67,28.41,3261400,28.41
2013-12-16,27.50,27.87,27.41,27.67,2249800,27.67
2013-12-13,27.68,27.76,27.28,27.32,2170700,27.32
2013-12-12,27.85,28.13,27.63,27.73,1609300,27.73
2013-12-11,28.35,28.56,27.84,27.87,1918800,27.87
