Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,16.68,16.80,16.64,16.66,2888200,16.66
2014-01-28,16.74,16.84,16.69,16.73,3493000,16.73
2014-01-27,16.70,16.77,16.62,16.72,2546500,16.72
2014-01-24,16.98,17.06,16.68,16.69,3385700,16.69
2014-01-23,17.04,17.07,16.93,16.99,1766000,16.99
2014-01-22,17.06,17.17,17.02,17.07,1785100,17.07
2014-01-21,16.97,17.08,16.90,17.06,2266600,17.06
2014-01-17,17.00,17.02,16.86,16.91,1654100,16.91
2014-01-16,16.86,17.00,16.85,16.99,1884800,16.99
2014-01-15,17.02,17.02,16.88,16.92,1503300,16.92
2014-01-14,17.04,17.11,16.90,16.96,2122500,16.96
2014-01-13,17.15,17.23,17.00,17.01,2845600,17.01
2014-01-10,16.77,17.15,16.76,17.14,5385300,17.14
2014-01-09,16.95,16.97,16.71,16.71,6505000,16.71
2014-01-08,17.03,17.03,16.83,16.88,2690100,16.88
2014-01-07,16.88,17.08,16.86,17.03,2776400,17.03
2014-01-06,16.86,16.98,16.82,16.88,3599400,16.88
2014-01-03,17.06,17.12,16.90,16.96,1791100,16.96
2014-01-02,17.23,17.31,16.97,17.04,2682100,17.04
2013-12-31,17.17,17.26,17.12,17.24,1598300,17.24
2013-12-30,17.14,17.31,17.08,17.15,1226400,17.15
2013-12-27,17.06,17.18,16.99,17.14,1525400,17.14
2013-12-26,17.19,17.27,17.04,17.06,1063800,17.06
2013-12-24,17.04,17.20,16.98,17.17,1032700,17.17
2013-12-23,17.15,17.18,17.01,17.04,1711800,17.04
2013-12-20,16.91,17.13,16.91,17.04,3336000,17.04
2013-12-19,17.03,17.06,16.79,16.90,1993600,16.90
2013-12-18,16.90,17.11,16.67,17.09,3476200,17.09
2013-12-17,16.92,16.98,16.76,16.84,1808400,16.84
2013-12-16,16.84,17.05,16.83,16.95,1986100,16.95
2013-12-13,16.84,16.97,16.78,16.81,1751500,16.81
2013-12-12,16.80,17.01,16.77,16.83,1973900,16.83
2013-12-11,17.07,17.07,16.78,16.82,2348200,16.82
2013-12-10,17.25,17.26,17.02,17.03,1776100,17.03
2013-12-09,17.29,17.30,17.15,17.24,1850900,17.24
2013-12-06,17.23,17.45,17.16,17.34,1681200,17.34
2013-12-05,17.40,17.57,17.14,17.16,3971800,17.16
2013-12-04,17.08,17.42,17.07,17.40,5963200,17.40
2013-12-03,17.01,17.20,16.98,17.17,3465400,17.17
2013-12-02,17.06,17.10,16.84,17.03,3193300,17.03
2013-11-29,17.06,17.18,17.01,17.04,757300,17.04
2013-11-27,17.00,17.08,16.98,17.06,1599900,17.06
2013-11-26,17.10,17.11,16.94,16.97,1601000,16.97
2013-11-25,17.17,17.21,17.05,17.07,1278700,17.07
2013-11-22,17.11,17.22,17.02,17.16,1479900,17.16
2013-11-21,17.14,17.21,17.04,17.12,2060400,17.12
2013-11-20,17.35,17.38,17.12,17.13,1758300,17.13
2013-11-19,17.38,17.42,17.25,17.34,1405700,17.34
2013-11-18,17.45,17.49,17.30,17.41,1679700,17.41
