Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,57.67,57.86,56.83,56.89,5928000,56.89
2014-01-28,57.85,58.29,57.76,57.89,4907300,57.89
2014-01-27,57.73,57.96,57.38,57.71,6013100,57.71
2014-01-24,58.56,58.60,57.69,57.72,7467500,57.72
2014-01-23,58.50,58.72,58.26,58.65,7029900,58.65
2014-01-22,59.78,59.82,58.75,58.98,7185100,58.98
2014-01-21,59.80,59.81,58.80,59.20,10595500,59.20
2014-01-17,60.93,60.93,59.87,60.24,8132100,60.24
2014-01-16,61.44,61.55,60.60,60.81,5288400,60.81
2014-01-15,61.86,61.87,61.50,61.56,4233700,61.56
2014-01-14,61.51,61.76,61.27,61.71,5519900,61.71
2014-01-13,62.12,62.23,61.49,61.50,8031200,61.50
2014-01-10,62.89,63.63,62.16,62.62,12949700,62.62
2014-01-09,62.89,63.59,62.77,63.34,7264600,63.34
2014-01-08,62.81,62.82,62.43,62.69,5529900,62.69
2014-01-07,63.03,63.29,62.60,62.91,5398300,62.91
2014-01-06,63.68,63.69,62.67,63.06,4609600,63.06
2014-01-03,63.62,63.89,63.40,63.49,4589400,63.49
2014-01-02,63.53,64.17,63.14,63.18,7400100,63.18
2013-12-31,62.57,63.80,62.50,63.27,6783400,63.27
2013-12-30,62.45,62.50,61.91,62.47,3683000,62.47
2013-12-27,62.79,62.79,61.99,62.15,3260100,62.15
2013-12-26,61.74,62.59,61.74,62.48,3971800,62.48
2013-12-24,61.60,61.75,61.26,61.71,3356300,61.71
2013-12-23,62.00,62.15,61.53,61.88,5720200,61.88
2013-12-20,62.12,62.66,62.02,62.49,6850600,62.49
2013-12-19,62.22,62.89,61.98,62.15,7901900,62.15
2013-12-18,62.52,63.59,62.43,63.55,8304600,63.55
2013-12-17,62.12,62.15,61.44,61.65,5310800,61.65
2013-12-16,62.44,62.51,61.73,62.17,4768700,62.17
2013-12-13,63.23,63.24,62.29,62.36,4739300,62.36
2013-12-12,62.94,63.24,62.75,62.89,4029200,62.89
2013-12-11,63.32,63.48,62.85,62.93,2997400,62.93
2013-12-10,63.26,63.46,62.96,63.16,4028900,63.16
2013-12-09,63.34,63.81,63.17,63.24,5853800,63.24
2013-12-06,62.98,63.57,62.91,63.38,6381600,63.38
2013-12-05,63.05,63.75,62.60,62.63,8368500,62.63
2013-12-04,62.45,63.58,62.20,63.31,9442300,63.31
2013-12-03,62.34,63.18,62.33,62.82,10395800,62.82
2013-12-02,63.98,63.99,62.60,62.73,7169100,62.73
2013-11-29,64.96,64.99,63.72,63.93,3350000,63.93
2013-11-27,63.99,64.79,63.87,64.41,4767200,64.41
2013-11-26,63.83,64.42,63.80,63.87,5885400,63.87
2013-11-25,63.70,63.95,63.59,63.76,5013700,63.76
2013-11-22,63.61,64.09,63.32,63.70,8144500,63.70
2013-11-21,64.34,64.92,63.49,64.19,16380600,64.19
2013-11-20,66.84,67.25,66.22,66.49,4762500,66.49
2013-11-19,66.42,66.93,66.33,66.63,3357800,66.63
2013-11-18,66.71,66.79,66.21,66.45,3489000,66.45
2013-11-15,66.69,67.06,66.42,66.89,3542300,66.46
2013-11-14,66.50,66.79,66.23,66.67,4629500,66.24
2013-11-13,65.42,66.95,65.38,66.87,5694600,66.44
2013-11-12,65.67,66.09,65.32,65.44,3181700,65.02
2013-11-11,65.11,65.85,65.10,65.69,2610300,65.27
2013-11-08,64.75,65.13,64.53,65.11,3717000,64.69
2013-11-07,65.89,65.99,64.81,64.82,5154200,64.40
2013-11-06,65.05,66.08,64.78,65.70,4490300,65.28
2013-11-05,65.10,65.25,64.60,64.63,5107100,64.21
2013-11-04,64.97,65.36,64.82,65.22,4358700,64.80
2013-11-01,64.89,64.93,64.24,64.62,3768800,64.20
2013-10-31,66.06,66.11,64.65,64.79,7481500,64.37
2013-10-30,64.34,65.95,63.50,65.71,8585400,65.29
2013-10-29,64.81,64.90,64.20,64.32,6048100,63.91
2013-10-28,63.87,65.06,63.56,64.88,5674500,64.46
2013-10-25,64.16,64.18,63.61,64.07,4308900,63.66
2013-10-24,64.42,64.55,64.00,64.13,4638000,63.72
2013-10-23,65.00,65.18,64.24,64.27,4687400,63.86
2013-10-22,64.79,65.46,64.46,65.12,3842500,64.70
2013-10-21,64.72,64.93,64.17,64.70,2800800,64.28
2013-10-18,65.17,65.26,64.42,64.67,5862100,64.25
2013-10-17,63.65,64.88,63.57,64.86,3524200,64.44
2013-10-16,63.10,63.90,63.08,63.90,3194500,63.49
2013-10-15,63.51,63.55,62.89,62.93,3844500,62.53
2013-10-14,62.80,63.72,62.80,63.65,3101400,63.24
2013-10-11,63.14,63.23,62.45,63.21,3537700,62.80
2013-10-10,63.16,63.58,63.01,63.45,2638300,63.04
2013-10-09,62.22,62.81,62.13,62.69,3859500,62.29
2013-10-08,62.72,62.84,62.03,62.13,4430300,61.73
2013-10-07,63.12,63.31,62.66,62.68,3323700,62.28
2013-10-04,63.44,63.45,63.09,63.41,2791400,63.00
2013-10-03,63.60,63.73,63.10,63.45,3964700,63.04
2013-10-02,63.72,63.72,63.20,63.65,3587600,63.24
2013-10-01,63.94,64.08,63.67,63.91,4126100,63.50
2013-09-30,63.52,63.99,63.38,63.98,4572300,63.57
2013-09-27,63.36,64.28,63.29,63.94,3378300,63.53
2013-09-26,63.42,63.91,63.15,63.37,4035200,62.96
2013-09-25,63.96,64.00,62.79,63.24,6325900,62.83
