Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.29,31.77,30.98,31.05,5818500,31.05
2014-01-28,31.80,32.46,31.80,32.31,4382900,32.31
2014-01-27,31.58,32.17,30.97,31.82,6264800,31.82
2014-01-24,32.50,32.58,31.43,31.68,6803300,31.68
2014-01-23,33.14,33.29,32.61,32.74,3525700,32.74
2014-01-22,33.25,33.50,32.91,33.44,3867800,33.44
2014-01-21,32.99,33.27,32.43,33.17,6272600,33.17
2014-01-17,33.52,33.56,32.50,32.51,5353200,32.51
2014-01-16,32.50,33.02,32.50,32.60,6942400,32.60
2014-01-15,33.00,33.20,32.49,32.53,5347300,32.53
2014-01-14,32.66,33.03,32.50,32.94,3431900,32.94
2014-01-13,33.06,33.23,32.47,32.49,4332600,32.49
2014-01-10,32.90,33.10,32.64,33.02,3707500,33.02
2014-01-09,33.50,33.90,32.85,33.03,7223600,33.03
2014-01-08,33.23,33.71,32.76,33.31,5313600,33.31
2014-01-07,33.89,33.92,32.78,33.22,7008000,33.22
2014-01-06,32.26,33.52,32.02,33.48,9332400,33.48
2014-01-03,32.42,32.57,31.90,32.28,8686100,32.28
2014-01-02,33.03,33.48,32.74,33.37,6512500,33.37
2013-12-31,33.23,33.78,33.10,33.64,3952500,33.64
2013-12-30,33.44,33.58,33.01,33.05,5003200,33.05
2013-12-27,32.92,34.10,32.56,33.31,6113300,33.31
2013-12-26,32.85,32.95,32.04,32.93,10845800,32.93
2013-12-24,31.90,32.42,31.52,32.19,4442800,32.19
2013-12-23,31.03,31.95,30.98,31.86,9588400,31.86
2013-12-20,29.72,31.13,29.72,31.00,22554800,31.00
2013-12-19,27.39,29.84,27.37,29.61,15611200,29.61
2013-12-18,26.76,27.55,26.57,27.25,9086700,27.25
2013-12-17,26.19,26.74,26.13,26.68,6580200,26.68
2013-12-16,26.97,27.60,26.24,26.39,12783300,26.39
2013-12-13,25.59,28.19,25.24,27.64,13479200,27.64
2013-12-12,26.11,26.11,25.21,25.44,5810400,25.44
2013-12-11,26.34,26.38,26.02,26.06,3637100,26.06
2013-12-10,26.58,26.68,26.22,26.26,4087100,26.26
2013-12-09,26.29,26.73,26.27,26.61,4393700,26.61
2013-12-06,26.46,26.66,26.23,26.33,4837200,26.33
2013-12-05,26.83,26.89,26.21,26.30,5320800,26.30
2013-12-04,26.87,27.05,26.62,26.92,4419100,26.92
2013-12-03,26.32,27.06,26.24,26.98,7859700,26.98
2013-12-02,26.03,26.50,26.01,26.49,5239000,26.49
