Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,57.00,57.65,56.57,57.30,850800,57.30
2014-01-28,57.76,58.57,57.51,57.88,812100,57.88
2014-01-27,57.85,58.12,55.90,57.41,1143600,57.41
2014-01-24,59.58,59.66,57.18,57.67,2145900,57.67
2014-01-23,58.28,60.59,58.28,60.21,2071900,60.21
2014-01-22,58.48,58.96,57.99,58.69,779500,58.69
2014-01-21,59.40,59.40,57.52,58.31,1171400,58.31
2014-01-17,57.88,58.83,57.77,58.78,1214400,58.78
2014-01-16,57.36,58.44,56.67,57.88,1732000,57.88
2014-01-15,56.98,57.48,56.20,56.67,1169100,56.67
2014-01-14,55.90,56.85,55.42,56.74,1410100,56.74
2014-01-13,55.81,56.08,55.11,55.39,1131800,55.39
2014-01-10,55.07,56.20,55.00,56.12,1224800,55.97
2014-01-09,55.00,55.09,53.39,54.91,1478500,54.76
2014-01-08,54.57,54.72,53.80,54.58,1384100,54.43
2014-01-07,54.83,55.00,54.12,54.59,1191900,54.44
2014-01-06,55.17,55.29,54.01,54.15,1244600,54.01
2014-01-03,54.51,55.96,54.35,54.95,1139800,54.80
2014-01-02,54.48,54.67,53.67,54.15,1399400,54.01
2013-12-31,55.26,55.34,54.25,54.52,1659200,54.37
2013-12-30,55.68,56.03,55.02,55.28,595500,55.13
2013-12-27,55.53,56.04,54.95,55.68,738700,55.53
2013-12-26,55.75,56.41,55.43,55.48,712500,55.33
2013-12-24,55.54,56.11,55.33,55.59,377200,55.44
2013-12-23,56.00,56.00,55.20,55.49,837400,55.34
2013-12-20,54.81,55.55,54.81,55.50,1792000,55.35
2013-12-19,54.27,54.85,54.01,54.70,1025900,54.55
2013-12-18,53.59,54.50,52.81,54.28,1054400,54.13
2013-12-17,52.76,53.69,52.22,53.45,1287400,53.31
2013-12-16,52.09,53.08,51.83,52.56,1625900,52.42
2013-12-13,50.57,51.80,50.50,51.60,1391800,51.46
2013-12-12,50.49,50.77,50.10,50.54,1484300,50.40
2013-12-11,51.68,51.77,50.46,50.58,1377500,50.44
2013-12-10,52.07,53.63,51.51,51.60,2809900,51.46
2013-12-09,50.05,50.54,49.65,50.05,1024600,49.92
2013-12-06,50.31,50.71,49.79,49.86,1194900,49.73
2013-12-05,49.80,49.84,48.89,49.53,1813600,49.40
2013-12-04,50.89,51.36,49.86,49.88,1665100,49.75
2013-12-03,51.85,51.88,50.38,50.84,1080200,50.70
2013-12-02,51.91,52.63,51.07,51.87,660200,51.73
2013-11-29,52.09,53.00,51.87,51.91,328500,51.77
2013-11-27,51.58,52.33,51.58,52.09,582900,51.95
2013-11-26,51.43,51.89,51.02,51.48,955500,51.34
2013-11-25,51.37,51.75,50.97,51.25,1178300,51.11
2013-11-22,50.66,51.22,50.08,51.16,1914700,51.02
2013-11-21,51.51,51.88,48.76,50.66,4919100,50.52
2013-11-20,53.27,53.94,53.00,53.53,1286900,53.39
2013-11-19,54.99,55.01,52.41,53.14,2379500,53.00
2013-11-18,55.11,56.08,54.67,55.04,2782300,54.89
2013-11-15,56.61,56.92,56.14,56.65,1240300,56.50
2013-11-14,55.20,56.79,54.60,56.56,1798400,56.41
2013-11-13,53.22,55.29,53.12,55.27,1256000,55.12
2013-11-12,53.20,53.80,53.12,53.39,1022500,53.25
2013-11-11,52.62,53.83,52.33,53.50,1107400,53.36
2013-11-08,51.43,52.56,51.43,52.48,947100,52.34
2013-11-07,53.42,53.71,51.25,51.34,1511200,51.20
2013-11-06,53.44,53.60,52.64,53.10,732300,52.96
2013-11-05,53.52,53.52,52.45,53.13,1092000,52.99
2013-11-04,52.83,54.38,52.82,53.74,1923300,53.60
2013-11-01,50.62,52.96,50.11,52.43,2139400,52.29
2013-10-31,47.15,51.00,46.40,50.63,3311000,50.49
2013-10-30,47.33,47.42,46.18,46.31,959400,46.19
2013-10-29,47.51,47.60,46.75,47.17,738200,47.04
2013-10-28,47.22,47.54,47.05,47.41,582600,47.28
2013-10-25,47.14,47.29,46.76,47.27,686500,47.14
2013-10-24,46.42,47.56,46.40,47.11,1049600,46.98
2013-10-23,45.89,46.39,45.35,46.36,832200,46.24
2013-10-22,46.10,46.49,45.82,46.06,790500,45.94
2013-10-21,45.80,45.87,45.41,45.72,1113300,45.60
2013-10-18,45.45,45.94,45.34,45.65,1018200,45.53
2013-10-17,44.82,45.52,44.70,45.30,800800,45.18
2013-10-16,45.66,45.84,44.66,45.03,1376900,44.91
2013-10-15,45.39,45.54,44.83,45.29,1013900,45.17
2013-10-14,44.84,45.41,44.74,45.41,673700,45.29
2013-10-11,44.58,45.07,44.30,45.07,931100,44.95
2013-10-10,44.39,44.90,44.29,44.49,910300,44.37
2013-10-09,43.65,44.08,43.15,43.63,853400,43.36
2013-10-08,43.94,44.20,43.22,43.58,864500,43.31
2013-10-07,44.63,44.63,43.76,43.83,1210500,43.56
2013-10-04,45.65,45.72,44.71,45.01,1120600,44.74
2013-10-03,45.91,46.17,45.09,45.69,668400,45.41
2013-10-02,45.62,46.23,45.31,46.12,608200,45.84
2013-10-01,45.29,46.00,45.20,45.86,1167200,45.58
2013-09-30,44.91,45.48,44.54,45.35,689300,45.07
2013-09-27,45.01,45.33,44.98,45.22,392100,44.94
2013-09-26,45.31,45.54,45.02,45.36,620100,45.08
2013-09-25,45.35,45.68,44.87,45.10,814800,44.82
2013-09-24,45.08,45.65,44.78,45.19,992400,44.91
2013-09-23,45.45,45.55,44.44,44.96,1074900,44.69
2013-09-20,45.99,46.22,45.45,45.47,1131600,45.19
2013-09-19,46.24,46.51,45.79,45.85,897500,45.57
2013-09-18,45.57,46.21,44.94,46.17,884400,45.89
2013-09-17,45.35,45.66,45.25,45.36,779700,45.08
2013-09-16,45.80,46.02,45.31,45.38,794000,45.10
2013-09-13,44.93,44.96,44.32,44.93,841800,44.66
2013-09-12,45.13,45.36,44.39,44.76,973500,44.49
2013-09-11,45.20,45.33,44.51,45.02,1073300,44.75
2013-09-10,45.01,45.44,44.73,45.21,1065700,44.93
2013-09-09,43.47,44.90,43.47,44.74,1135000,44.47
2013-09-06,43.45,43.84,42.56,43.41,919400,43.15
2013-09-05,43.15,43.50,43.04,43.10,947300,42.84
