Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,82.31,82.80,82.01,82.21,3165200,82.21
2014-01-28,82.75,83.57,82.60,83.10,3158700,83.10
2014-01-27,81.25,83.15,81.22,82.29,4329300,82.29
2014-01-24,82.50,83.03,81.61,81.61,3753600,81.61
2014-01-23,83.42,84.37,82.92,83.07,4141800,83.07
2014-01-22,84.90,85.07,84.35,84.56,3080900,84.56
2014-01-21,86.25,86.27,83.66,85.00,6092100,85.00
2014-01-17,87.23,87.30,86.42,86.47,2931500,86.47
2014-01-16,87.55,87.86,86.91,87.24,1412100,87.24
2014-01-15,87.60,88.00,87.32,87.88,2063900,87.88
2014-01-14,86.80,87.70,86.80,87.45,2034200,87.45
2014-01-13,87.33,87.55,86.27,86.34,2215800,86.34
2014-01-10,88.10,88.12,87.08,87.49,1863000,87.49
2014-01-09,87.76,88.22,87.17,87.68,1687200,87.68
2014-01-08,88.21,88.40,87.23,87.58,2627700,87.58
2014-01-07,89.06,89.17,88.07,88.40,1818300,88.40
2014-01-06,89.72,89.90,88.77,88.92,1763600,88.92
2014-01-03,89.30,89.67,88.88,89.16,1448600,89.16
2014-01-02,90.51,90.66,88.97,89.33,1543900,89.33
2013-12-31,90.34,90.74,90.22,90.54,1107700,90.54
2013-12-30,90.04,90.53,89.86,90.28,1267900,90.28
2013-12-27,90.01,90.21,89.45,89.85,758200,89.85
2013-12-26,89.89,90.16,89.38,90.01,938600,90.01
2013-12-24,89.11,89.55,89.01,89.49,512800,89.49
2013-12-23,89.91,89.91,89.01,89.16,1277100,89.16
2013-12-20,88.67,89.64,88.62,89.18,3911300,89.18
2013-12-19,87.79,88.93,87.79,88.79,2140300,88.79
2013-12-18,86.96,88.15,86.62,88.14,2928000,88.14
2013-12-17,86.77,87.00,86.26,86.57,1852300,86.57
2013-12-16,86.99,87.36,86.65,87.05,2367800,87.05
2013-12-13,86.56,86.79,86.29,86.49,1568300,86.49
2013-12-12,87.12,87.37,86.50,86.63,1889300,86.63
2013-12-11,88.42,88.72,87.04,87.10,2179900,87.10
2013-12-10,88.09,88.83,88.03,88.44,1931100,88.44
2013-12-09,89.05,89.28,88.33,88.45,2539400,88.45
2013-12-06,88.18,89.42,88.18,89.01,1831200,89.01
2013-12-05,88.37,88.76,87.84,87.92,2334300,87.42
2013-12-04,88.71,89.46,87.89,88.61,2349600,88.11
2013-12-03,88.73,89.59,88.43,89.03,2531800,88.52
2013-12-02,90.26,90.40,88.87,89.00,3771100,88.49
2013-11-29,91.21,91.68,90.74,90.74,917100,90.22
2013-11-27,90.99,91.43,90.79,90.99,1902200,90.47
2013-11-26,90.80,91.23,90.72,90.79,2454000,90.27
2013-11-25,90.55,90.99,90.53,90.79,2112200,90.27
2013-11-22,89.22,90.59,89.06,90.52,1885000,90.01
2013-11-21,88.18,89.42,88.00,89.22,1787700,88.71
2013-11-20,88.06,88.45,87.69,87.93,1755400,87.43
2013-11-19,88.21,88.44,87.90,88.09,1274100,87.59
2013-11-18,88.88,88.93,88.07,88.18,1676800,87.68
2013-11-15,88.22,88.87,88.07,88.67,1764700,88.17
2013-11-14,87.56,88.28,87.29,88.25,1585900,87.75
2013-11-13,86.24,87.52,86.08,87.22,2081900,86.72
2013-11-12,87.50,87.86,86.12,86.44,2496800,85.95
2013-11-11,87.78,88.31,87.65,87.97,1367300,87.47
2013-11-08,87.15,87.83,87.01,87.80,1758400,87.30
2013-11-07,87.60,88.03,87.15,87.22,2139400,86.72
2013-11-06,86.54,87.60,86.46,87.49,1940600,86.99
2013-11-05,86.47,86.93,86.14,86.46,1445300,85.97
2013-11-04,86.51,87.10,86.35,86.60,1095600,86.11
2013-11-01,86.58,86.60,86.02,86.40,1432000,85.91
2013-10-31,86.99,87.09,86.29,86.30,1821200,85.81
2013-10-30,87.28,87.49,86.53,86.90,1282200,86.41
2013-10-29,87.26,87.50,86.90,87.28,1562900,86.78
2013-10-28,86.66,87.46,86.64,87.11,1625900,86.61
2013-10-25,86.82,87.15,86.53,86.63,1764100,86.14
2013-10-24,86.28,87.34,86.17,87.03,1991600,86.54
2013-10-23,86.21,86.45,85.62,86.28,1945400,85.79
2013-10-22,88.05,88.05,86.26,86.71,3823600,86.22
2013-10-21,86.69,86.93,86.35,86.76,1768000,86.27
2013-10-18,86.55,86.76,86.13,86.58,2027700,86.09
2013-10-17,85.32,86.12,84.87,86.02,1998000,85.53
2013-10-16,85.16,86.29,85.05,86.08,2065900,85.59
2013-10-15,84.93,85.08,84.37,84.48,1753400,84.00
2013-10-14,84.23,85.28,84.20,85.20,1377900,84.72
2013-10-11,84.05,84.78,83.75,84.66,1695700,84.18
2013-10-10,83.02,84.30,83.02,84.17,2003300,83.69
2013-10-09,83.13,83.20,82.24,82.35,1675800,81.88
2013-10-08,84.00,84.17,82.93,82.99,1838900,82.52
2013-10-07,84.05,84.50,83.77,84.09,1271900,83.61
2013-10-04,84.08,84.74,83.94,84.68,1452100,84.20
2013-10-03,84.32,84.35,83.78,84.06,1998300,83.58
2013-10-02,84.46,84.48,83.70,84.48,2441000,84.00
2013-10-01,84.93,84.98,84.38,84.66,1392500,84.18
2013-09-30,84.89,85.15,84.36,84.77,1721400,84.29
2013-09-27,85.56,85.65,85.11,85.41,1143800,84.92
2013-09-26,85.92,86.44,85.56,85.83,1049400,85.34
2013-09-25,85.94,86.45,85.78,85.98,1341100,85.49
2013-09-24,86.32,86.76,85.77,85.87,2489000,85.38
2013-09-23,86.62,87.20,86.34,86.38,2246000,85.89
2013-09-20,86.95,87.42,86.06,86.06,5257600,85.57
2013-09-19,86.46,87.53,86.05,86.90,2876600,86.41
2013-09-18,84.10,86.00,84.10,85.91,2155900,85.42
2013-09-17,84.74,85.12,84.69,84.87,1711100,84.39
2013-09-16,84.57,84.98,84.25,84.57,2031200,84.09
2013-09-13,83.41,83.91,83.23,83.56,1198600,83.08
2013-09-12,83.13,83.60,82.92,83.12,1988700,82.65
2013-09-11,82.56,83.88,82.42,83.73,2431100,83.25
2013-09-10,82.70,82.85,81.69,82.54,2552300,82.07
2013-09-09,80.74,82.31,80.54,82.19,2797100,81.72
2013-09-06,80.48,81.05,79.12,80.49,1923300,80.03
2013-09-05,80.94,81.10,80.59,80.66,1682100,79.70
2013-09-04,80.49,81.32,80.26,81.07,1500300,80.11
2013-09-03,80.74,81.30,80.06,80.57,1527100,79.62
2013-08-30,80.21,80.25,79.41,79.90,1438200,78.95
2013-08-29,79.69,80.75,79.50,80.25,1464900,79.30
2013-08-28,79.67,80.27,79.38,79.89,1880800,78.94
2013-08-27,79.34,79.99,79.16,79.74,2241400,78.80
2013-08-26,80.25,80.56,79.89,80.12,1572800,79.17
2013-08-23,80.56,80.60,79.93,80.19,1336200,79.24
2013-08-22,79.57,80.69,79.38,80.55,1145800,79.60
2013-08-21,80.10,80.10,79.13,79.42,2413800,78.48
2013-08-20,80.25,80.71,80.13,80.27,1578500,79.32
2013-08-19,81.15,81.19,80.19,80.23,1542900,79.28
2013-08-16,81.13,81.80,81.02,81.10,1752800,80.14
2013-08-15,81.52,81.92,80.83,81.07,1887900,80.11
2013-08-14,81.55,82.42,81.55,82.18,1925500,81.21
2013-08-13,82.35,82.43,81.14,81.94,2018300,80.97
2013-08-12,81.55,82.54,81.47,82.32,1788800,81.34
2013-08-09,82.09,82.18,81.49,82.10,1366000,81.13
2013-08-08,82.11,82.71,81.51,82.03,1908600,81.06
2013-08-07,82.10,82.23,81.47,81.86,1415700,80.89
2013-08-06,83.02,83.24,82.01,82.36,1921900,81.38
2013-08-05,83.87,84.00,83.00,83.15,1345600,82.16
2013-08-02,84.38,84.38,83.51,84.00,1525500,83.00
2013-08-01,84.25,84.77,84.10,84.36,1809900,83.36
2013-07-31,83.51,84.15,83.25,83.55,2481700,82.56
2013-07-30,83.60,83.93,82.97,83.39,2282800,82.40
2013-07-29,83.56,83.60,82.87,83.41,2011300,82.42
2013-07-26,82.55,83.60,82.12,83.60,2138000,82.61
2013-07-25,82.05,82.95,81.51,82.85,2656300,81.87
2013-07-24,82.33,82.83,81.64,82.18,2579100,81.21
2013-07-23,84.76,85.08,82.10,82.21,5637300,81.24
2013-07-22,84.66,85.53,84.57,85.43,1717200,84.42
2013-07-19,84.56,84.80,84.19,84.66,1514600,83.66
2013-07-18,84.38,84.70,84.27,84.53,2359600,83.53
2013-07-17,83.68,84.13,83.43,83.99,1720100,82.99
2013-07-16,83.46,83.76,82.96,83.23,1348900,82.24
2013-07-15,83.90,84.18,83.05,83.28,2313000,82.29
2013-07-12,82.55,84.24,82.55,84.18,2117500,83.18
2013-07-11,82.62,82.86,82.14,82.70,1620200,81.72
2013-07-10,82.02,82.08,81.09,81.57,1451200,80.60
2013-07-09,82.33,82.57,81.69,82.05,1915000,81.08
2013-07-08,81.60,82.31,81.60,81.76,1551000,80.79
2013-07-05,80.93,81.35,80.00,81.34,1374000,80.38
2013-07-03,79.54,80.64,79.35,80.40,789400,79.45
2013-07-02,81.01,81.31,79.52,79.82,2281900,78.87
2013-07-01,80.44,81.50,80.44,81.11,2291300,80.15
2013-06-28,80.05,80.64,79.49,79.92,2662700,78.97
2013-06-27,80.05,80.38,79.81,80.34,1886400,79.39
2013-06-26,78.93,80.02,78.90,79.79,2367600,78.84
2013-06-25,78.30,79.15,78.20,78.43,2287200,77.50
2013-06-24,78.14,78.50,77.38,77.85,2833300,76.93
2013-06-21,80.11,80.31,78.57,79.07,4046600,78.13
2013-06-20,81.52,81.71,79.68,79.78,2842600,78.83
2013-06-19,83.89,84.08,82.28,82.28,1913800,81.30
2013-06-18,83.42,84.27,83.41,84.09,2021700,83.09
2013-06-17,82.48,83.79,82.48,83.23,2043600,82.24
2013-06-14,82.88,83.08,81.97,82.15,1268900,81.18
2013-06-13,81.52,82.83,80.91,82.80,1655100,81.82
2013-06-12,82.56,82.84,81.44,81.45,1439200,80.48
2013-06-11,82.55,82.90,81.88,82.08,2147200,81.11
2013-06-10,83.44,83.62,82.52,83.30,2206000,82.31
2013-06-07,82.14,83.72,81.50,83.44,2970800,82.45
2013-06-06,81.86,81.95,80.63,81.74,2763500,80.77
2013-06-05,83.50,83.90,82.20,82.24,2958400,80.77
2013-06-04,83.90,84.32,83.43,83.82,2491200,82.32
2013-06-03,83.78,84.08,82.96,83.76,2294900,82.26
2013-05-31,84.39,85.09,83.72,83.72,2353600,82.22
2013-05-30,83.66,84.78,83.66,84.56,1721800,83.05
2013-05-29,82.89,83.96,82.63,83.67,2416300,82.18
2013-05-28,84.38,84.46,82.74,83.22,2388900,81.73
2013-05-24,82.91,83.62,82.59,83.60,1294900,82.11
2013-05-23,83.14,83.84,82.76,83.50,2011200,82.01
2013-05-22,83.56,84.32,83.27,83.77,3411800,82.27
2013-05-21,85.35,85.66,83.16,83.63,4430000,82.14
2013-05-20,86.24,86.67,85.43,85.55,1668200,84.02
2013-05-17,87.10,87.35,86.05,86.50,2203700,84.96
2013-05-16,87.59,87.69,86.62,86.87,1674900,85.32
2013-05-15,87.65,87.91,87.03,87.78,1688200,86.21
2013-05-14,86.60,87.90,86.50,87.90,1635300,86.33
2013-05-13,86.31,86.84,86.19,86.50,884600,84.96
2013-05-10,86.56,86.69,86.00,86.49,1134300,84.95
2013-05-09,87.28,87.40,86.23,86.46,1651800,84.92
