Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,50.21,52.87,49.83,51.85,3500400,51.85
2014-01-28,50.60,51.25,50.16,50.88,1970700,50.88
2014-01-27,50.68,51.52,50.25,50.88,3209600,50.88
2014-01-24,51.53,51.55,50.03,50.57,3210200,50.57
2014-01-23,52.82,53.32,51.62,52.33,2255200,52.33
2014-01-22,53.15,53.58,52.38,52.71,2361000,52.71
2014-01-21,52.93,53.89,52.71,53.00,3419100,53.00
2014-01-17,53.08,53.34,52.50,52.58,2116100,52.58
2014-01-16,52.62,53.02,51.75,52.76,4172700,52.76
2014-01-15,54.53,54.55,52.38,52.74,5206000,52.74
2014-01-14,55.21,55.49,54.07,54.51,3828600,54.51
2014-01-13,57.11,57.61,54.73,54.81,3778400,54.81
2014-01-10,58.01,58.45,56.78,57.51,3987600,57.51
2014-01-09,57.08,58.02,56.93,58.00,4356900,58.00
2014-01-08,57.26,57.94,56.52,56.77,5306500,56.77
2014-01-07,57.89,58.51,56.31,58.07,3780900,58.07
2014-01-06,57.33,58.19,57.26,57.57,2503800,57.57
2014-01-03,57.47,58.02,56.42,57.14,2744300,57.14
2014-01-02,58.20,59.07,57.26,57.96,2868900,57.96
2013-12-31,56.76,58.56,56.76,58.50,2398800,58.50
2013-12-30,57.34,57.69,56.30,56.55,2333200,56.55
2013-12-27,58.51,58.60,57.04,57.37,1841700,57.37
2013-12-26,58.21,58.79,57.98,58.48,2383500,58.48
2013-12-24,58.25,58.38,57.67,58.21,797600,58.21
2013-12-23,56.72,58.44,56.54,58.31,3349000,58.31
2013-12-20,56.37,57.04,56.07,56.16,5781800,56.16
2013-12-19,57.22,57.51,56.22,56.39,2696900,56.39
2013-12-18,57.29,57.69,55.74,57.52,2966700,57.52
2013-12-17,58.07,58.24,56.88,56.98,3273300,56.98
2013-12-16,56.51,58.58,56.47,58.37,3611900,58.37
2013-12-13,56.81,57.15,55.69,56.30,2733400,56.30
2013-12-12,56.00,57.38,55.96,56.94,3091800,56.94
2013-12-11,57.54,57.78,56.04,56.25,3663900,56.25
2013-12-10,58.60,58.60,55.94,57.72,4946200,57.72
2013-12-09,58.41,59.37,57.84,57.99,5705200,57.99
2013-12-06,56.20,58.83,56.13,57.70,4889100,57.70
2013-12-05,56.11,56.60,55.49,55.61,3321500,55.61
2013-12-04,56.23,57.21,54.66,55.78,5934300,55.78
2013-12-03,58.52,59.15,57.30,57.42,4043900,57.42
2013-12-02,58.89,59.57,57.94,58.85,4095000,58.85
2013-11-29,59.28,59.54,58.34,58.63,1674200,58.63
2013-11-27,57.04,59.47,56.84,59.08,6163000,59.08
2013-11-26,57.47,57.95,56.61,56.96,3438300,56.96
2013-11-25,57.33,58.09,56.46,57.56,2861000,57.31
2013-11-22,56.72,57.82,56.43,57.42,4227400,57.17
2013-11-21,55.35,56.80,55.17,56.73,3066500,56.48
2013-11-20,56.14,56.15,54.73,55.03,3775700,54.79
2013-11-19,55.68,56.95,55.39,56.06,5157400,55.82
2013-11-18,55.21,55.87,54.43,55.38,5601800,55.14
2013-11-15,55.13,55.27,53.92,54.53,5427500,54.29
2013-11-14,53.41,55.27,52.89,54.95,3504200,54.71
2013-11-13,52.11,53.42,51.94,53.27,3166600,53.04
2013-11-12,50.90,53.18,50.90,52.21,6202400,51.98
2013-11-11,50.06,51.46,49.76,51.19,4394000,50.97
2013-11-08,48.46,50.21,48.01,50.09,3832700,49.87
2013-11-07,48.00,50.90,47.75,48.29,6824300,48.08
2013-11-06,48.19,48.39,47.05,47.44,3993300,47.23
2013-11-05,48.20,48.48,47.64,47.92,2485100,47.71
2013-11-04,48.00,48.46,47.15,48.36,2782300,48.15
2013-11-01,48.92,49.06,47.28,47.82,2437900,47.61
2013-10-31,48.74,50.56,48.61,48.89,3781300,48.68
2013-10-30,47.30,48.97,46.64,48.94,4254400,48.73
2013-10-29,47.20,48.10,46.96,47.30,1927900,47.09
2013-10-28,47.09,47.81,46.85,47.17,2749500,46.97
2013-10-25,47.31,47.66,46.46,46.96,2799700,46.76
2013-10-24,49.27,49.27,46.87,47.03,4577800,46.83
2013-10-23,49.33,50.77,49.15,49.26,5486000,49.05
