Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,132.43,133.72,131.90,132.10,3452400,132.10
2014-01-28,134.10,134.63,133.33,133.71,2105000,133.71
2014-01-27,132.57,135.48,130.53,133.45,7818700,133.45
2014-01-24,134.03,135.16,133.34,133.70,2781400,133.70
2014-01-23,134.54,135.32,133.95,134.55,2704200,134.55
2014-01-22,134.93,135.53,134.67,134.88,1590400,134.88
2014-01-21,134.91,135.62,134.45,134.51,3756200,134.51
2014-01-17,135.33,135.94,134.99,135.71,2703700,135.71
2014-01-16,135.79,135.85,134.45,135.29,3298700,135.29
2014-01-15,135.90,136.46,135.00,135.13,3410000,135.13
2014-01-14,134.91,137.20,134.20,136.00,8992100,136.00
2014-01-13,132.78,133.43,130.88,132.40,3078300,132.40
2014-01-10,132.96,134.01,132.40,133.36,2074400,133.36
2014-01-09,133.00,133.96,132.78,133.17,1703400,133.17
2014-01-08,134.58,134.90,132.18,132.55,2943500,132.55
2014-01-07,134.14,135.01,133.93,134.90,1724200,134.90
2014-01-06,135.00,135.57,133.44,134.03,2119500,134.03
2014-01-03,134.43,134.50,133.10,133.40,1279100,133.40
2014-01-02,135.07,135.47,133.71,133.84,1619400,133.84
2013-12-31,134.96,135.61,134.57,135.50,1384900,135.50
2013-12-30,134.33,135.18,133.92,134.94,661600,134.94
2013-12-27,133.33,134.59,133.32,134.46,649900,134.46
2013-12-26,134.14,134.14,133.00,133.33,981000,133.33
2013-12-24,132.51,134.32,132.51,134.04,444000,134.04
2013-12-23,133.01,133.65,132.45,132.50,1916800,132.50
2013-12-20,133.22,134.00,132.37,132.46,3256300,132.46
2013-12-19,134.60,134.60,132.72,133.74,1812100,133.74
2013-12-18,133.01,134.50,132.21,134.49,1566300,134.49
2013-12-17,132.26,134.14,131.99,133.03,2511200,133.03
2013-12-16,131.80,132.66,130.92,132.09,2419300,132.09
2013-12-13,131.60,135.99,129.91,131.41,6739300,131.41
2013-12-12,131.48,132.88,130.69,131.06,2486400,131.06
2013-12-11,132.26,132.45,130.83,131.50,2730600,131.50
2013-12-10,130.95,132.82,130.62,131.86,2700800,131.86
2013-12-09,130.53,132.21,129.69,130.44,2158200,130.44
2013-12-06,132.64,133.20,130.55,131.00,4312600,131.00
2013-12-05,131.76,139.00,130.56,132.53,6906700,132.53
2013-12-04,133.77,134.03,131.55,132.20,4513800,132.20
2013-12-03,136.52,136.53,133.54,134.14,3965500,134.14
2013-12-02,137.98,139.85,136.15,136.81,2803600,136.81
2013-11-29,137.28,139.05,136.97,138.22,2169900,138.22
2013-11-27,137.31,137.58,135.65,136.80,3272400,136.80
2013-11-26,131.25,139.17,131.00,136.56,6863900,136.56
2013-11-25,132.23,132.85,130.76,132.02,3754300,131.37
2013-11-22,125.51,133.73,125.45,132.92,12609000,132.27
2013-11-21,119.77,121.70,119.77,120.86,1946400,120.26
2013-11-20,122.30,122.42,119.83,120.05,2040100,119.46
2013-11-19,121.39,123.13,120.81,122.26,2212700,121.66
2013-11-18,120.88,121.80,120.50,121.53,1199200,120.93
2013-11-15,121.15,121.59,120.49,120.88,1567000,120.28
2013-11-14,120.23,122.30,120.09,120.82,1755300,120.23
2013-11-13,117.63,120.47,117.42,120.14,1621500,119.55
2013-11-12,119.27,119.39,116.98,118.38,1749000,117.80
2013-11-11,120.89,121.48,118.88,119.14,1354000,118.55
2013-11-08,118.75,121.12,118.07,121.08,1704100,120.48
2013-11-07,120.25,120.98,118.00,118.24,1721400,117.66
2013-11-06,120.44,121.65,119.94,120.21,1360600,119.62
2013-11-05,122.51,122.55,119.91,119.97,2659100,119.38
2013-11-04,125.00,125.00,120.91,123.15,3195200,122.54
2013-11-01,120.42,128.17,119.82,123.51,5315700,122.90
2013-10-31,117.17,124.00,117.17,120.15,4524700,119.56
2013-10-30,118.49,118.70,115.62,116.88,2022900,116.30
2013-10-29,119.07,119.66,117.76,118.14,1691700,117.56
2013-10-28,118.94,119.00,116.83,118.72,1695100,118.14
2013-10-25,119.60,120.60,118.20,119.44,1614600,118.85
2013-10-24,119.17,119.74,117.58,119.49,1088600,118.90
2013-10-23,118.92,119.78,118.51,118.71,1222800,118.13
2013-10-22,118.58,119.98,118.54,119.52,1503500,118.93
2013-10-21,118.25,118.84,117.80,118.35,745400,117.77
2013-10-18,118.70,118.75,117.86,118.20,1657400,117.62
2013-10-17,117.00,118.86,116.37,118.63,1463600,118.05
2013-10-16,117.27,118.32,116.18,117.45,1980700,116.87
2013-10-15,114.67,117.17,113.37,116.59,2488300,116.02
2013-10-14,115.63,116.15,113.97,114.68,2058600,114.12
2013-10-11,116.53,116.93,115.70,115.79,2047600,115.22
2013-10-10,111.41,117.16,111.41,116.95,4010700,116.37
2013-10-09,109.80,111.12,108.88,110.27,2081900,109.73
2013-10-08,111.55,111.99,108.96,109.80,2470400,109.26
2013-10-07,112.11,112.24,110.68,111.02,1337200,110.47
2013-10-04,111.70,112.92,111.46,112.79,1937700,112.23
2013-10-03,112.09,112.41,111.13,111.46,1900200,110.91
2013-10-02,111.84,113.58,111.61,112.72,1596100,112.17
2013-10-01,111.54,113.45,111.46,112.78,1445300,112.22
2013-09-30,111.25,112.19,111.07,111.60,1585900,111.05
2013-09-27,111.73,112.83,111.20,112.17,1392300,111.62
2013-09-26,110.99,112.25,110.85,112.14,1789200,111.59
2013-09-25,111.51,113.49,109.72,110.84,3070700,110.29
2013-09-24,112.59,113.07,111.52,111.56,1647900,111.01
2013-09-23,113.08,113.73,112.41,112.58,829800,112.03
2013-09-20,113.96,114.56,113.04,113.59,1992400,113.03
