Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,36.35,36.75,35.96,36.10,2257700,36.10
2014-01-28,36.89,37.11,36.55,36.83,2213400,36.83
2014-01-27,36.49,37.21,35.92,36.77,3276600,36.77
2014-01-24,37.29,37.39,36.31,36.41,3309600,36.41
2014-01-23,37.72,38.09,37.46,37.79,3567800,37.79
2014-01-22,36.59,39.24,36.59,38.00,6858000,38.00
2014-01-21,36.47,36.49,35.68,36.10,4928700,36.10
2014-01-17,35.56,36.24,35.51,36.10,3247000,36.10
2014-01-16,35.51,35.79,35.41,35.65,1772100,35.65
2014-01-15,35.24,35.81,35.03,35.61,2034500,35.61
2014-01-14,34.73,35.27,34.70,35.20,2212000,35.20
2014-01-13,35.46,35.61,34.66,34.75,2817300,34.75
2014-01-10,35.84,36.00,35.53,35.67,1523600,35.67
2014-01-09,35.99,36.10,35.60,35.82,1224500,35.82
2014-01-08,35.84,36.05,35.52,35.78,1961500,35.78
2014-01-07,35.50,36.06,35.21,35.76,3002600,35.76
2014-01-06,36.50,36.78,36.16,36.16,3898800,36.16
2014-01-03,36.34,36.94,35.89,36.31,2379900,36.31
2014-01-02,36.75,36.75,36.19,36.29,1467200,36.29
2013-12-31,36.57,36.94,36.48,36.76,1238900,36.76
2013-12-30,36.64,36.70,36.19,36.43,1404100,36.43
2013-12-27,36.34,37.15,36.14,36.61,3797800,36.61
2013-12-26,36.32,36.69,36.08,36.20,1604900,36.20
2013-12-24,36.03,36.65,35.85,36.00,1474400,36.00
2013-12-23,36.38,36.85,35.65,36.38,6549300,36.38
2013-12-20,32.71,37.43,32.66,37.29,12719400,37.29
2013-12-19,32.55,32.76,32.42,32.57,1457500,32.57
2013-12-18,32.10,32.84,31.94,32.79,2419200,32.79
2013-12-17,32.16,32.24,31.76,32.10,1994000,32.10
2013-12-16,31.60,32.33,31.48,32.11,1933600,32.11
2013-12-13,31.59,31.81,31.33,31.46,1347800,31.46
2013-12-12,31.58,31.74,31.40,31.51,1401100,31.51
2013-12-11,32.22,32.30,31.47,31.59,1597200,31.59
2013-12-10,32.28,32.65,32.04,32.24,1352600,32.22
2013-12-09,32.65,32.84,32.31,32.41,1433200,32.39
2013-12-06,32.70,32.87,32.42,32.62,1400700,32.60
2013-12-05,31.57,32.52,31.54,32.30,1766600,32.28
