Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,95.52,96.00,94.95,95.33,4554500,95.33
2014-01-28,95.31,95.81,95.17,95.81,3881700,95.81
2014-01-27,96.14,96.62,95.01,95.17,4973700,95.17
2014-01-24,97.58,97.69,96.28,96.33,5251600,96.33
2014-01-23,98.39,98.54,97.61,97.94,4255100,97.94
2014-01-22,99.26,99.36,98.50,98.99,3234100,98.99
2014-01-21,100.46,100.59,97.54,98.57,5783200,98.57
2014-01-17,97.51,100.31,97.00,99.91,10135500,99.91
2014-01-16,100.78,101.07,100.10,100.49,2603900,100.49
2014-01-15,101.22,101.44,100.71,101.05,2027700,101.05
2014-01-14,100.36,100.99,99.63,100.93,3620300,100.93
2014-01-13,101.64,102.53,100.03,100.23,3510100,100.23
2014-01-10,102.27,102.64,101.33,102.52,3499500,102.52
2014-01-09,102.27,102.54,101.53,102.12,2352000,102.12
2014-01-08,102.12,102.28,101.41,102.00,3024400,102.00
2014-01-07,101.84,102.89,101.80,102.08,3385700,102.08
2014-01-06,103.53,103.67,101.23,101.75,3884800,101.75
2014-01-03,103.48,103.94,103.05,103.09,3719600,103.09
2014-01-02,104.63,104.91,102.82,103.32,2799700,103.32
2013-12-31,104.94,105.37,104.67,105.08,1778400,105.08
2013-12-30,104.95,105.06,104.59,104.92,1479800,104.92
2013-12-27,105.00,105.09,104.58,104.72,3433500,104.72
2013-12-26,104.35,104.90,104.04,104.67,2108300,104.67
2013-12-24,104.13,104.50,103.92,104.46,904500,104.46
2013-12-23,103.80,104.07,103.45,103.96,2155500,103.96
2013-12-20,103.23,104.56,103.00,103.33,8363500,103.33
2013-12-19,102.73,103.24,102.40,103.18,2508600,103.18
2013-12-18,102.13,103.04,101.24,102.98,4224900,102.98
2013-12-17,102.23,102.60,101.69,101.98,3190600,101.98
2013-12-16,101.64,102.40,101.63,102.13,3116600,102.13
2013-12-13,101.05,101.77,100.65,101.38,2712600,101.38
2013-12-12,100.76,101.49,100.76,100.95,2303200,100.95
2013-12-11,101.95,102.08,100.67,100.87,2982400,100.87
2013-12-10,102.15,102.41,101.55,101.73,2199300,101.73
2013-12-09,103.02,103.04,101.97,102.34,2373400,102.34
2013-12-06,102.38,102.92,101.94,102.43,3723900,102.43
2013-12-05,101.46,102.08,101.46,101.63,2230900,101.63
2013-12-04,101.87,102.24,100.75,101.72,2249300,101.72
2013-12-03,102.45,102.78,101.49,101.90,2600100,101.90
2013-12-02,102.14,102.90,102.13,102.33,2336900,102.33
2013-11-29,102.70,103.04,102.37,102.38,1281700,102.38
2013-11-27,102.30,102.82,102.02,102.54,1879700,102.54
2013-11-26,101.32,102.35,101.32,102.29,3997300,102.29
2013-11-25,102.20,102.23,101.19,101.22,2219000,101.22
2013-11-22,101.44,102.00,100.86,101.98,2014300,101.98
2013-11-21,100.36,101.27,100.20,101.13,2262600,101.13
2013-11-20,100.84,100.94,100.11,100.13,2128400,100.13
2013-11-19,101.18,101.36,100.50,100.72,2447200,100.72
2013-11-18,101.21,101.75,100.97,101.28,2448900,101.28
2013-11-15,101.10,101.37,100.35,100.94,4083600,100.94
2013-11-14,100.77,101.56,100.27,100.97,6082800,100.97
2013-11-13,99.24,101.06,99.15,101.04,3862700,100.42
2013-11-12,98.94,100.08,98.76,99.82,3549900,99.21
2013-11-11,99.51,99.80,99.09,99.28,4214600,98.67
2013-11-08,98.48,99.87,98.47,99.62,3886000,99.01
2013-11-07,99.52,99.93,98.54,98.59,2961400,97.99
2013-11-06,100.31,100.59,98.78,99.10,4088400,98.49
2013-11-05,99.36,100.67,99.01,100.30,3912700,99.68
2013-11-04,98.77,99.90,98.64,99.88,3009600,99.27
2013-11-01,98.28,98.82,97.75,98.22,2944500,97.62
2013-10-31,97.85,98.99,97.34,98.24,4213200,97.64
2013-10-30,98.21,98.79,98.01,98.28,3975200,97.68
2013-10-29,97.82,98.41,96.66,98.31,6452700,97.71
2013-10-28,95.45,98.78,95.45,97.77,5926700,97.17
2013-10-25,96.67,97.00,94.16,95.61,5203400,95.02
2013-10-24,94.18,95.40,94.18,94.49,4802700,93.91
2013-10-23,93.52,94.03,93.22,93.95,2654400,93.37
2013-10-22,93.96,94.84,93.65,93.77,3000900,93.19
2013-10-21,93.10,93.94,92.93,93.78,3778800,93.20
2013-10-18,92.31,93.01,91.94,93.00,3168500,92.43
2013-10-17,91.21,92.01,91.03,91.92,1954900,91.36
2013-10-16,90.56,91.47,90.50,91.33,2607500,90.77
2013-10-15,90.38,91.56,90.18,90.28,3144200,89.73
2013-10-14,90.34,90.68,90.15,90.36,2283200,89.81
2013-10-11,90.21,90.80,90.21,90.77,1825800,90.21
2013-10-10,89.38,90.32,88.91,90.28,2540900,89.73
2013-10-09,89.18,89.25,88.45,88.70,2455300,88.16
2013-10-08,89.88,90.16,88.90,88.93,2149200,88.38
2013-10-07,90.21,90.54,89.53,90.03,1707200,89.48
2013-10-04,90.16,91.08,89.64,91.00,2253700,90.44
2013-10-03,91.09,91.15,89.80,90.10,3168000,89.55
2013-10-02,91.26,91.44,90.82,91.28,2558900,90.72
2013-10-01,91.43,91.85,91.37,91.80,1800900,91.24
2013-09-30,90.69,91.87,90.45,91.37,2436600,90.81
2013-09-27,91.50,91.70,90.75,91.25,2390500,90.69
2013-09-26,91.18,91.80,91.07,91.80,2734300,91.24
2013-09-25,91.19,91.54,90.66,91.00,2544100,90.44
2013-09-24,91.20,91.99,91.04,91.26,2931200,90.70
2013-09-23,91.52,91.59,90.36,91.29,3229200,90.73
2013-09-20,91.72,92.12,91.43,91.55,5317500,90.99
2013-09-19,90.95,92.05,90.81,91.70,3140800,91.14
2013-09-18,89.99,91.10,89.75,90.97,4019200,90.41
2013-09-17,89.62,90.20,89.25,89.89,2355900,89.34
