Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,81.38,81.85,80.82,80.97,3424700,80.97
2014-01-28,80.63,82.31,80.63,82.26,2493200,82.26
2014-01-27,81.36,81.99,80.61,81.04,2893700,81.04
2014-01-24,83.20,83.20,81.23,81.41,2697800,81.41
2014-01-23,83.54,84.00,82.84,83.52,2464800,83.52
2014-01-22,82.55,84.39,82.42,84.32,2892100,84.32
2014-01-21,83.76,83.91,82.26,82.55,2939400,82.55
2014-01-17,84.27,84.82,82.77,83.08,4233300,83.08
2014-01-16,84.43,85.32,84.43,84.94,1512700,84.94
2014-01-15,84.56,85.05,84.05,84.96,2933200,84.96
2014-01-14,84.46,84.91,83.90,84.63,2246500,84.63
2014-01-13,85.34,86.20,84.08,84.42,2575200,84.42
2014-01-10,85.97,86.30,84.58,85.40,2186900,85.40
2014-01-09,87.07,87.07,85.70,86.00,1422200,86.00
2014-01-08,86.19,86.93,85.71,86.67,2257400,86.67
2014-01-07,86.16,86.62,85.87,86.33,1806000,86.33
2014-01-06,87.13,87.16,85.41,85.73,2331100,85.73
2014-01-03,86.89,87.19,86.47,86.60,1554200,86.60
2014-01-02,87.45,87.57,86.69,86.95,1613300,86.95
2013-12-31,87.27,87.84,86.99,87.34,1971500,87.34
2013-12-30,86.25,87.19,85.91,87.15,2344100,87.15
2013-12-27,85.98,86.16,85.28,86.05,1276000,86.05
2013-12-26,85.79,85.99,85.57,85.84,1685700,85.84
2013-12-24,85.61,85.86,85.34,85.60,1019000,85.60
2013-12-23,84.70,85.67,84.26,85.47,2577300,85.47
2013-12-20,84.06,85.37,84.06,84.16,7198300,84.16
2013-12-19,83.57,84.74,83.57,84.12,3757300,84.12
2013-12-18,82.29,83.65,80.88,83.55,3437500,83.55
2013-12-17,82.00,82.66,81.29,82.24,2512500,82.24
2013-12-16,81.67,82.19,80.97,82.04,2718000,82.04
2013-12-13,81.19,81.64,80.87,81.20,1914700,81.20
2013-12-12,80.81,81.22,80.49,80.72,1777000,80.72
2013-12-11,82.30,82.85,80.78,81.03,2593100,81.03
2013-12-10,81.90,83.04,81.86,82.61,2859800,82.31
2013-12-09,82.54,82.85,81.30,82.17,2715100,81.87
2013-12-06,82.59,82.74,81.42,82.20,2380300,81.90
2013-12-05,81.39,82.25,81.32,81.62,2208100,81.32
2013-12-04,80.79,81.85,80.36,81.53,2963100,81.23
2013-12-03,80.58,81.48,80.46,81.20,3440800,80.91
2013-12-02,81.00,81.58,80.22,80.82,3317900,80.53
2013-11-29,80.05,80.86,79.74,80.17,1432000,79.88
2013-11-27,79.76,80.08,79.18,79.85,2773500,79.56
2013-11-26,79.74,79.84,78.83,79.25,3794400,78.96
2013-11-25,80.12,80.12,79.39,79.59,3169100,79.30
2013-11-22,80.05,80.46,79.51,79.63,7886900,79.34
2013-11-21,80.09,80.66,79.75,80.16,2910200,79.87
2013-11-20,79.64,80.21,78.97,80.12,5411500,79.83
2013-11-19,79.89,80.17,79.14,79.63,3314800,79.34
2013-11-18,80.65,80.89,79.25,79.54,3927700,79.25
2013-11-15,81.20,81.55,79.98,80.51,5026500,80.22
2013-11-14,82.00,83.49,80.50,80.80,7294900,80.51
2013-11-13,79.20,83.28,79.20,83.13,2730500,82.83
2013-11-12,81.84,82.33,81.43,82.12,2076600,81.82
2013-11-11,82.27,82.77,82.02,82.36,1334400,82.06
2013-11-08,81.05,82.50,80.56,82.29,2575800,81.99
2013-11-07,84.16,84.20,80.83,80.91,3245800,80.62
2013-11-06,84.70,85.50,82.55,83.79,2936600,83.49
2013-11-05,82.29,84.23,82.26,84.15,2752700,83.84
2013-11-04,83.96,83.96,82.46,83.07,2059700,82.77
