Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,61.30,61.97,61.06,61.60,1435400,61.60
2014-01-28,61.47,62.16,61.46,61.82,1448700,61.82
2014-01-27,61.55,62.16,61.36,61.36,1911100,61.36
2014-01-24,61.37,61.87,61.16,61.39,2498100,61.39
2014-01-23,61.27,61.64,61.27,61.47,1916000,61.47
2014-01-22,61.80,62.24,61.40,61.64,2297900,61.64
2014-01-21,61.25,61.86,61.01,61.80,2196200,61.80
2014-01-17,61.40,61.46,60.55,60.96,2215600,60.96
2014-01-16,60.21,61.21,60.04,61.20,1839500,61.20
2014-01-15,59.79,60.43,59.79,60.29,1692700,60.29
2014-01-14,60.13,60.13,59.59,59.94,2041300,59.94
2014-01-13,60.99,61.10,59.37,59.90,2836500,59.90
2014-01-10,58.51,60.98,58.51,60.70,3116400,60.70
2014-01-09,57.87,58.60,57.65,58.04,1488600,58.04
2014-01-08,58.07,58.55,57.57,57.89,1887300,57.89
2014-01-07,58.19,58.53,57.56,58.22,2504700,58.22
2014-01-06,57.67,58.66,57.13,58.20,2546800,58.20
2014-01-03,57.03,57.11,56.63,56.79,1163100,56.79
2014-01-02,56.95,57.22,56.43,56.82,1513100,56.82
2013-12-31,57.74,57.93,57.12,57.28,1664300,57.28
2013-12-30,57.17,57.98,57.17,57.69,1180300,57.69
2013-12-27,57.27,57.51,56.85,57.24,1135800,57.24
2013-12-26,57.12,57.58,57.11,57.26,1286400,57.26
2013-12-24,57.11,57.47,56.89,57.13,625100,57.13
2013-12-23,57.57,57.95,57.08,57.14,1728600,57.14
2013-12-20,56.91,57.38,56.75,57.35,2615400,57.35
2013-12-19,57.29,57.39,55.88,56.65,2621500,56.65
2013-12-18,56.75,57.89,55.58,57.76,2936500,57.76
2013-12-17,56.44,56.75,56.25,56.58,2161200,56.58
2013-12-16,56.05,56.58,56.01,56.33,2396200,56.33
2013-12-13,55.69,56.58,55.52,55.98,1913900,55.98
2013-12-12,55.50,55.81,54.89,55.26,2470200,55.26
2013-12-11,57.85,57.97,56.30,56.33,2290000,55.61
2013-12-10,57.41,58.34,57.30,57.98,3019100,57.23
2013-12-09,56.52,57.27,56.18,57.26,2351900,56.52
2013-12-06,57.00,57.15,55.99,56.35,1142800,55.62
2013-12-05,56.15,56.87,55.67,56.68,1564800,55.95
2013-12-04,55.40,56.68,55.36,56.21,1810700,55.49
2013-12-03,56.20,56.25,55.78,55.97,1558700,55.25
2013-12-02,56.82,57.00,56.00,56.26,1423500,55.54
2013-11-29,57.74,57.77,56.82,56.83,784400,56.10
2013-11-27,57.45,57.72,57.04,57.64,1466700,56.90
2013-11-26,58.19,58.41,57.37,57.48,1571500,56.74
2013-11-25,59.30,59.44,57.78,58.15,1526000,57.40
2013-11-22,59.76,59.90,58.81,59.15,1194300,58.39
2013-11-21,59.40,59.91,59.04,59.76,1090600,58.99
2013-11-20,60.71,61.18,58.94,59.17,1696400,58.41
2013-11-19,61.09,61.09,60.17,60.40,887600,59.62
2013-11-18,61.18,61.40,60.93,60.94,1163300,60.16
2013-11-15,60.86,61.55,60.86,61.18,1376700,60.39
2013-11-14,60.96,61.44,60.50,60.87,1396500,60.09
2013-11-13,60.65,60.78,60.15,60.51,1506500,59.73
2013-11-12,61.39,61.54,60.37,60.73,953100,59.95
2013-11-11,61.62,62.14,61.30,61.48,895600,60.69
2013-11-08,63.11,63.12,60.65,61.57,1808700,60.78
2013-11-07,64.12,64.50,63.44,63.63,1223400,62.81
2013-11-06,64.30,64.55,63.88,64.03,1455900,63.21
2013-11-05,65.44,65.71,63.81,63.99,1557000,63.17
2013-11-04,65.65,65.96,65.00,65.82,1145700,64.97
2013-11-01,65.37,65.77,65.07,65.54,1507700,64.70
2013-10-31,65.92,66.22,65.12,65.24,1427200,64.40
2013-10-30,66.25,66.49,65.65,65.82,922000,64.97
2013-10-29,66.67,66.79,65.75,66.11,1295500,65.26
2013-10-28,67.38,67.38,65.85,66.60,1360300,65.74
2013-10-25,67.25,67.64,66.32,67.33,1727000,66.46
2013-10-24,65.98,66.07,65.53,66.02,1094300,65.17
2013-10-23,65.75,66.28,65.53,66.00,1258900,65.15
2013-10-22,64.93,66.20,64.57,65.84,1076900,64.99
2013-10-21,65.56,65.56,64.53,64.82,1334100,63.99
2013-10-18,66.12,66.59,65.33,65.54,1480400,64.70
2013-10-17,64.80,66.00,64.56,65.82,1273000,64.97
2013-10-16,63.79,64.77,63.57,64.67,1502500,63.84
2013-10-15,63.37,63.99,62.95,63.30,1060800,62.49
2013-10-14,63.46,64.02,63.00,63.62,1033500,62.80
2013-10-11,63.70,64.09,63.04,64.09,1089400,63.27
2013-10-10,62.67,63.75,62.38,63.67,1358200,62.85
2013-10-09,62.14,62.60,61.86,62.05,1042500,61.25
2013-10-08,62.09,62.73,62.02,62.08,1375400,61.28
2013-10-07,61.16,62.52,61.11,62.12,774500,61.32
2013-10-04,62.01,62.56,61.47,61.70,1213200,60.91
2013-10-03,63.20,63.38,61.55,62.03,2217000,61.23
2013-10-02,63.06,63.55,62.14,63.48,2127900,62.66
2013-10-01,61.24,63.61,61.24,63.11,1684300,62.30
2013-09-30,62.33,63.09,61.12,61.50,2109300,60.71
2013-09-27,62.96,63.23,62.18,62.66,1498100,61.85
2013-09-26,62.97,63.35,62.68,63.28,1066200,62.47
2013-09-25,62.39,63.07,62.22,62.97,1542600,62.16
2013-09-24,62.49,63.16,61.94,62.41,1861200,61.61
2013-09-23,62.91,63.44,62.46,62.48,1232000,61.68
2013-09-20,64.23,64.29,62.92,62.93,2734100,62.12
2013-09-19,65.82,66.07,64.28,64.33,1941700,63.50
2013-09-18,62.82,65.63,61.43,65.54,2939800,64.70
2013-09-17,63.13,63.79,62.89,62.89,1511800,62.08
2013-09-16,64.47,64.63,62.97,63.23,2057100,62.42
2013-09-13,60.77,61.77,60.54,61.45,1423100,60.66
2013-09-12,61.34,61.97,60.63,60.71,931100,59.93
2013-09-11,60.90,61.45,60.72,61.37,1426900,60.58
2013-09-10,62.34,62.49,60.91,61.32,1795200,59.87
2013-09-09,61.71,62.16,61.29,62.16,1448500,60.69
2013-09-06,61.38,62.32,61.32,61.46,1513500,60.01
2013-09-05,61.71,61.91,60.35,60.44,1094200,59.01
2013-09-04,61.70,62.01,61.15,61.72,943400,60.26
2013-09-03,62.94,62.94,61.00,61.57,1770900,60.11
2013-08-30,62.57,63.06,62.07,62.26,1428800,60.79
2013-08-29,62.50,62.59,61.76,62.55,1126000,61.07
2013-08-28,62.75,62.94,62.06,62.76,1681600,61.28
2013-08-27,61.60,63.07,61.27,62.86,1853400,61.37
2013-08-26,62.51,62.57,61.79,62.01,1260800,60.54
2013-08-23,60.88,62.38,60.83,62.37,1732000,60.89
2013-08-22,61.29,61.35,60.40,60.92,1625000,59.48
2013-08-21,60.13,62.42,59.23,61.25,2348400,59.80
2013-08-20,59.04,60.66,59.04,60.33,1709200,58.90
2013-08-19,59.21,59.50,58.53,58.86,2230900,57.47
2013-08-16,60.80,60.91,59.04,59.53,4321000,58.12
2013-08-15,62.19,62.20,60.96,61.08,2285800,59.64
2013-08-14,63.18,63.37,62.63,62.69,1325900,61.21
2013-08-13,64.56,64.57,63.03,63.22,1536300,61.72
2013-08-12,64.54,64.97,64.15,64.43,1291900,62.91
2013-08-09,64.24,64.99,64.06,64.61,2008200,63.08
2013-08-08,64.43,64.68,64.01,64.33,1292500,62.81
2013-08-07,64.71,64.75,64.00,64.20,1333400,62.68
2013-08-06,65.37,65.71,64.73,64.74,1700400,63.21
2013-08-05,64.86,65.48,64.70,65.23,1330400,63.69
2013-08-02,64.72,65.80,64.68,64.95,1986700,63.41
2013-08-01,66.03,66.17,64.67,64.72,1981800,63.19
2013-07-31,67.92,67.96,65.30,65.74,2660000,64.18
