Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,51.75,52.35,51.34,51.61,3991300,51.61
2014-01-28,51.20,52.19,51.03,52.00,3686200,52.00
2014-01-27,51.71,51.86,50.62,51.01,4252300,51.01
2014-01-24,51.45,52.18,51.01,51.61,5942300,51.61
2014-01-23,51.55,51.81,50.78,51.50,4429400,51.50
2014-01-22,52.45,52.72,51.75,51.85,4086400,51.85
2014-01-21,52.58,52.95,52.03,52.25,3187100,52.25
2014-01-17,52.50,52.60,52.04,52.31,4312000,52.31
2014-01-16,53.26,53.50,52.52,52.72,3608800,52.72
2014-01-15,53.67,53.96,53.26,53.30,2987100,53.30
2014-01-14,52.68,54.19,52.61,53.78,4674700,53.66
2014-01-13,52.60,53.25,52.15,52.50,4132600,52.38
2014-01-10,52.75,53.19,52.25,52.56,9163800,52.44
2014-01-09,54.30,54.30,52.62,53.50,5559100,53.38
2014-01-08,55.18,55.21,53.57,53.97,5297600,53.85
2014-01-07,54.74,55.69,54.56,55.07,4202800,54.95
2014-01-06,55.80,55.89,53.79,54.30,8390700,54.18
2014-01-03,57.07,57.25,56.06,56.29,2425700,56.16
2014-01-02,57.66,57.76,57.04,57.07,2165000,56.94
2013-12-31,57.80,57.89,57.39,57.83,1908500,57.70
2013-12-30,56.85,57.97,56.76,57.66,2324600,57.53
2013-12-27,57.97,57.98,56.43,56.68,4186700,56.55
2013-12-26,58.08,58.39,57.53,57.68,1731900,57.55
2013-12-24,57.97,58.22,57.72,57.99,825300,57.86
2013-12-23,59.35,59.50,57.78,57.95,3565900,57.82
2013-12-20,58.99,59.70,58.65,59.27,4490700,59.14
2013-12-19,57.71,58.83,57.16,58.75,4494700,58.62
2013-12-18,57.25,57.60,56.15,57.56,3413100,57.43
2013-12-17,56.38,57.60,55.72,57.31,4014200,57.18
2013-12-16,56.37,56.56,55.64,56.09,2570600,55.96
2013-12-13,56.16,56.48,55.71,56.01,1568900,55.89
2013-12-12,56.09,56.30,55.55,55.90,2285100,55.78
2013-12-11,55.71,56.57,55.71,56.18,2371300,56.05
2013-12-10,55.56,56.27,55.20,55.71,2025100,55.59
2013-12-09,56.59,56.64,55.56,55.69,1894800,55.57
2013-12-06,56.23,56.57,54.87,56.26,3350900,56.13
2013-12-05,55.89,56.04,55.50,55.61,2632200,55.49
2013-12-04,56.31,56.64,55.49,56.16,2602600,56.03
2013-12-03,56.44,56.79,56.04,56.69,2686300,56.56
2013-12-02,57.00,57.07,56.38,56.73,1734100,56.60
2013-11-29,57.37,57.41,56.33,56.60,1152600,56.47
2013-11-27,56.60,57.32,56.37,57.07,1945200,56.94
2013-11-26,56.31,56.58,55.95,56.47,2302700,56.34
2013-11-25,55.95,56.33,55.80,56.12,2117100,55.99
2013-11-22,56.15,56.20,55.38,55.95,3315400,55.83
2013-11-21,55.83,56.71,55.80,56.48,2095200,56.35
2013-11-20,56.00,56.36,55.70,55.84,2791100,55.72
2013-11-19,56.84,57.10,55.62,55.72,4225300,55.60
2013-11-18,58.87,58.97,56.88,56.99,4251800,56.86
2013-11-15,59.36,59.47,58.78,58.84,2119600,58.71
2013-11-14,59.19,59.46,58.70,59.27,2215200,59.14
2013-11-13,58.82,59.06,58.28,59.05,3337900,58.92
2013-11-12,57.80,59.43,57.60,59.00,5240000,58.87
2013-11-11,58.44,58.99,57.53,57.80,3365900,57.67
2013-11-08,57.26,58.67,57.15,58.55,5502500,58.42
2013-11-07,58.00,58.92,57.00,57.26,19286500,57.13
2013-11-06,63.84,64.72,63.57,64.47,4284400,64.33
2013-11-05,63.55,64.20,62.90,63.69,2392000,63.55
2013-11-04,63.52,63.89,63.14,63.48,1976100,63.34
2013-11-01,63.11,64.16,62.78,63.30,2803700,63.16
2013-10-31,63.58,63.81,62.68,63.13,2914800,62.99
2013-10-30,64.86,64.95,63.58,63.96,2157200,63.82
2013-10-29,64.95,65.28,64.50,64.85,1499700,64.71
2013-10-28,64.90,65.59,64.58,64.83,2136200,64.69
2013-10-25,64.92,65.31,64.75,65.24,1764100,65.09
2013-10-24,64.50,64.83,64.28,64.59,1637400,64.45
2013-10-23,63.91,64.36,63.79,64.14,2098100,64.00
2013-10-22,64.27,64.85,63.73,64.03,2129900,63.89
2013-10-21,63.96,64.20,63.43,63.86,1479800,63.72
2013-10-18,63.77,64.10,63.41,63.85,1938300,63.71
2013-10-17,62.69,63.49,62.27,63.40,2156700,63.26
2013-10-16,62.10,63.21,62.02,62.66,3018700,62.52
2013-10-15,62.00,62.00,61.40,61.51,2124300,61.37
2013-10-14,60.94,62.00,60.75,61.89,2407600,61.75
2013-10-11,59.83,61.25,59.71,61.18,2080600,61.04
2013-10-10,58.81,60.30,58.69,59.81,1927700,59.68
2013-10-09,59.21,59.28,57.71,58.42,2995000,58.29
2013-10-08,59.43,60.60,58.80,59.09,3557700,58.96
2013-10-07,59.02,59.39,58.80,59.15,1389600,59.02
2013-10-04,58.95,59.69,58.75,59.55,1250400,59.42
2013-10-03,59.29,59.55,58.76,58.89,2023800,58.76
2013-10-02,59.01,59.99,58.56,59.59,2257300,59.46
2013-10-01,58.47,59.26,58.45,59.12,1970700,58.99
2013-09-30,57.95,58.58,57.55,58.50,2238400,58.37
2013-09-27,58.23,58.44,57.81,58.33,1787500,58.20
2013-09-26,58.61,58.85,58.21,58.51,1204000,58.38
2013-09-25,58.69,58.90,57.91,58.33,1984800,58.20
2013-09-24,58.30,58.92,58.00,58.55,1626300,58.32
2013-09-23,57.83,58.73,57.73,58.24,2210200,58.01
2013-09-20,58.67,58.76,57.75,57.85,8249400,57.62
2013-09-19,59.32,59.34,58.10,58.54,2457700,58.31
2013-09-18,58.07,59.35,57.84,59.32,1968300,59.09
2013-09-17,57.75,58.48,57.73,58.14,1984400,57.91
2013-09-16,57.75,57.98,57.49,57.71,2582700,57.48
2013-09-13,56.75,57.42,56.69,57.11,2732600,56.89
2013-09-12,56.06,57.11,56.03,56.36,2122200,56.14
2013-09-11,55.49,56.11,55.01,56.09,1985500,55.87
2013-09-10,55.10,55.49,54.93,55.48,1744700,55.26
2013-09-09,54.74,55.08,54.52,54.91,2142900,54.69
2013-09-06,54.54,54.79,53.45,54.52,2531000,54.31
2013-09-05,53.66,54.33,53.62,54.19,1608900,53.98
2013-09-04,53.34,54.00,53.17,53.81,2394000,53.60
2013-09-03,53.20,53.80,53.20,53.31,2884100,53.10
2013-08-30,52.53,53.04,52.36,52.75,2520100,52.54
2013-08-29,51.23,52.67,51.00,52.47,2340200,52.26
2013-08-28,51.72,51.80,51.30,51.48,1698700,51.28
2013-08-27,52.00,52.22,51.61,51.86,1683900,51.66
2013-08-26,52.97,53.13,52.37,52.39,1369400,52.18
2013-08-23,52.74,52.98,52.28,52.88,1705300,52.67
2013-08-22,52.24,53.25,52.24,52.86,1628800,52.65
2013-08-21,52.58,52.94,52.11,52.20,2178300,51.99
2013-08-20,52.85,52.96,52.22,52.44,2339700,52.23
2013-08-19,52.98,53.30,52.53,52.55,2243100,52.34
2013-08-16,53.72,54.31,52.95,52.96,2690100,52.75
2013-08-15,54.14,54.32,53.51,53.82,2466700,53.61
2013-08-14,55.24,55.41,54.41,54.61,1864000,54.40
2013-08-13,55.71,55.75,55.05,55.53,1130100,55.31
2013-08-12,55.00,55.62,54.91,55.40,1766400,55.18
2013-08-09,55.75,55.90,54.97,55.42,1932300,55.20
2013-08-08,55.75,56.18,55.33,55.90,1514900,55.68
2013-08-07,55.69,55.84,55.36,55.40,2364700,55.18
2013-08-06,55.46,56.13,55.30,56.07,2168500,55.85
2013-08-05,55.04,56.08,54.83,55.73,2482700,55.51
2013-08-02,54.89,55.07,54.48,54.85,3035500,54.63
2013-08-01,54.50,56.60,54.31,55.14,7620100,54.92
2013-07-31,56.08,56.08,54.91,55.58,4805300,55.36
2013-07-30,55.96,56.15,55.44,55.62,3146100,55.40
2013-07-29,55.25,56.09,55.24,55.51,3417700,55.29
2013-07-26,54.51,55.99,54.47,55.97,2516200,55.75
2013-07-25,54.59,55.20,54.25,55.12,2468500,54.90
2013-07-24,55.11,55.50,54.48,54.49,2373400,54.28
2013-07-23,55.96,56.11,55.04,55.07,2099200,54.85
2013-07-22,56.38,56.48,55.69,55.97,2815100,55.75
2013-07-19,56.51,56.59,55.64,55.93,3174300,55.71
2013-07-18,56.22,56.74,56.09,56.22,2267300,56.00
2013-07-17,56.50,56.83,56.16,56.24,1590100,56.02
2013-07-16,56.66,56.70,55.94,56.38,1985600,56.16
2013-07-15,56.30,56.72,55.80,56.67,2009600,56.45
2013-07-12,55.78,56.26,55.62,56.23,2530900,56.01
2013-07-11,55.26,55.89,55.26,55.77,3435100,55.55
2013-07-10,54.53,54.82,54.10,54.66,1901400,54.44
2013-07-09,54.14,54.85,54.05,54.71,2745300,54.49
2013-07-08,53.39,54.06,52.95,53.85,2642700,53.64
