Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,39.46,40.11,39.29,39.72,5999100,39.72
2014-01-28,38.90,39.95,38.90,39.80,5858500,39.80
2014-01-27,38.97,39.23,38.45,38.88,5885000,38.88
2014-01-24,39.02,39.20,38.53,38.97,7231400,38.97
2014-01-23,38.87,39.43,38.66,39.26,5460100,39.26
2014-01-22,39.51,39.58,38.73,38.96,5340200,38.96
2014-01-21,39.50,39.68,39.17,39.45,4329900,39.45
2014-01-17,39.46,39.48,38.97,39.22,7221300,39.22
2014-01-16,39.10,39.40,38.92,39.37,7425900,39.37
2014-01-15,39.29,39.32,38.94,39.11,6001200,39.11
2014-01-14,39.22,39.39,38.94,39.16,6162600,39.16
2014-01-13,39.20,39.59,38.95,39.04,9007900,39.04
2014-01-10,39.36,39.54,39.04,39.35,7248800,39.35
2014-01-09,39.36,39.86,38.85,39.25,9394100,39.25
2014-01-08,38.53,39.23,38.43,39.16,10443500,39.16
2014-01-07,38.24,39.04,38.17,39.01,8347700,39.01
2014-01-06,38.25,38.49,37.95,38.40,6996100,38.40
2014-01-03,38.25,38.39,37.77,38.03,4621500,38.03
2014-01-02,38.39,38.64,38.05,38.28,6257600,38.28
2013-12-31,38.49,38.68,38.33,38.57,6645100,38.57
2013-12-30,38.41,38.61,38.25,38.41,4259100,38.41
2013-12-27,38.23,38.40,37.76,38.30,4079000,38.30
2013-12-26,37.83,38.42,37.80,38.23,6959700,38.23
2013-12-24,37.54,37.77,37.53,37.70,3750300,37.70
2013-12-23,37.30,38.03,37.21,37.60,8121000,37.60
2013-12-20,37.01,37.30,36.83,37.01,8972100,37.01
2013-12-19,36.66,36.93,36.26,36.89,6595900,36.89
2013-12-18,36.81,37.07,36.09,36.65,11968900,36.65
2013-12-17,36.21,37.33,35.67,36.84,21451000,36.84
2013-12-16,34.53,35.45,34.40,35.33,12500200,35.33
2013-12-13,34.36,34.50,34.06,34.25,6821600,34.25
2013-12-12,34.41,34.50,33.98,34.36,7504200,34.36
2013-12-11,35.12,35.12,34.14,34.34,9694100,34.34
2013-12-10,35.84,35.90,35.31,35.48,5273900,35.10
2013-12-09,36.22,36.40,35.79,35.84,4440600,35.46
2013-12-06,36.50,36.64,36.07,36.21,5796700,35.82
2013-12-05,36.60,36.67,36.05,36.29,7099600,35.90
2013-12-04,36.30,36.91,35.83,36.78,14296600,36.39
2013-12-03,34.94,36.33,34.94,36.27,9415900,35.88
2013-12-02,35.34,35.69,35.02,35.18,3687700,34.80
2013-11-29,35.38,35.53,35.14,35.22,2326300,34.84
2013-11-27,35.57,35.62,35.11,35.18,4852300,34.80
2013-11-26,35.85,36.23,35.67,35.68,5408200,35.30
2013-11-25,35.25,35.95,35.13,35.80,6889100,35.42
2013-11-22,34.85,35.36,34.83,35.27,4682600,34.89
2013-11-21,34.76,35.02,34.53,34.91,4573400,34.54
2013-11-20,35.13,35.42,34.66,34.78,3793400,34.41
2013-11-19,35.28,35.45,34.92,35.03,6227400,34.65
2013-11-18,35.29,35.55,35.06,35.28,4839700,34.90
2013-11-15,34.96,35.29,34.76,35.23,7550700,34.85
2013-11-14,34.48,35.22,34.45,35.06,6813000,34.68
2013-11-13,34.53,34.68,34.22,34.39,7343500,34.02
2013-11-12,34.74,34.83,34.36,34.57,5009200,34.20
2013-11-11,34.85,35.08,34.53,34.93,3660400,34.56
2013-11-08,34.47,34.87,34.24,34.79,6202100,34.42
2013-11-07,35.02,35.10,34.30,34.50,6300500,34.13
2013-11-06,35.08,35.17,34.71,34.90,6336600,34.53
2013-11-05,35.50,35.62,34.93,35.01,6996100,34.64
2013-11-04,35.82,35.94,35.43,35.73,4863200,35.35
2013-11-01,35.69,35.90,35.19,35.52,7714600,35.14
2013-10-31,36.90,36.97,35.03,35.71,13617200,35.33
2013-10-30,37.40,37.47,36.83,36.95,4088100,36.55
2013-10-29,37.19,37.39,37.08,37.29,4215800,36.89
2013-10-28,37.37,37.40,36.93,37.18,4309200,36.78
2013-10-25,37.03,37.35,36.82,37.30,3260600,36.90
2013-10-24,36.61,37.04,36.58,36.88,2304900,36.49
2013-10-23,36.90,37.03,36.40,36.67,5011600,36.28
2013-10-22,36.31,37.29,36.20,36.97,6723000,36.57
2013-10-21,36.16,36.34,35.81,36.17,3069800,35.78
2013-10-18,36.20,36.35,35.92,36.24,4206800,35.85
2013-10-17,35.92,36.14,35.74,36.03,3811000,35.64
2013-10-16,35.78,36.07,35.58,35.95,5118900,35.56
2013-10-15,35.72,35.75,35.28,35.53,6263600,35.15
2013-10-14,35.67,35.83,35.42,35.77,7193200,35.39
2013-10-11,35.71,36.30,35.67,36.15,4333400,35.76
2013-10-10,35.24,35.78,35.17,35.75,3880500,35.37
2013-10-09,35.06,35.15,34.67,34.96,5849500,34.59
2013-10-08,35.49,35.68,35.05,35.05,4774800,34.67
2013-10-07,35.60,35.97,35.38,35.52,3185800,35.14
2013-10-04,36.23,36.33,35.83,35.92,4752100,35.54
2013-10-03,36.44,36.46,35.76,36.30,5393000,35.91
2013-10-02,36.59,36.82,36.29,36.58,3915800,36.19
2013-10-01,36.32,36.98,36.27,36.75,6824000,36.36
2013-09-30,36.04,36.66,35.97,36.36,4825300,35.97
2013-09-27,36.06,36.31,35.91,36.24,2989700,35.85
2013-09-26,36.39,36.43,36.18,36.33,2924900,35.94
2013-09-25,36.70,36.75,36.21,36.23,3041300,35.84
2013-09-24,36.51,36.83,36.32,36.60,3279200,36.21
2013-09-23,36.46,36.68,36.31,36.51,3876200,36.12
2013-09-20,36.93,36.94,36.45,36.63,6088900,36.24
