Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,75.29,75.37,74.07,74.10,8433700,74.10
2014-01-28,74.26,75.40,74.10,74.67,6023400,74.67
2014-01-27,74.13,74.37,73.83,74.15,9088700,74.15
2014-01-24,74.73,75.12,74.23,74.42,9332800,74.42
2014-01-23,74.84,75.12,74.47,74.96,6006300,74.96
2014-01-22,76.08,76.08,75.03,75.35,5853700,75.35
2014-01-21,76.25,76.39,74.86,75.84,8971100,75.84
2014-01-17,76.73,76.82,76.03,76.19,11440700,76.19
2014-01-16,77.39,77.47,76.35,76.76,7201500,76.76
2014-01-15,77.96,78.10,77.57,77.66,4992400,77.66
2014-01-14,77.46,78.00,77.38,77.96,4088200,77.96
2014-01-13,77.60,77.97,77.24,77.49,6157900,77.49
2014-01-10,78.31,78.72,77.54,78.04,5181300,78.04
2014-01-09,78.39,78.40,77.49,78.09,5916300,78.09
2014-01-08,78.50,78.51,77.60,77.83,5955200,77.83
2014-01-07,78.17,78.85,77.92,78.45,5012300,78.45
2014-01-06,78.86,78.91,77.79,78.21,7280200,78.21
2014-01-03,78.81,79.13,78.52,78.65,4957400,78.65
2014-01-02,78.72,79.47,78.50,78.91,6878000,78.91
2013-12-31,78.66,78.87,78.35,78.69,3859100,78.69
2013-12-30,78.61,78.88,78.43,78.63,3086500,78.63
2013-12-27,78.60,78.93,78.30,78.47,3050000,78.47
2013-12-26,78.06,78.52,77.97,78.39,2778200,78.39
2013-12-24,77.95,78.24,77.63,78.01,2094900,78.01
2013-12-23,77.73,77.99,77.37,77.87,4477300,77.87
2013-12-20,77.28,77.88,77.25,77.43,9558100,77.43
2013-12-19,77.67,77.83,77.20,77.24,5955400,77.24
2013-12-18,77.28,77.98,76.81,77.94,10633700,77.94
2013-12-17,77.74,77.89,77.22,77.25,5765400,77.25
2013-12-16,78.25,78.50,77.60,77.74,6131900,77.74
2013-12-13,78.73,78.77,77.93,78.08,4981200,78.08
2013-12-12,79.11,79.26,78.40,78.50,5691600,78.50
2013-12-11,79.10,79.72,79.05,79.09,5998800,79.09
2013-12-10,79.72,79.80,79.05,79.08,6285700,79.08
2013-12-09,80.24,80.43,79.70,79.95,4491600,79.95
2013-12-06,79.71,80.23,79.64,79.94,5088100,79.94
2013-12-05,79.72,79.77,78.87,79.44,6450000,79.44
2013-12-04,80.64,81.37,79.91,80.22,7641200,80.22
2013-12-03,81.21,81.33,80.70,81.21,7506400,80.74
2013-12-02,80.89,81.28,80.37,81.11,6178400,80.64
2013-11-29,81.17,81.35,80.82,81.01,3447200,80.54
2013-11-27,80.55,81.00,80.38,80.93,4813300,80.46
2013-11-26,80.44,80.68,80.11,80.68,5537800,80.21
2013-11-25,80.06,80.57,79.91,80.43,5670400,79.96
2013-11-22,78.87,79.87,78.75,79.81,4812100,79.35
2013-11-21,78.74,79.20,78.55,78.86,3841000,78.40
2013-11-20,79.31,79.39,78.49,78.90,4511300,78.44
2013-11-19,79.30,79.35,78.88,79.25,4455000,78.79
2013-11-18,79.23,79.32,78.91,79.22,5962700,78.76
2013-11-15,78.93,79.29,78.75,79.22,5911100,78.76
2013-11-14,77.75,79.53,77.68,79.08,9302100,78.62
