Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,195.56,196.54,193.12,193.87,1716800,193.87
2014-01-28,193.00,198.80,193.00,197.15,1595600,197.15
2014-01-27,195.07,195.79,189.03,191.83,2996300,191.83
2014-01-24,203.89,204.34,192.96,193.14,3080100,193.14
2014-01-23,206.50,206.90,203.72,205.26,1758400,205.26
2014-01-22,209.42,209.50,206.03,208.79,1767000,208.79
2014-01-21,216.56,216.99,209.98,212.27,1815600,212.27
2014-01-17,209.28,215.99,209.28,215.70,1706000,215.70
2014-01-16,209.06,210.12,207.84,210.09,904400,210.09
2014-01-15,207.90,210.41,207.09,210.10,1025100,210.10
2014-01-14,203.94,207.94,202.54,207.60,1587500,207.60
2014-01-13,206.10,209.74,203.36,203.47,1618900,203.47
2014-01-10,204.35,207.24,202.26,206.86,1151000,206.86
2014-01-09,205.75,206.49,203.15,204.77,1228300,204.77
2014-01-08,202.67,205.40,201.37,205.29,1406000,205.29
2014-01-07,196.65,202.88,196.65,201.51,1686500,201.51
2014-01-06,198.29,198.84,195.20,195.86,1289100,195.86
2014-01-03,198.15,198.75,195.12,196.00,1169400,196.00
2014-01-02,194.14,199.88,193.12,197.94,3054800,197.94
2013-12-31,193.30,194.53,191.83,194.21,731500,194.21
2013-12-30,190.83,194.39,190.70,193.29,1948600,193.29
2013-12-27,191.21,191.90,190.03,191.25,587500,191.25
2013-12-26,189.35,191.58,188.81,191.04,692400,191.04
2013-12-24,185.99,190.80,185.18,189.25,862500,189.25
2013-12-23,186.65,186.65,184.01,185.15,801700,185.15
2013-12-20,186.01,186.07,181.89,185.35,1534600,185.35
2013-12-19,187.35,187.35,183.06,185.11,1047300,185.11
2013-12-18,183.53,186.96,181.50,186.67,1145500,186.67
2013-12-17,183.23,184.01,180.84,182.48,1061700,182.48
2013-12-16,183.05,185.41,181.24,182.82,1282500,182.82
2013-12-13,181.02,182.26,179.92,181.76,968600,181.76
2013-12-12,180.84,182.41,178.48,179.49,1277800,179.49
2013-12-11,181.24,183.44,180.02,180.70,1598900,180.70
2013-12-10,178.49,181.76,176.41,181.15,1742100,181.15
2013-12-09,173.50,179.12,173.50,178.53,2595100,178.53
2013-12-06,173.00,174.00,169.72,173.16,1383800,173.16
2013-12-05,167.67,172.87,167.10,171.41,1694200,171.41
2013-12-04,162.72,168.99,162.13,167.78,1568600,167.78
2013-12-03,164.00,165.37,161.88,163.31,1287300,163.31
2013-12-02,165.57,167.37,164.12,164.74,750100,164.74
2013-11-29,165.85,167.41,164.95,165.87,565500,165.87
2013-11-27,164.19,166.45,163.50,165.56,617600,165.56
2013-11-26,163.72,164.83,163.01,164.00,544200,164.00
2013-11-25,163.15,164.61,162.90,163.67,638600,163.67
2013-11-22,163.57,164.02,161.12,162.45,717900,162.45
2013-11-21,159.97,165.00,159.32,163.53,2878200,163.53
2013-11-20,160.47,160.96,157.48,158.39,780100,158.39
2013-11-19,163.19,163.81,158.14,159.20,1396500,159.20
2013-11-18,164.55,166.64,163.00,163.59,905100,163.59
2013-11-15,168.51,169.66,165.60,166.39,1411200,163.39
2013-11-14,170.12,170.31,167.76,168.51,712100,165.47
2013-11-13,165.75,170.24,165.60,170.21,1024100,167.14
2013-11-12,164.82,167.65,164.40,167.38,2799100,164.36
2013-11-11,163.99,166.18,162.95,165.03,725200,162.05
2013-11-08,159.86,164.24,159.86,163.71,2471800,160.76
2013-11-07,165.05,165.35,159.37,159.51,2622700,156.63
2013-11-06,166.75,166.89,163.42,164.38,1270000,161.42
2013-11-05,165.00,166.38,164.54,165.20,1092500,162.22
2013-11-04,167.88,168.38,165.92,166.49,1035200,162.51
2013-11-01,166.96,167.95,166.42,167.70,816300,163.69
2013-10-31,168.58,169.53,165.63,166.25,1056800,162.27
2013-10-30,169.99,171.97,168.00,169.55,918900,165.49
2013-10-29,168.89,168.89,166.76,168.80,740900,164.76
2013-10-28,168.08,168.88,165.50,168.40,1176000,164.37
2013-10-25,168.06,168.91,163.80,168.18,2638600,164.16
2013-10-24,167.76,173.22,166.90,172.85,1506800,168.71
2013-10-23,169.67,170.19,166.19,166.46,1467600,162.48
2013-10-22,173.14,173.38,168.31,169.99,1727100,165.92
2013-10-21,172.43,173.34,171.63,173.13,908700,168.99
2013-10-18,171.21,172.75,170.15,171.92,1007200,167.81
2013-10-17,168.40,169.84,167.11,169.46,992000,165.41
2013-10-16,168.20,170.79,167.36,168.58,995700,164.55
2013-10-15,167.76,170.16,166.20,167.20,1707300,163.20
2013-10-14,165.75,167.81,164.66,167.15,882000,163.15
2013-10-11,162.31,166.78,162.31,166.61,1147900,162.62
2013-10-10,159.00,163.66,159.00,162.35,1326600,158.47
2013-10-09,158.39,158.95,155.77,157.73,1309100,153.96
2013-10-08,159.69,161.53,156.79,157.21,1538100,153.45
2013-10-07,159.03,160.59,158.14,159.04,1109500,155.23
2013-10-04,159.11,161.06,158.81,160.18,996400,156.35
2013-10-03,161.76,162.33,159.11,160.66,2177700,156.82
2013-10-02,159.28,161.62,158.84,161.35,940300,157.49
2013-10-01,157.81,160.15,157.74,160.07,1675300,156.24
2013-09-30,156.42,158.89,155.39,158.01,1074200,154.23
2013-09-27,159.02,159.24,157.31,158.00,788200,154.22
2013-09-26,158.01,159.85,157.90,159.74,1101100,155.92
2013-09-25,156.72,158.13,155.13,157.61,1609200,153.84
2013-09-24,154.57,157.49,154.36,156.12,692800,152.38
2013-09-23,155.04,155.64,154.21,155.03,836600,151.32
2013-09-20,154.99,155.87,153.87,155.22,1391600,151.51
2013-09-19,153.80,155.00,152.80,154.56,917900,150.86
2013-09-18,150.41,153.47,150.08,153.03,1110900,149.37
2013-09-17,150.43,152.20,150.30,150.76,764800,147.15
2013-09-16,151.89,152.61,149.71,149.98,879700,146.39
2013-09-13,150.10,150.81,148.90,150.35,464400,146.75
2013-09-12,151.25,151.25,148.74,149.65,543400,146.07
2013-09-11,149.74,151.19,148.86,150.87,1144000,147.26
2013-09-10,146.47,149.90,146.27,149.24,1377500,145.67
2013-09-09,143.42,146.36,143.33,145.35,1020900,141.87
2013-09-06,143.73,144.17,141.23,143.43,916200,140.00
2013-09-05,141.60,143.50,141.24,142.69,706600,139.28
2013-09-04,141.51,142.38,140.50,141.38,1409500,138.00
2013-09-03,142.30,143.88,141.30,141.68,1293500,138.29
2013-08-30,142.59,142.64,140.26,141.04,705200,137.67
2013-08-29,140.50,142.68,140.33,141.87,930000,138.48
2013-08-28,139.38,141.50,138.70,140.77,1005400,137.40
2013-08-27,141.19,141.96,138.75,139.21,981400,135.88
2013-08-26,141.79,146.04,141.79,142.94,1278900,139.52
2013-08-23,141.26,142.25,140.84,141.93,541300,138.53
2013-08-22,139.55,141.89,139.38,141.26,700500,137.88
2013-08-21,139.70,140.67,138.18,139.04,837700,135.71
2013-08-20,139.36,140.79,139.12,139.90,1243800,136.55
2013-08-19,138.34,141.31,138.01,139.18,897700,135.85
2013-08-16,139.36,140.82,138.47,138.57,846000,135.25
2013-08-15,139.03,139.61,137.69,139.08,956600,135.75
2013-08-14,139.59,140.64,139.13,140.17,2268500,136.82
2013-08-13,138.90,140.38,138.11,139.62,739400,136.28
2013-08-12,137.41,139.37,137.07,138.43,627900,135.12
2013-08-09,139.08,139.53,137.27,138.13,703600,134.82
2013-08-08,138.47,140.15,137.56,139.45,1075000,136.11
2013-08-07,139.15,139.82,137.47,139.01,1146100,134.71
2013-08-06,140.90,141.45,138.63,139.18,1039100,134.87
2013-08-05,139.08,141.06,139.08,140.90,1004800,136.54
2013-08-02,137.45,140.18,136.42,139.85,1412700,135.52
2013-08-01,135.26,138.07,134.35,137.44,1513600,133.19
2013-07-31,134.06,134.75,132.61,133.13,923600,129.01
2013-07-30,132.50,134.34,131.90,133.07,1205900,128.95
2013-07-29,128.90,133.00,128.80,131.27,1427500,127.21
2013-07-26,128.51,131.22,128.51,130.98,1140700,126.93
2013-07-25,131.12,131.67,128.41,130.16,1445000,126.13
2013-07-24,132.68,132.78,130.38,131.13,1276400,127.07
2013-07-23,133.18,133.59,131.43,131.52,1272000,127.45
2013-07-22,132.36,133.65,131.19,133.38,1431100,129.25
2013-07-19,133.30,133.30,132.02,133.09,935700,128.97
2013-07-18,131.62,133.99,131.62,133.10,953800,128.98
2013-07-17,133.14,133.43,130.91,131.51,859400,127.44
2013-07-16,132.51,133.44,131.18,132.47,1097500,128.37
2013-07-15,130.78,132.83,130.56,131.99,1262500,127.90
2013-07-12,131.41,131.84,129.77,130.78,1389400,126.73
2013-07-11,129.50,132.46,128.10,131.63,2463300,127.56
2013-07-10,126.44,127.55,125.97,127.27,993800,123.33
2013-07-09,127.21,127.89,125.42,126.59,1412000,122.67
2013-07-08,127.32,129.09,126.78,126.98,1457100,123.05
2013-07-05,127.41,127.95,125.55,127.08,623100,123.15
2013-07-03,125.19,127.00,124.57,126.14,599500,122.24
2013-07-02,128.38,129.15,124.91,126.18,1674400,122.27
2013-07-01,129.28,130.55,128.27,128.46,1082600,124.48
2013-06-28,128.40,129.26,127.89,127.97,1154400,124.01
2013-06-27,128.07,129.70,127.55,128.60,1011900,124.62
2013-06-26,127.51,129.45,126.62,127.23,1697100,123.29
2013-06-25,126.42,127.45,125.55,125.60,2084600,121.71
